match(doi_or_key),source,old_display_author,new_primary,secondary_authors,primary_changed
__key__24S6U4Q3,rest383,Pierrot-Deseilligny and Burke,Pierrot-Deseilligny and Burke,,no
10.1007/978-1-0716-1006-0_758,rest383,Rybak and Ausborn,Rybak and Ausborn,,no
10.1523/jneurosci.4849-09.2010,rest383,Zhong et al.,Zhong,Droho; Crone; Dietz; Kwan; Webb; Sharma; Harris-Warrick,YES
10.1152/jn.1997.77.2.797,rest383,Harkema et al.,Harkema,Hurley; Patel; Requejo; Dobkin; Edgerton,YES
10.1007/bf00235875,rest383,Abraham et al.,Abraham,Marks; Loeb,YES
10.1109/wcecs.2008.25,rest383,Harkins et al.,Harkins,Dunbar; Boxerbaum; Bachmann; Quinn; Vaidyanathan; Burgess,YES
10.1016/j.conb.2009.10.011,rest383,Grillner and Jessell,Grillner and Jessell,,no
10.1016/j.cophys.2019.01.005,rest383,Deska-Gauthier and Zhang,Deska-Gauthier and Zhang,,no
10.1007/bf00227094,rest383,Yang et al.,Yang,Stein; James,YES
10.1007/978-3-030-41878-6_9,rest383,Donkelaar,Donkelaar,,no
__key__U4KVP3VD,rest383,Guertin et al.,Guertin,Angel; Perreault; McCrea,YES
10.1152/jn.00718.2011,rest383,Hellekes et al.,Hellekes,Blincow; Hoffmann; Büschges,YES
10.1016/s0006-8993(96)00977-8,rest383,Stephens and Yang,Stephens and Yang,,no
__key__RWAYBADP,rest383,Herr et al.,Herr,Han; Barnhart; Casler,YES
10.1016/j.conb.2015.01.011,rest383,Drew and Marigold,Drew and Marigold,,no
10.1016/s0966-6362(98)00010-1,rest383,Crommert et al.,Van de Crommert,Mulder; Duysens,YES
10.1111/j.1749-6632.1998.tb09062.x,rest383,Dimitrijevi─ç et al.,Dimitrijević,Gerasimenko; Pinter,YES
10.1016/j.conb.2023.102763,rest383,Dougherty,Dougherty,,no
10.1007/978-3-030-64313-3_7,rest383,Deng et al.,Deng,Szczecinski; Hunt; Chiel; Quinn,YES
__key__Z3CWS2MG,rest383,Quinn and Espenschied,Quinn and Espenschied,,no
10.1152/jn.01300.2004,rest383,Gregor et al.,Gregor,Smith; Prilutsky,YES
10.1016/j.neuron.2013.02.007,rest383,Bui et al.,Bui,Akay; Loubani; Hnasko; Jessell; Brownstone,YES
10.1016/s0959-4388(98)80121-9,rest383,Beer et al.,Beer,Chiel; Quinn; Ritzmann,YES
10.1038/nature10538,rest383,Tripodi et al.,Tripodi,Stepien; Arber,YES
10.1111/j.1469-7793.2000.t01-1-00549.x,rest383,Quevedo et al.,Quevedo,Fedirchuk; Gosgnach; McCrea,YES
10.1007/s00422-011-0446-6,rest383,Daun-Gruhn and B├╝schges,Daun-Gruhn and Büschges,,YES
10.1016/s0896-6273(03)00353-2,rest383,Butt and Kiehn,Butt and Kiehn,,no
10.1007/bf00229406,rest383,Pratt et al.,Pratt,Chanaud; Loeb; Macpherson,YES
10.1523/jneurosci.2005-13.2013,rest383,Borowska et al.,Borowska,Jones; Zhang; Blacklaws; Goulding,YES
10.1038/nn.4077,rest383,Brooks et al.,Brooks,Carriot; Cullen,YES
10.1016/j.clinph.2010.01.039,rest383,Knikou,Knikou,,no
10.1098/rstb.2006.1889,rest383,Rossignol,Rossignol,,no
10.1111/j.1748-1716.1969.tb04415.x,rest383,Engberg and Lundberg,Engberg and Lundberg,,no
10.1007/978-3-319-95972-6_57,rest383,Young et al.,Young,Hunt; Quinn,YES
10.1152/jn.1999.81.4.1856,rest383,Hess and B├╝schges,Hess and Büschges,,YES
10.1152/jn.00888.2005,rest383,Duysens,Duysens,,no
