doi,reason
10.1113/jphysiol.1983.sp014663,no-oa-url
10.1113/jphysiol.1987.sp016676,no-oa-url
10.1113/jphysiol.1988.sp017281,no-oa-url
10.1113/jphysiol.1992.sp019296,no-oa-url
10.1113/jphysiol.1995.sp020871,no-oa-url
10.1113/jphysiol.1995.sp020897,no-oa-url
10.1113/jphysiol.1996.sp021538,no-oa-url
10.1113/jphysiol.2003.057174,no-oa-url
10.1113/jphysiol.2004.076034,no-oa-url
10.1113/jphysiol.2006.118703,no-oa-url
10.1113/jphysiol.2006.118711,no-oa-url
10.1113/jphysiol.2008.158105,no-oa-url
10.1113/jphysiol.2009.176669,no-oa-url
10.1113/jphysiol.2012.234609,no-oa-url
10.1113/jphysiol.2012.240895,no-oa-url
10.1113/jphysiol.2013.261115,no-oa-url
10.1117/12.886413,no-oa-url
10.1126/science.1210617,no-oa-url
10.1126/science.3975635,no-oa-url
10.1139/y04-043,no-oa-url
10.1142/9789813207158_0025,no-oa-url
10.1145/245108.245118,no-oa-url
10.1146/annurev-neuro-082321-025137,no-oa-url
10.1146/annurev.ne.16.030193.001405,no-oa-url
10.1146/annurev.physiol.62.1.723,no-oa-url
10.1152/japplphysiol.00942.2003,no-oa-url
10.1152/jn.00020.2021,no-oa-url
10.1152/jn.00065.2005,no-oa-url
10.1152/jn.00104.2024,no-oa-url
10.1152/jn.00160.2014,no-oa-url
10.1152/jn.00175.2005,no-oa-url
10.1152/jn.00176.2005,no-oa-url
10.1152/jn.00194.2019,no-oa-url
10.1152/jn.00204.2023,no-oa-url
10.1152/jn.00216.2017,no-oa-url
10.1152/jn.00248.2023,no-oa-url
10.1152/jn.00261.2012,oa-url-blocked
10.1152/jn.00310.2020,no-oa-url
10.1152/jn.00322.2017,no-oa-url
10.1152/jn.00325.2004,no-oa-url
10.1152/jn.00331.2025,no-oa-url
10.1152/jn.00347.2019,oa-url-blocked
10.1152/jn.00419.2015,no-oa-url
10.1152/jn.00479.2001,no-oa-url
10.1152/jn.00486.2017,no-oa-url
10.1152/jn.00496.2003,no-oa-url
10.1152/jn.00497.2003,no-oa-url
10.1152/jn.00497.2017,no-oa-url
10.1152/jn.00511.2005,no-oa-url
10.1152/jn.00524.2013,no-oa-url
10.1152/jn.00550.2017,oa-url-blocked
10.1152/jn.00602.2017,oa-url-blocked
10.1152/jn.00615.2004,no-oa-url
10.1152/jn.00658.2017,oa-url-blocked
10.1152/jn.00718.2011,no-oa-url
10.1152/jn.00739.2014,no-oa-url
10.1152/jn.00820.2013,no-oa-url
10.1152/jn.00833.2002,no-oa-url
10.1152/jn.00865.2011,no-oa-url
10.1152/jn.00871.2015,no-oa-url
10.1152/jn.00888.2005,no-oa-url
10.1152/jn.00891.2006,no-oa-url
10.1152/jn.00909.2004,no-oa-url
10.1152/jn.00944.2011,no-oa-url
10.1152/jn.00978.2016,no-oa-url
10.1152/jn.00991.2004,no-oa-url
10.1152/jn.00996.2009,no-oa-url
10.1152/jn.01028.2009,no-oa-url
10.1152/jn.01054.2007,no-oa-url
10.1152/jn.01177.2006,no-oa-url
10.1152/jn.01271.2003,no-oa-url
10.1152/jn.01300.2004,no-oa-url
10.1152/jn.1976.39.5.1090,no-oa-url
10.1152/jn.1977.40.4.737,no-oa-url
10.1152/jn.1979.42.4.936,no-oa-url
10.1152/jn.1980.44.3.475,no-oa-url
10.1152/jn.1980.44.5.1024,no-oa-url
10.1152/jn.1987.57.1.56,no-oa-url
10.1152/jn.1989.62.5.1177,no-oa-url
10.1152/jn.1990.64.3.756,no-oa-url
10.1152/jn.1991.66.3.919,no-oa-url
