"key","type","title","DOI","date","pub","collections"
"BNGA9TDW","journalArticle","The effect of dorsal root transection on the efferent motor pattern in the cat's hindlimb during locomotion.","10.1111/j.1748-1716.1984.tb07400.x","1984-03-01","Acta Physiologica Scandinavica","N9R9QB36"
"XYIPI8CK","journalArticle","Restoring walking after spinal cord injury.","10.1016/j.pneurobio.2004.04.003","2004-06-01","Progress in Neurobiology","N9R9QB36"
"4VKDE9Z6","journalArticle","Kinematic primitives for walking and trotting gaits of a quadruped robot with compliant legs","10.3389/fncom.2014.00027","2014-03-07","Frontiers in Computational Neuroscience","5TDG33CE;ADI9MVVM;DSDYXL2L;J9QQKKC3;SUKCWFGV;Z2IJ6ASX"
"2NUU4KH9","journalArticle","Phase-Dependent Response to Afferent Stimulation During Fictive Locomotion: A Computational Modeling Study.","10.3389/fnins.2019.01288","2019-11-29","Frontiers in Neuroscience","N9R9QB36"
"PQLJF7QU","journalArticle","Neuronal Control of LocomotionFrom Mollusc to Man","10.1093/acprof:oso/9780198524052.001.0001","1999-09-02",,"N9R9QB36"
"9UL9P2KN","journalArticle","Excitatory and Inhibitory Interactions in Localized Populations of Model Neurons","10.1016/S0006-3495(72)86068-5","01/1972","Biophysical Journal","YGJ8NW46"
"S7QYZGBB","journalArticle","Tapping into spinal circuits to restore motor function.","10.1016/s0165-0173(99)00008-9","1999-07-01","Brain Research Reviews","N9R9QB36"
"3FZ3EF43","journalArticle","Six-legged walking in insects: how CPGs, peripheral feedback, and descending signals generate coordinated and adaptive motor rhythms","10.1152/jn.00658.2017","2018-02-01","Journal of Neurophysiology","N9R9QB36"
"AY7CA699","journalArticle","Identification of Minimal Neuronal Networks Involved in Flexor-Extensor Alternation in the Mammalian Spinal Cord","10.1016/j.neuron.2011.07.011","2011-09-22","Neuron","N9R9QB36"
"37NLALTP","journalArticle","A biomimetic robotic platform to study flight specializations of bats","10.1126/scirobotics.aal2505","2017/02/01","Science Robotics","MMK48V5F;U65AP8TW;VD7TQ8M3"
"2VAING3I","journalArticle","Group I extensor afferents evoke disynaptic EPSPs in cat hindlimb extensor motorneurones during fictive locomotion.","10.1113/jphysiol.1996.sp021538","1996-08-01","The Journal of Physiology","N9R9QB36"
"9I8L38TC","journalArticle","Hybrid terrain-adaptive lower-extremity systems",,"2009-09-01",,"N9R9QB36"
"GVJDIVJ6","journalArticle","Mechanisms of Phase-Locking and Frequency Control in Pairs of coupled Neural Oscillators",,,,"QUIZCN5R"
"P9INAS5A","journalArticle","comparison study hindlimb control during fictive and real locomotion: a Motoneuronal and muscle synergies involved in cat",,"2012-01-01",,"N9R9QB36"
"84V3X65F","journalArticle","Fictive motor patterns in chronic spinal cats","10.1152/jn.1991.66.6.1874","1991-12-01","Journal of Neurophysiology","XXAXGRUX"
"ZJT3AJEK","bookSection","Experimental Validation of an Aerodynamic Sensing Scheme for Post-Stall Aerodynamic Moment Characterization","10.2514/6.2013-4979","August 15, 2013",,"8KUXKGCX;U65AP8TW"
"82IC2Q5Z","journalArticle","Towards Autonomous MAV Soaring in Cities: CFD Simulation, EFD Measurement and Flight Trials","10.1260/1756-8293.7.4.441","December 1, 2015","International Journal of Micro Air Vehicles","MMK48V5F;U65AP8TW;VD7TQ8M3"
"2E7P3P4B","journalArticle","Mechanosensory Feedback in Walking: From Joint Control to Locomotor Patterns","10.1016/s0065-2806(07)34004-6","2007-01-01","Advances in Insect Physiology","N9R9QB36"
"RWM9IQHU","journalArticle","Proprioception and locomotor disorders","10.1038/nrn939","10/2002","Nature Reviews Neuroscience","N9R9QB36"
"G96FE7FF","journalArticle","Force Regulation of Ankle Extensor Muscle Activity in Freely Walking Cats","10.1152/jn.90918.2008","2009-01-01","Journal of Neurophysiology","N9R9QB36"
"42ATQKJ9","journalArticle","The dominant role of the hip in multijoint reflex responses in human spinal cord injury",,"2011-01-01",,"N9R9QB36"
"IK9JB946","journalArticle","A controller for continuous wave peristaltic locomotion","10.1109/iros.2011.6094954","2011-12-05",,"N9R9QB36"
"L58D9JJS","journalArticle","Modulation of phase durations, phase variations, and temporal coordination of the four limbs during quadrupedal split-belt locomotion in intact adult cats","10.1152/jn.00160.2014","2014-10-15","Journal of Neurophysiology","N9R9QB36"
"G6KR8W8I","journalArticle","Do Pacemakers Drive the Central Pattern Generator for Locomotion in Mammals?","10.1177/1073858409346339","04/2010","The Neuroscientist","TYJX29H8"
"TQVQL9W7","journalArticle","Degradation of mouse locomotor pattern in the absence of proprioceptive sensory feedback","10.1073/pnas.1419045111","2014-11-25","Proceedings of the National Academy of Sciences","7N4C29P2;RPTFU546"
"BSB4SLW7","journalArticle","Spinal Interneurons as Gatekeepers to Neuroplasticity after Injury or Disease.","10.1523/jneurosci.1654-20.2020","2021","The Journal of Neuroscience","N9R9QB36"
"5CA7267C","journalArticle","Simple Muscle Models Regularize Motion in a Robotic Leg with Neurally-Based Step Generation","10.1109/robot.2007.363057","2007-04-10",,"N9R9QB36"
"CNTQYPTR","journalArticle","Use of Visual and Proprioceptive Feedback to Improve Gait Speed and Spatiotemporal Symmetry Following Chronic Stroke: A Case Series","10.2522/ptj.20110206","2012-05-01","Physical Therapy","7N4C29P2"
"KEKGJDMG","journalArticle","Renshaw cell activity and recurrent effects on motoneurons during fictive locomotion.","10.1152/jn.1980.44.3.475","1980-09-01","Journal of Neurophysiology","N9R9QB36"
"NPRY3ATJ","journalArticle","Crossed activation of thoracic trunk motoneurons by medullary reticulospinal neurons.","10.1152/jn.00194.2019","2019-10-30","Journal of Neurophysiology","N9R9QB36"
"S3SVWANY","journalArticle","Vestibulospinal, reticulospinal and descending propriospinal nerve fibres in man","10.1093/brain/119.6.1809","1996","Brain","N9R9QB36"
"WNE2J7WB","journalArticle","Measured motion: searching for simplicity in spinal locomotor networks.","10.1016/j.conb.2009.10.011","2009-12-01","Current Opinion in Neurobiology","N9R9QB36"
"FE53FDIS","journalArticle","A Survey on CPG-Inspired Control Models and System Implementation","10.1109/TNNLS.2013.2280596","3/2014","IEEE Transactions on Neural Networks and Learning Systems","TYJX29H8"
"64DX84BA","journalArticle","The mammalian central pattern generator for locomotion","10.1016/j.brainresrev.2009.08.002","2009-12-11","Brain Research Reviews","N9R9QB36"
"GFF6HJZW","journalArticle","What mechanisms coordinate leg movement in walking arthropods?","10.1016/0166-2236(90)90057-H","1/1990","Trends in Neurosciences","N9R9QB36"
"DBSQLFN8","journalArticle","Functionally complex muscles of the cat hindlimb. IV. Intramuscular distribution of movement command signals and cutaneous reflexes in broad, bifunctional thigh muscles","10.1007/bf00229407","1991-01-01","Experimental Brain Research","N9R9QB36"
"4XZ9EQ2A","journalArticle","A physical model of sensorimotor interactions during locomotion.","10.1088/1741-2560/9/4/046011","2012-08-01","Journal of Neural Engineering","N9R9QB36"
"H643R2BY","journalArticle","Emulated muscle spindle and spiking afferents validates VLSI neuromorphic hardware as a testbed for sensorimotor function and disease","10.3389/fncom.2014.00141","2014-12-04","Frontiers in Computational Neuroscience","7N4C29P2;N9R9QB36"
"LK3R3RR7","conferencePaper","An air flow sensor modeled on wind receptor hairs of insects","10.1109/MEMSYS.2000.838573","January 2000",,"8KUXKGCX"
"IAVWZAIL","webpage","Doublet Electrical Stimulation Enhances Torque Production in People With Spinal Cord Injury",,,,"AJENK7I2"
"JPHHF8XP","journalArticle","A Muscle-Reflex Model That Encodes Principles of Legged Mechanics Produces Human Walking Dynamics and Muscle Activities","10.1109/TNSRE.2010.2047592","06/2010","IEEE Transactions on Neural Systems and Rehabilitation Engineering","G7U2YC7Y;XK5E9LE4;Z8JX6KUL"
"7VT9HU5M","journalArticle","Control of walking and running by means of electric stimulation of the midbrain",,"1966-01-01","Biofizika","N9R9QB36"
"N4CUWAFP","webpage","Phenomenological models of the dynamics of muscle during isotonic shortening | Elsevier Enhanced Reader","10.1016/j.jbiomech.2013.07.018",,,"AJENK7I2"
"9WR6KJZ9","journalArticle","Intra-axonal recordings of cutaneous primary afferents during fictive locomotion in the cat","10.1152/jn.1989.62.5.1177","1989-11-01","Journal of Neurophysiology","N9R9QB36"
"5WU2QK2C","book","Dynamical Systems in Neuroscience: The Geometry of Excitability and Bursting","10.7551/mitpress/2526.001.0001","2006",,"YGJ8NW46"
"9Q7QFN4L","journalArticle","Main characteristics of the hindlimb locomotor cycle in the decorticate cat with special reference to bifunctional muscles.","10.1016/0006-8993(80)90207-3","1980-04-14","Brain Research","N9R9QB36"
"QT4IKD76","journalArticle","Phase-dependent modulation of primary afferent depolarization in single cutaneous primary afferents evoked by peripheral stimulation during fictive locomotion in the cat","10.1016/0006-8993(90)90334-8","1990-12-24","Brain Research","N9R9QB36"
"79B5JSUJ","journalArticle","Ia inhibitory interneurons and Renshaw cells as contributors to the spinal mechanisms of fictive locomotion.","10.1152/jn.1987.57.1.56","1987-01-01","Journal of Neurophysiology","N9R9QB36"
"AHQI3F2B","journalArticle","An electromyographic analysis of muscular activity in the hindlimb of the cat during unrestrained locomotion.","10.1111/j.1748-1716.1969.tb04415.x","1969-04-01","Acta Physiologica Scandinavica","N9R9QB36"
"YJX8DTMA","journalArticle","Robust coding of flow-field parameters by axo-axonal gap junctions between fly visual interneurons","10.1073/pnas.0703697104","06/12/2007","Proceedings of the National Academy of Sciences","5T5PXLZC"
"R48DN4FW","journalArticle","Using Animatlab for Neuromechanical Analysis: Linear Hill Parameter Calculation","10.1007/978-3-030-64313-3_38","2020",,"N9R9QB36"
"XRRHZSTN","journalArticle","Could Different Directions of Infant Stepping Be Controlled by the Same Locomotor Central Pattern Generator?","10.1152/jn.2000.83.5.2814","2000-05-01","Journal of Neurophysiology","TYJX29H8"
"YNI53YQD","journalArticle","A model of the neuro-musculo-skeletal system for human locomotion","10.1007/bf00204048","1995-07-01","Biological Cybernetics","N9R9QB36"
"2HUMJLGY","journalArticle","Rate Models for Conductance-Based Cortical Neuronal Networks","10.1162/08997660360675053","2003-08-01","Neural Computation","YGJ8NW46"
"TI39ZH7S","journalArticle","Emulating Balance Control Observed in Human Test Subjects with a Neural Network","10.1007/978-3-319-95972-6_21","2000-01-01",,"N9R9QB36"
"U496ZFI9","conferencePaper","The FPGA prototyping of iris recognition for biometric identification employing neural network","10.1109/ICM.2004.1434697","December 2004",,"5T5PXLZC"
"FXV3N2Z9","journalArticle","Muscles, Elastic Energy, and the Dynamics of Body Stiffness in Swimming Eels1","10.1093/icb/38.4.771","1998-09-01","American Zoologist","VD8SAM7F"
"QGHZ3HWG","journalArticle","Reflex control of locomotion as revealed by stimulation of cutaneous afferents in spontaneously walking premammillary cats.","10.1152/jn.1977.40.4.737","1977-07-01","Journal of Neurophysiology","N9R9QB36"
"4RT5XCCU","thesis","Internal structure of the fly elementary motion detector",,"2011",,"5T5PXLZC"
"LPKJAKP5","journalArticle","Goal-Directed CPG-Based Control for Tensegrity Spines with Many Degrees of Freedom Traversing Irregular Terrain","10.1089/soro.2015.0012","12/2015","Soft Robotics","TYJX29H8"
"8M8LL24G","journalArticle","The Circuitry of the Human Spinal Cord: Its Role in Motor Control and Movement Disorders",,"2005-09-19",,"N9R9QB36"
"DF9YS6WD","journalArticle","A Simple Experimentally Based Model Using Proprioceptive Regulation of Motor Primitives Captures Adjusted Trajectory Formation in Spinal Frogs","10.1152/jn.01054.2007","01/2010","Journal of Neurophysiology","N9R9QB36"
"7TWUK65E","journalArticle","Reversal of the influence of group Ib afferents from plantaris on activity in medial gastrocnemius muscle during locomotor activity","10.1152/jn.1993.70.3.1009","1993-09-01","Journal of Neurophysiology","N9R9QB36"
"Q5MP2IAN","journalArticle","Analyzing Moment Arm Profiles in a Full-Muscle Rat Hindlimb Model","10.3390/biomimetics4010010","2019-01-25","Biomimetics","N9R9QB36"
"M49TBF5M","journalArticle","Proprioceptive feedback reinforces centrally generated stepping patterns in the cockroach","10.1242/jeb.067488","2012-06-01","Journal of Experimental Biology","7N4C29P2"
"8CDGMGTP","journalArticle","Parallel reflex pathways from flexor muscle afferents evoking resetting and flexion enhancement during fictive locomotion and scratch in the cat.","10.1113/jphysiol.2005.095505","2005-11-01","The Journal of Physiology","N9R9QB36"
"49N32BIK","journalArticle","Contribution of Cutaneous Inputs From the Hindpaw to the Control of Locomotion. II. Spinal Cats","10.1152/jn.00497.2003",,"Journal of Neurophysiology","N9R9QB36"
"ZWG2647T","journalArticle","Modeling the spinal cord neural circuitry controlling cat hindlimb movement during locomotion","10.1016/S0925-2312(02)00832-9","2003-06-01","Neurocomputing","N9R9QB36"
