"id","title","author","year","animals","DOI"
"recgNahYOEnT2yzYE","Proprioceptive modulation of hip flexor activity during the swing phase of locomotion in decerebrate cats.","Lam","2001","Cat","10.1152/jn.2001.86.3.1321"
"recgWW7JlRJMm851a","The construction of movement by the spinal cord","Tresch","1999","Vertebrates;Frog","10.1038/5721"
"rech5DPeIL8qPxKbO","A Simple Experimentally Based Model Using Proprioceptive Regulation of Motor Primitives Captures Adjusted Trajectory Formation in Spinal Frogs","Kargo","2010","Frog","10.1152/jn.01054.2007"
"rechUE1t6xgIgzBSA","Human spinal locomotor control is based on flexibly organized burst generators","Danner","2015","Human","10.1093/brain/awu372"
"reciO5icPjQnMFNqb","Development and functional organization of spinal locomotor circuits","Kiehn","2011","Vertebrates;Mice;Zebrafish;Lamprey;Mammals","10.1016/j.conb.2010.09.004"
"reciegFAzFZ7ogh1m","Strategies for delineating spinal locomotor rhythm-generating networks and the possible role of Hb9 interneurones in rhythmogenesis","Brownstone and Wilson","2008","","10.1016/j.brainresrev.2007.06.025"
"recinBYMhS5NwkOvx","Positive Force Feedback Control of Muscles","Prochazka","1997","Human","10.1152/jn.1997.77.6.3226"
"recjEWZKD03OC2BYS","Modeling the Organization of Spinal Cord Neural Circuits Controlling Two-Joint Muscles","Shevtsova","2016","","10.1007/978-1-4939-3267-2_5"
"recjGEKoVDZG9Kgya","On the nature of the fundamental activity of the nervous centres; together with an analysis of the conditioning of rhythmic activity in progression, and a theory of the evolution of function in the nervous system","Brown","1914","",""
"reck6j3QVhgQs7e0Y","Organizing network action for locomotion: Insights from studying insect walking.","Büschges","2008","Insects","10.1016/j.brainresrev.2007.06.028"
"reckLrNcdlGJMJMah","Behaviour-based modelling of hexapod locomotion: linking biology and technical application","Dürr","2004","Hexapod","10.1016/j.asd.2004.05.004"
"recl89IqMlxodlhXN","Decoding the organization of spinal circuits that control locomotion","Kiehn","2016","","10.1038/nrn.2016.9"
"recllI1WnoBxxvkJM","Vestibulospinal, reticulospinal and descending propriospinal nerve fibres in man","Nathan","1996","Human","10.1093/brain/119.6.1809"
"reclwbsReGhWM71WF","Bio-inspired controller achieving forward speed modulation with a 3D bipedal walker","Van der Noot, Nicolas","2018","Human","10.1177/0278364917743320"
"recnpdF09e2pD0tFz","Neuronal activity in the isolated mouse spinal cord during spontaneous deletions in fictive locomotion: insights into locomotor central pattern generator organization","Zhong","2012","Mice","10.1113/jphysiol.2012.240895"
"recoT9VR7NIatzV00","Left–right coordination from simple to extreme conditions during split-belt locomotion in the chronic spinal adult cat","Frigon","2016","Cat","10.1113/JP272740"
"recpFKCRcK44Hbkyg","Modulation of phase durations, phase variations, and temporal coordination of the four limbs during quadrupedal split-belt locomotion in intact adult cats","D’Angelo","2014","Cat","10.1152/jn.00160.2014"
"recpozMUyMMicDWNu","Contribution of Sensory Feedback to the Generation of Extensor Activity During Walking in the Decerebrate Cat","HIEBERT","1999","Cat","10.1152/jn.1999.81.2.758"
"recpyybF425zhdpCj","The special nature of human walking and its neural control","Capaday","2002","Human","10.1016/S0166-2236(02)02173-2"
"recrOx4g9ML2vRiDP","Proprioceptive input resets central locomotor rhythm in the spinal cat.","Conway","1987","Cat","10.1007/bf00249807"
"recsh566GLiIFvkYW","Kinesthetic Senses","Proske","2018","Human;Cat","10.1002/cphy.c170036"
"rectZLWJhnmJpn1le","Spinal Cord Pattern Generators for Locomotion","Dietz","2003","Human","10.1016/s1388-2457(03)00120-2"
"recuEbIzcBfrBmkmf","Spinal circuitry of sensorimotor control of locomotion","McCrea","2001","","10.1111/j.1469-7793.2001.0041b.x"
"recvgd8hFtfCEnVBO","The comparative investigation of the stick insect and cockroach models in the study of insect locomotion","Ayali","2015","Stick Insect;Cockroach","10.1016/j.cois.2015.07.004"
"recw2TJ1IDuY3yEVz","Modular organization of motor behavior in the frog's spinal cord","Bizzi","1995","Frog","10.1016/0166-2236(95)94494-p"
"recwQQSBHPlE6SmUk","Motoneuronal and muscle synergies involved in cat hindlimb control during fictive and real locomotion: a comparison study","Markin","2012","Cat","10.1152/jn.00865.2011"
"recxGoi3bAS1glsgD","Relative Contribution of Proprioceptive and Vestibular Sensory Systems to Locomotion: Opportunities for Discovery in the Age of Molecular Science","Akay","2021","Cat","10.3390/ijms22031467"
"recy0oLAVRRLclNXl","Modelling spinal circuitry involved in locomotor pattern generation: insights from deletions during fictive locomotion","Rybak","2006","Cat","10.1113/jphysiol.2006.118703"
"recyFbFcjkWSlqlMU","From Swimming to Walking with a Salamander Robot Driven by a Spinal Cord Model","Ijspeert","2007","Salamander",""
"recyRnIe8WN35qmqC","Effects of stimulation of hindlimb flexor group II afferents during fictive locomotion in the cat","Perreault","1995","Cat",""
