TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2669	0.5338	-0.0570556	-0.0847397	-0.0600337	-0.0579864	-0.0589655	-0.0589001
2670	0.534	-0.0570676	-0.0847418	-0.0600314	-0.0579876	-0.0589732	-0.0588921
2671	0.5342	-0.0570796	-0.0847439	-0.0600292	-0.0579888	-0.058981	-0.058884
2672	0.5344	-0.0570916	-0.084746	-0.060027	-0.0579901	-0.0589888	-0.0588758
2673	0.5346	-0.0571037	-0.0847482	-0.0600247	-0.0579913	-0.0589966	-0.0588676
2674	0.5348	-0.0571157	-0.0847504	-0.0600225	-0.0579925	-0.0590044	-0.0588593
2675	0.535	-0.0571278	-0.0847527	-0.0600203	-0.0579938	-0.0590123	-0.058851
2676	0.5352	-0.0571399	-0.0847549	-0.060018	-0.057995	-0.0590202	-0.0588426
2677	0.5354	-0.057152	-0.0847572	-0.0600158	-0.0579962	-0.0590281	-0.0588342
2678	0.5356	-0.0571642	-0.0847596	-0.0600135	-0.0579975	-0.0590361	-0.0588257
2679	0.5358	-0.0571763	-0.0847619	-0.0600112	-0.0579987	-0.059044	-0.0588172
2680	0.536	-0.0571885	-0.0847643	-0.0600089	-0.058	-0.059052	-0.0588086
2681	0.5362	-0.0572007	-0.0847667	-0.0600067	-0.0580012	-0.0590601	-0.0588
2682	0.5364	-0.0572129	-0.0847691	-0.0600044	-0.0580024	-0.0590681	-0.0587913
2683	0.5366	-0.0572251	-0.0847716	-0.0600021	-0.0580037	-0.0590762	-0.0587826
2684	0.5368	-0.0572374	-0.0847741	-0.0599998	-0.0580049	-0.0590843	-0.0587738
2685	0.537	-0.0572496	-0.0847762	-0.0599975	-0.0580062	-0.0590924	-0.0587649
2686	0.5372	-0.0572619	-0.0847752	-0.0599951	-0.0580074	-0.0591006	-0.058756
2687	0.5374	-0.0572742	-0.0847711	-0.0599928	-0.0580087	-0.0591088	-0.058747
2688	0.5376	-0.0572865	-0.0847642	-0.0599905	-0.05801	-0.059117	-0.058738
2689	0.5378	-0.0572989	-0.0847548	-0.0599882	-0.0580113	-0.0591252	-0.0587289
2690	0.538	-0.0573113	-0.084743	-0.0599858	-0.0580126	-0.0591335	-0.0587198
2691	0.5382	-0.0573238	-0.0847291	-0.0599835	-0.0580139	-0.0591418	-0.0587106
2692	0.5384	-0.0573363	-0.0847131	-0.0599811	-0.0580153	-0.0591501	-0.0587013
