TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
107	0.0214	-0.0578035	-0.0579616	-0.0572739	-0.0572739	-0.0560115	-0.0588888	-0.0824431	-0.0952839	-0.0573265	-0.0560466
108	0.0216	-0.0577952	-0.0579531	-0.0572675	-0.0572675	-0.0560649	-0.0589016	-0.0824699	-0.0953304	-0.0573191	-0.0560285
109	0.0218	-0.0577872	-0.0579446	-0.0572612	-0.0572612	-0.0561161	-0.0589139	-0.0824963	-0.0953757	-0.0573114	-0.0560104
110	0.022	-0.0577794	-0.0579362	-0.0572544	-0.0572544	-0.0561758	-0.058929	-0.0825218	-0.0954199	-0.0573033	-0.0559922
111	0.0222	-0.0577718	-0.0579278	-0.0572478	-0.0572478	-0.0562331	-0.0589435	-0.0825478	-0.0954632	-0.0572949	-0.0559738
112	0.0224	-0.0577644	-0.0579194	-0.0572414	-0.0572414	-0.0562882	-0.0589574	-0.082574	-0.0955058	-0.0572863	-0.0559554
113	0.0226	-0.0577571	-0.057911	-0.0572353	-0.0572353	-0.0563412	-0.0589708	-0.0825999	-0.0955474	-0.0572773	-0.0559369
114	0.0228	-0.0577501	-0.0579027	-0.0572294	-0.0572294	-0.0563921	-0.0589837	-0.0826253	-0.0955882	-0.0572681	-0.0559183
115	0.023	-0.0577433	-0.0578944	-0.0572229	-0.0572229	-0.0564506	-0.0589992	-0.08265	-0.0956281	-0.0572586	-0.0558997
116	0.0232	-0.0577367	-0.0578862	-0.0572167	-0.0572167	-0.0565068	-0.0590141	-0.0826751	-0.0956674	-0.0572488	-0.055881
117	0.0234	-0.0577303	-0.057878	-0.0572107	-0.0572107	-0.0565608	-0.0590284	-0.0827002	-0.095706	-0.0572388	-0.0558623
118	0.0236	-0.0577241	-0.0578699	-0.0572049	-0.0572049	-0.0566127	-0.0590422	-0.0827251	-0.095744	-0.0572285	-0.0558435
119	0.0238	-0.057718	-0.0578618	-0.0571994	-0.0571994	-0.0566626	-0.0590554	-0.0827494	-0.0957812	-0.0572181	-0.0558246
120	0.024	-0.0577122	-0.0578538	-0.0571932	-0.0571932	-0.0567194	-0.0590711	-0.082773	-0.0958178	-0.0572073	-0.0558058
121	0.0242	-0.0577065	-0.0578458	-0.0571873	-0.0571873	-0.0567739	-0.0590862	-0.0827968	-0.0958538	-0.0571964	-0.0557869
122	0.0244	-0.057701	-0.0578378	-0.0571816	-0.0571816	-0.0568263	-0.0591007	-0.0828207	-0.0958894	-0.0571852	-0.055768
123	0.0246	-0.0576956	-0.05783	-0.0571762	-0.0571762	-0.0568767	-0.0591147	-0.0828442	-0.0959245	-0.0571739	-0.055749
124	0.0248	-0.0576904	-0.0578221	-0.0571709	-0.0571709	-0.056925	-0.0591281	-0.0828671	-0.0959582	-0.0571624	-0.0557301
125	0.025	-0.0576851	-0.0578144	-0.0571651	-0.0571651	-0.0569796	-0.0591439	-0.0828893	-0.0959821	-0.0571506	-0.0557111
126	0.0252	-0.0576795	-0.0578067	-0.0571595	-0.0571595	-0.0570321	-0.0591591	-0.0829116	-0.0959972	-0.0571387	-0.0556921
127	0.0254	-0.0576738	-0.057799	-0.0571541	-0.0571541	-0.0570825	-0.0591737	-0.0829338	-0.0960044	-0.0571265	-0.0556731
128	0.0256	-0.0576679	-0.0577915	-0.0571489	-0.0571489	-0.0571309	-0.0591877	-0.0829558	-0.0960043	-0.057114	-0.0556541
129	0.0258	-0.057662	-0.057784	-0.057144	-0.057144	-0.0571774	-0.0592012	-0.0829773	-0.0959976	-0.0571013	-0.0556352
130	0.026	-0.057656	-0.0577766	-0.0571385	-0.0571385	-0.0572295	-0.059217	-0.0829982	-0.0959848	-0.0570883	-0.0556162
131	0.0262	-0.0576499	-0.0577693	-0.0571332	-0.0571332	-0.0572796	-0.0592322	-0.0830195	-0.0959669	-0.057075	-0.0555972
132	0.0264	-0.0576438	-0.0577621	-0.0571281	-0.0571281	-0.0573277	-0.0592468	-0.0830408	-0.0959444	-0.0570614	-0.0555782
133	0.0266	-0.0576377	-0.057755	-0.0571232	-0.0571232	-0.0573739	-0.0592608	-0.0830621	-0.0959177	-0.0570475	-0.0555593
