TimeSlice	Time	L Knee ext Ia	L Knee flx Ia	L Knee ext Ia IN	L Knee flx Ia IN	L Knee flx Ib	L Knee ext Ib	L Knee MN ext	L Knee MN flx	L Knee MN ext RE	L Knee MN flx RE
79	0.0158	-0.0604433	-0.0604763	-0.0599988	-0.059998	-0.0598162	-0.0590059	-0.0911583	-0.0928802	-0.0569494	-0.0571805
80	0.016	-0.0604534	-0.0604839	-0.0599988	-0.059998	-0.0598234	-0.0590091	-0.0913292	-0.093066	-0.0569572	-0.0571881
81	0.0162	-0.0604628	-0.060491	-0.0599988	-0.059998	-0.0598303	-0.0590122	-0.0914869	-0.0932452	-0.0569641	-0.057195
82	0.0164	-0.0604714	-0.0604978	-0.0599988	-0.059998	-0.059837	-0.0590151	-0.0916318	-0.0934182	-0.0569702	-0.0572011
83	0.0166	-0.0604792	-0.0605042	-0.0599988	-0.059998	-0.0598434	-0.059018	-0.0917643	-0.0935851	-0.0569755	-0.0572065
84	0.0168	-0.0604863	-0.0605103	-0.0599988	-0.059998	-0.0598495	-0.0590207	-0.0918848	-0.0937461	-0.0569799	-0.0572112
85	0.017	-0.0604927	-0.0605161	-0.0599988	-0.059998	-0.0598554	-0.0590252	-0.0919935	-0.0939015	-0.0569834	-0.0572152
86	0.0172	-0.0604985	-0.0605216	-0.0599988	-0.059998	-0.0598611	-0.0590295	-0.0920911	-0.0940514	-0.0569861	-0.0572184
87	0.0174	-0.0605037	-0.0605269	-0.0599988	-0.059998	-0.0598665	-0.0590336	-0.0921779	-0.0941959	-0.0569879	-0.0572211
88	0.0176	-0.0605083	-0.0605319	-0.0599988	-0.059998	-0.0598718	-0.0590376	-0.0922542	-0.0943353	-0.0569889	-0.0572231
89	0.0178	-0.0605123	-0.0605367	-0.0599988	-0.059998	-0.0598768	-0.0590414	-0.0923203	-0.0944698	-0.0569891	-0.0572244
90	0.018	-0.0605158	-0.0605413	-0.0599988	-0.059998	-0.0598816	-0.0590469	-0.0923766	-0.0945995	-0.0569884	-0.0572252
91	0.0182	-0.0605187	-0.0605457	-0.0599988	-0.059998	-0.0598863	-0.0590521	-0.0924236	-0.0947245	-0.0569869	-0.0572253
92	0.0184	-0.0605212	-0.0605499	-0.0599988	-0.059998	-0.0598907	-0.0590572	-0.0924616	-0.094845	-0.0569845	-0.0572249
93	0.0186	-0.0605232	-0.0605539	-0.0599988	-0.059998	-0.059895	-0.059062	-0.0924908	-0.0949612	-0.0569814	-0.0572239
94	0.0188	-0.0605248	-0.0605578	-0.0599988	-0.059998	-0.0598991	-0.0590667	-0.0925116	-0.0950732	-0.0569775	-0.0572224
95	0.019	-0.060526	-0.0605615	-0.0599988	-0.059998	-0.0599031	-0.0590729	-0.0925243	-0.0951811	-0.0569727	-0.0572204
96	0.0192	-0.0605269	-0.060565	-0.0599988	-0.059998	-0.0599069	-0.0590788	-0.0925293	-0.0952851	-0.0569672	-0.0572179
97	0.0194	-0.0605273	-0.0605685	-0.0599988	-0.059998	-0.0599105	-0.0590845	-0.0925269	-0.0953853	-0.0569609	-0.0572149
98	0.0196	-0.0605274	-0.0605718	-0.0599988	-0.059998	-0.059914	-0.05909	-0.0925174	-0.0954819	-0.0569538	-0.0572114
99	0.0198	-0.0605272	-0.0605751	-0.0599988	-0.059998	-0.0599174	-0.0590953	-0.092501	-0.0955748	-0.056946	-0.0572075
100	0.02	-0.0605267	-0.0605782	-0.0599988	-0.059998	-0.0599206	-0.059102	-0.092478	-0.0956643	-0.0569374	-0.0572031
