TimeSlice	Time	L RG ext IN	L RG flx IN	L RG ext	L RG flx
198	0.0396	-0.0590406	-0.0598998	-0.059345	-0.059812
199	0.0398	-0.0590398	-0.0598922	-0.0593445	-0.0598054
200	0.04	-0.059039	-0.0598845	-0.0593441	-0.059799
201	0.0402	-0.0590382	-0.0598768	-0.059344	-0.0597928
202	0.0404	-0.0590375	-0.0598689	-0.0593439	-0.0597869
203	0.0406	-0.0590367	-0.059861	-0.0593441	-0.0597811
204	0.0408	-0.0590361	-0.0598531	-0.0593444	-0.0597754
205	0.041	-0.0590354	-0.0598451	-0.0593448	-0.05977
206	0.0412	-0.0590348	-0.0598371	-0.0593454	-0.0597646
207	0.0414	-0.0590343	-0.0598291	-0.0593462	-0.0597595
208	0.0416	-0.0590338	-0.0598212	-0.0593471	-0.0597545
209	0.0418	-0.0590335	-0.0598132	-0.0593481	-0.0597496
210	0.042	-0.0590331	-0.0598052	-0.0593492	-0.0597449
211	0.0422	-0.0590329	-0.0597973	-0.0593505	-0.0597403
212	0.0424	-0.0590327	-0.0597894	-0.0593519	-0.0597358
213	0.0426	-0.0590327	-0.0597816	-0.0593534	-0.0597314
214	0.0428	-0.0590327	-0.0597738	-0.059355	-0.0597271
215	0.043	-0.0590328	-0.059766	-0.0593567	-0.0597229
216	0.0432	-0.059033	-0.0597583	-0.0593585	-0.0597188
217	0.0434	-0.0590334	-0.0597507	-0.0593604	-0.0597148
218	0.0436	-0.0590338	-0.0597431	-0.0593624	-0.0597109
219	0.0438	-0.0590343	-0.0597356	-0.0593644	-0.059707
220	0.044	-0.0590349	-0.0597282	-0.0593666	-0.0597033
221	0.0442	-0.0590356	-0.0597208	-0.0593688	-0.0596995
222	0.0444	-0.0590364	-0.0597135	-0.0593711	-0.0596959
223	0.0446	-0.0590373	-0.0597063	-0.0593734	-0.0596923
224	0.0448	-0.0590383	-0.0596992	-0.0593758	-0.0596887
225	0.045	-0.0590394	-0.0596921	-0.0593783	-0.0596852
226	0.0452	-0.0590407	-0.0596851	-0.0593808	-0.0596817
227	0.0454	-0.059042	-0.0596781	-0.0593834	-0.0596783
228	0.0456	-0.0590434	-0.0596712	-0.059386	-0.0596749
229	0.0458	-0.0590449	-0.0596644	-0.0593886	-0.0596715
230	0.046	-0.0590464	-0.0596577	-0.0593913	-0.0596681
231	0.0462	-0.0590481	-0.059651	-0.059394	-0.0596648
232	0.0464	-0.0590499	-0.0596444	-0.0593967	-0.0596615
233	0.0466	-0.0590518	-0.0596379	-0.0593995	-0.0596582
234	0.0468	-0.0590537	-0.0596314	-0.0594022	-0.0596548
235	0.047	-0.0590557	-0.059625	-0.059405	-0.0596515
236	0.0472	-0.0590578	-0.0596187	-0.0594078	-0.0596483
237	0.0474	-0.05906	-0.0596124	-0.0594106	-0.059645
238	0.0476	-0.0590623	-0.0596061	-0.0594135	-0.0596417
239	0.0478	-0.0590646	-0.0595999	-0.0594163	-0.0596384
