TimeSlice	Time	R Knee flx Ia	R Knee ext Ia	R Knee ext Ia IN	R Knee flx Ia IN	R Knee ext Ib	R Knee flx Ib	R Knee MN flx	R Knee MN ext	R Knee MN flx RE	L Knee MN ext RE
95	0.019	-0.0605196	-0.060568	-0.0599987	-0.059998	-0.0589041	-0.0599114	-0.0937602	-0.0937734	-0.0570382	-0.0571505
96	0.0192	-0.06052	-0.060572	-0.0599987	-0.059998	-0.0589054	-0.0599149	-0.0937865	-0.0938448	-0.0570355	-0.0571447
97	0.0194	-0.0605201	-0.0605758	-0.0599987	-0.059998	-0.0589067	-0.0599182	-0.0938044	-0.0939131	-0.057032	-0.0571383
98	0.0196	-0.0605198	-0.0605796	-0.0599987	-0.059998	-0.0589079	-0.0599215	-0.0938143	-0.0939785	-0.0570278	-0.0571315
99	0.0198	-0.0605192	-0.0605833	-0.0599987	-0.059998	-0.0589091	-0.0599245	-0.0938163	-0.0940409	-0.0570229	-0.0571242
100	0.02	-0.0605182	-0.0605869	-0.0599987	-0.059998	-0.0589112	-0.0599275	-0.0938108	-0.0941007	-0.0570172	-0.0571164
101	0.0202	-0.060517	-0.0605904	-0.0599987	-0.059998	-0.0589133	-0.0599303	-0.0937981	-0.0941578	-0.0570108	-0.0571081
102	0.0204	-0.0605155	-0.0605939	-0.0599987	-0.059998	-0.0589152	-0.0599331	-0.0937785	-0.0942125	-0.0570036	-0.0570995
103	0.0206	-0.0605138	-0.0605972	-0.0599987	-0.059998	-0.0589171	-0.0599357	-0.0937521	-0.0942648	-0.0569957	-0.0570904
104	0.0208	-0.0605118	-0.0606005	-0.0599987	-0.059998	-0.0589189	-0.0599382	-0.0937194	-0.0943148	-0.0569871	-0.057081
105	0.021	-0.0605096	-0.0606038	-0.0599987	-0.059998	-0.0589217	-0.0599406	-0.0936805	-0.0943627	-0.0569778	-0.0570711
106	0.0212	-0.0605071	-0.060607	-0.0599987	-0.0599979	-0.0589243	-0.059943	-0.0936357	-0.0944084	-0.0569679	-0.0570609
107	0.0214	-0.0605045	-0.0606102	-0.0599987	-0.0599979	-0.0589268	-0.0599452	-0.0935852	-0.0944522	-0.0569572	-0.0570504
108	0.0216	-0.0605018	-0.0606134	-0.0599987	-0.0599979	-0.0589292	-0.0599473	-0.0935294	-0.0944941	-0.0569459	-0.0570395
109	0.0218	-0.0604988	-0.0606165	-0.0599987	-0.0599979	-0.0589315	-0.0599494	-0.0934683	-0.0945342	-0.0569339	-0.0570284
110	0.022	-0.0604958	-0.0606195	-0.0599987	-0.0599979	-0.0589346	-0.0599514	-0.0934024	-0.0945725	-0.0569213	-0.0570169
111	0.0222	-0.0604926	-0.0606226	-0.0599987	-0.0599979	-0.0589377	-0.0599533	-0.0933317	-0.0946091	-0.056908	-0.0570052
112	0.0224	-0.0604892	-0.0606256	-0.0599987	-0.0599979	-0.0589406	-0.0599551	-0.0932565	-0.0946442	-0.0568942	-0.0569932
113	0.0226	-0.0604858	-0.0606287	-0.0599987	-0.0599979	-0.0589434	-0.0599569	-0.0931771	-0.0946778	-0.0568797	-0.0569809
114	0.0228	-0.0604823	-0.0606317	-0.0599987	-0.0599979	-0.0589461	-0.0599586	-0.0930936	-0.0947099	-0.0568647	-0.0569684
115	0.023	-0.0604787	-0.0606346	-0.0599987	-0.0599979	-0.0589496	-0.0599602	-0.0930063	-0.0947405	-0.056849	-0.0569556
116	0.0232	-0.060475	-0.0606376	-0.0599987	-0.0599979	-0.0589529	-0.0599618	-0.0929153	-0.0947699	-0.0568328	-0.0569427
117	0.0234	-0.0604712	-0.0606406	-0.0599987	-0.0599979	-0.0589561	-0.0599633	-0.0928209	-0.094798	-0.056816	-0.0569295
118	0.0236	-0.0604674	-0.0606436	-0.0599987	-0.0599979	-0.0589592	-0.0599647	-0.0927231	-0.0948249	-0.0567987	-0.0569162
119	0.0238	-0.0604636	-0.0606465	-0.0599987	-0.0599979	-0.0589622	-0.0599661	-0.0926223	-0.0948506	-0.0567809	-0.0569026
120	0.024	-0.0604597	-0.0606495	-0.0599987	-0.0599979	-0.0589659	-0.0599674	-0.0925185	-0.0948751	-0.0567626	-0.0568889
121	0.0242	-0.0604558	-0.0606525	-0.0599987	-0.0599979	-0.0589695	-0.0599687	-0.092412	-0.0948987	-0.0567437	-0.056875
122	0.0244	-0.0604519	-0.0606554	-0.0599987	-0.0599979	-0.058973	-0.0599699	-0.092303	-0.0949212	-0.0567244	-0.056861
123	0.0246	-0.060448	-0.0606584	-0.0599987	-0.0599979	-0.0589763	-0.0599711	-0.0921915	-0.0949427	-0.0567046	-0.0568468
124	0.0248	-0.060444	-0.0606613	-0.0599987	-0.0599979	-0.0589795	-0.0599722	-0.0920777	-0.0949625	-0.0566843	-0.0568325
125	0.025	-0.0604401	-0.0606638	-0.0599987	-0.0599979	-0.0589834	-0.0599733	-0.0919618	-0.0949723	-0.0566636	-0.0568181
126	0.0252	-0.0604362	-0.0606659	-0.0599986	-0.0599979	-0.0589872	-0.0599744	-0.0918439	-0.0949729	-0.0566425	-0.0568035
127	0.0254	-0.0604322	-0.0606677	-0.0599986	-0.0599979	-0.0589908	-0.0599754	-0.0917242	-0.094965	-0.0566209	-0.0567888
