TimeSlice	Time	L Hip PF ext IN	L Hip PF flx IN	L Hip PF ext	L Hip PF flx
6875	1.375	-0.0569469	-0.06	-0.0577306	-0.0603989
6876	1.3752	-0.0569482	-0.06	-0.0577317	-0.0603972
6877	1.3754	-0.0569495	-0.06	-0.0577328	-0.0603955
6878	1.3756	-0.0569507	-0.06	-0.0577339	-0.0603939
6879	1.3758	-0.056952	-0.06	-0.057735	-0.0603923
6880	1.376	-0.0569532	-0.06	-0.0577361	-0.0603906
6881	1.3762	-0.0569545	-0.06	-0.0577372	-0.060389
6882	1.3764	-0.0569558	-0.06	-0.0577383	-0.0603873
6883	1.3766	-0.056957	-0.06	-0.0577394	-0.0603857
6884	1.3768	-0.0569583	-0.06	-0.0577405	-0.060384
6885	1.377	-0.0569595	-0.06	-0.0577415	-0.0603824
6886	1.3772	-0.0569608	-0.06	-0.0577426	-0.0603808
6887	1.3774	-0.056962	-0.06	-0.0577437	-0.0603791
6888	1.3776	-0.0569633	-0.06	-0.0577448	-0.0603775
6889	1.3778	-0.0569645	-0.06	-0.0577459	-0.0603758
6890	1.378	-0.0569658	-0.06	-0.057747	-0.0603742
6891	1.3782	-0.056967	-0.06	-0.0577481	-0.0603726
6892	1.3784	-0.0569683	-0.06	-0.0577491	-0.0603709
6893	1.3786	-0.0569695	-0.06	-0.0577502	-0.0603693
6894	1.3788	-0.0569708	-0.06	-0.0577513	-0.0603677
6895	1.379	-0.056972	-0.06	-0.0577524	-0.060366
6896	1.3792	-0.0569733	-0.06	-0.0577535	-0.0603644
6897	1.3794	-0.0569745	-0.06	-0.0577546	-0.0603628
6898	1.3796	-0.0569758	-0.06	-0.0577556	-0.0603612
6899	1.3798	-0.056977	-0.06	-0.0577567	-0.0603595
6900	1.38	-0.0569782	-0.06	-0.0577578	-0.0603579
6901	1.3802	-0.0569795	-0.06	-0.0577589	-0.0603563
6902	1.3804	-0.0569807	-0.06	-0.05776	-0.0603546
6903	1.3806	-0.056982	-0.06	-0.057761	-0.060353
6904	1.3808	-0.0569832	-0.06	-0.0577621	-0.0603514
6905	1.381	-0.0569844	-0.06	-0.0577632	-0.0603498
6906	1.3812	-0.0569857	-0.06	-0.0577643	-0.0603481
6907	1.3814	-0.0569869	-0.06	-0.0577653	-0.0603465
6908	1.3816	-0.0569881	-0.06	-0.0577664	-0.0603449
6909	1.3818	-0.0569894	-0.06	-0.0577675	-0.0603433
6910	1.382	-0.0569906	-0.06	-0.0577686	-0.0603416
6911	1.3822	-0.0569918	-0.06	-0.0577696	-0.06034
6912	1.3824	-0.0569931	-0.06	-0.0577707	-0.0603384
6913	1.3826	-0.0569943	-0.06	-0.0577718	-0.0603367
6914	1.3828	-0.0569955	-0.06	-0.0577729	-0.0603351
6915	1.383	-0.0569968	-0.06	-0.057774	-0.0603335
6916	1.3832	-0.056998	-0.06	-0.057775	-0.0603319
6917	1.3834	-0.0569992	-0.06	-0.0577761	-0.0603302
6918	1.3836	-0.0570005	-0.06	-0.0577772	-0.0603286
6919	1.3838	-0.0570017	-0.06	-0.0577783	-0.060327
6920	1.384	-0.0570029	-0.06	-0.0577793	-0.0603254
6921	1.3842	-0.0570042	-0.06	-0.0577804	-0.0603237
6922	1.3844	-0.0570054	-0.06	-0.0577815	-0.0603221
6923	1.3846	-0.0570066	-0.06	-0.0577825	-0.0603205
6924	1.3848	-0.0570078	-0.06	-0.0577836	-0.0603188
6925	1.385	-0.0570091	-0.06	-0.0577847	-0.0603172
6926	1.3852	-0.0570103	-0.06	-0.0577858	-0.0603156
6927	1.3854	-0.0570115	-0.06	-0.0577868	-0.060314
6928	1.3856	-0.0570127	-0.06	-0.0577879	-0.0603123
6929	1.3858	-0.057014	-0.06	-0.057789	-0.0603107
6930	1.386	-0.0570152	-0.06	-0.0577901	-0.0603091
6931	1.3862	-0.0570164	-0.06	-0.0577911	-0.0603074
6932	1.3864	-0.0570177	-0.06	-0.0577922	-0.0603058
6933	1.3866	-0.0570189	-0.06	-0.0577933	-0.0603042
6934	1.3868	-0.0570201	-0.06	-0.0577944	-0.0603025
6935	1.387	-0.0570213	-0.06	-0.0577954	-0.0603009
6936	1.3872	-0.0570226	-0.06	-0.0577965	-0.0602993
6937	1.3874	-0.0570238	-0.06	-0.0577976	-0.0602976
6938	1.3876	-0.057025	-0.06	-0.0577987	-0.060296
6939	1.3878	-0.0570262	-0.06	-0.0577997	-0.0602943
6940	1.388	-0.0570275	-0.06	-0.0578008	-0.0602927
6941	1.3882	-0.0570287	-0.06	-0.0578019	-0.0602911
6942	1.3884	-0.0570299	-0.06	-0.057803	-0.0602894
6943	1.3886	-0.0570311	-0.06	-0.057804	-0.0602878
6944	1.3888	-0.0570324	-0.06	-0.0578051	-0.0602861
6945	1.389	-0.0570336	-0.06	-0.0578062	-0.0602845
6946	1.3892	-0.0570348	-0.06	-0.0578073	-0.0602829
6947	1.3894	-0.057036	-0.06	-0.0578084	-0.0602812
6948	1.3896	-0.0570373	-0.06	-0.0578094	-0.0602796
6949	1.3898	-0.0570385	-0.06	-0.0578105	-0.0602779
6950	1.39	-0.0570397	-0.06	-0.0578116	-0.0602763
6951	1.3902	-0.057041	-0.06	-0.0578127	-0.0602746
6952	1.3904	-0.0570422	-0.06	-0.0578137	-0.060273
6953	1.3906	-0.0570434	-0.06	-0.0578148	-0.0602713
6954	1.3908	-0.0570446	-0.06	-0.0578159	-0.0602697
6955	1.391	-0.0570459	-0.06	-0.057817	-0.060268
6956	1.3912	-0.0570471	-0.06	-0.0578181	-0.0602663
6957	1.3914	-0.0570483	-0.06	-0.0578191	-0.0602647
6958	1.3916	-0.0570496	-0.06	-0.0578202	-0.060263
6959	1.3918	-0.0570508	-0.06	-0.0578213	-0.0602614
6960	1.392	-0.057052	-0.06	-0.0578224	-0.0602597
6961	1.3922	-0.0570532	-0.06	-0.0578235	-0.060258
6962	1.3924	-0.0570545	-0.06	-0.0578246	-0.0602564
6963	1.3926	-0.0570557	-0.06	-0.0578256	-0.0602547
6964	1.3928	-0.0570569	-0.06	-0.0578267	-0.060253
6965	1.393	-0.0570582	-0.06	-0.0578278	-0.0602514
6966	1.3932	-0.0570594	-0.06	-0.0578289	-0.0602497
6967	1.3934	-0.0570606	-0.06	-0.05783	-0.060248
6968	1.3936	-0.0570619	-0.06	-0.0578311	-0.0602464
