TimeSlice	Time	hip_L_deg	knee_L_deg	ankle_L_deg	hip_R_deg	knee_R_deg	ankle_R_deg	RG_L_stance	RG_L_inhabit	RG_R_stance	PF_L_hip_ext	PF_L_knee	PF_L_dorsi	MN_L_hip_ext	MN_L_knee_ext
80	0.016	1.9233	3.73453	-5.09007	1.98649	3.75516	-8.36031	-0.0572315	-0.054235	-0.059599	-0.0597782	-0.06348	-0.0562304	-0.0635466	-0.0641014
81	0.0162	1.9233	3.73453	-5.09007	1.98649	3.75516	-8.36031	-0.0569995	-0.0542258	-0.0596258	-0.0596634	-0.0633368	-0.0561881	-0.0635609	-0.064234
82	0.0164	1.9233	3.73453	-5.09007	1.98649	3.75516	-8.36031	-0.0572017	-0.0542169	-0.0595354	-0.0598805	-0.0635973	-0.056401	-0.0635712	-0.0643592
83	0.0166	1.9233	3.73453	-5.09007	1.98649	3.75516	-8.36031	-0.0573575	-0.0542084	-0.0593889	-0.0597072	-0.0635693	-0.0563527	-0.063578	-0.0644773
84	0.0168	2.01099	3.90019	-4.83092	2.12618	4.01408	-9.12767	-0.0574054	-0.0542002	-0.0591549	-0.0596752	-0.0637763	-0.0565189	-0.0635815	-0.0645888
85	0.017	2.01099	3.90019	-4.83092	2.12618	4.01408	-9.12767	-0.057567	-0.0541924	-0.0593103	-0.0597192	-0.0636063	-0.0563118	-0.063582	-0.0646939
86	0.0172	2.01099	3.90019	-4.83092	2.12618	4.01408	-9.12767	-0.0572911	-0.0541848	-0.0591556	-0.0596672	-0.0635368	-0.0563035	-0.0635797	-0.064793
87	0.0174	2.01099	3.90019	-4.83092	2.12618	4.01408	-9.12767	-0.0574226	-0.0541776	-0.0592802	-0.0596331	-0.0636787	-0.0560453	-0.0635748	-0.0648864
88	0.0176	2.01099	3.90019	-4.83092	2.12618	4.01408	-9.12767	-0.05711	-0.0541706	-0.0590576	-0.0597821	-0.0635639	-0.056158	-0.0635675	-0.0649744
89	0.0178	2.08178	3.99511	-4.964	2.27196	4.2727	-10.0532	-0.0569019	-0.0541639	-0.058879	-0.0596841	-0.0633929	-0.0561608	-0.0635581	-0.0650572
90	0.018	2.08178	3.99511	-4.964	2.27196	4.2727	-10.0532	-0.0566724	-0.0541575	-0.0590872	-0.0594732	-0.0633793	-0.0560553	-0.0635467	-0.0651351
91	0.0182	2.08178	3.99511	-4.964	2.27196	4.2727	-10.0532	-0.0565789	-0.0541513	-0.0590592	-0.0596317	-0.0635429	-0.0561477	-0.0635334	-0.0652084
92	0.0184	2.08178	3.99511	-4.964	2.27196	4.2727	-10.0532	-0.0564042	-0.0541454	-0.05902	-0.0594317	-0.063282	-0.055967	-0.0635184	-0.0652773
93	0.0186	2.08178	3.99511	-4.964	2.27196	4.2727	-10.0532	-0.0565838	-0.0541397	-0.0589833	-0.0592569	-0.0634248	-0.055961	-0.0635019	-0.065342
94	0.0188	2.1429	4.0543	-4.9853	2.42894	4.54064	-11.0722	-0.0564706	-0.0541342	-0.0589906	-0.0591179	-0.0633216	-0.0559158	-0.0634839	-0.0654029
95	0.019	2.1429	4.0543	-4.9853	2.42894	4.54064	-11.0722	-0.0564647	-0.054129	-0.0590472	-0.0590934	-0.063513	-0.0559192	-0.0634646	-0.06546
96	0.0192	2.1429	4.0543	-4.9853	2.42894	4.54064	-11.0722	-0.0563129	-0.0541239	-0.059151	-0.0593385	-0.0632126	-0.0559713	-0.0634441	-0.0655135
97	0.0194	2.1429	4.0543	-4.9853	2.42894	4.54064	-11.0722	-0.0562206	-0.054119	-0.0591958	-0.0592332	-0.0631339	-0.0560387	-0.0634224	-0.0655638
98	0.0196	2.1429	4.0543	-4.9853	2.42894	4.54064	-11.0722	-0.056167	-0.0541144	-0.0591643	-0.059114	-0.0631283	-0.0559023	-0.0633998	-0.0656109
99	0.0198	2.19685	4.07402	-4.98071	2.60196	4.83137	-12.0401	-0.0558826	-0.0541099	-0.0588583	-0.0591863	-0.0629485	-0.055916	-0.0633762	-0.065655
100	0.02	2.19685	4.07402	-4.98071	2.60196	4.83137	-12.0401	-0.0560708	-0.0541056	-0.0589229	-0.059422	-0.0628133	-0.0557299	-0.0633517	-0.0656963
101	0.0202	2.19685	4.07402	-4.98071	2.60196	4.83137	-12.0401	-0.0559285	-0.0541014	-0.0590841	-0.0591647	-0.0629747	-0.0557858	-0.0633265	-0.0657349
102	0.0204	2.19685	4.07402	-4.98071	2.60196	4.83137	-12.0401	-0.0557238	-0.0540975	-0.0589702	-0.0590482	-0.0628857	-0.0558052	-0.0633005	-0.065771
