TimeSlice	Time	L Ank flx Ia	L Ank ext Ia	L Ank flx Ia IN	L Ank ext Ia IN	L Ank ext Ib	L Ank flx Ib	L Ank MN ext	L Ank MN flx	L Ank MN flx RE	L Ank MN ext RE
83	0.0166	-0.0604949	-0.0604941	-0.0599983	-0.0599992	-0.059513	-0.0597181	-0.091696	-0.0937936	-0.0572637	-0.0569057
84	0.0168	-0.0605009	-0.0605013	-0.0599983	-0.0599992	-0.0595321	-0.0597168	-0.0918647	-0.0939266	-0.0572677	-0.0569119
85	0.017	-0.0605066	-0.0605077	-0.0599983	-0.0599992	-0.0595489	-0.0597162	-0.0920212	-0.0940539	-0.0572709	-0.0569174
86	0.0172	-0.0605121	-0.0605135	-0.0599983	-0.0599992	-0.0595651	-0.0597157	-0.0921657	-0.0941757	-0.0572734	-0.0569222
87	0.0174	-0.0605172	-0.0605187	-0.0599983	-0.0599992	-0.0595806	-0.0597152	-0.0922987	-0.0942924	-0.0572751	-0.0569262
88	0.0176	-0.0605222	-0.0605232	-0.0599983	-0.0599992	-0.0595956	-0.0597147	-0.0924203	-0.094404	-0.057276	-0.0569294
89	0.0178	-0.0605269	-0.0605272	-0.0599983	-0.0599992	-0.0596099	-0.0597142	-0.0925309	-0.0945109	-0.0572762	-0.0569319
90	0.018	-0.0605314	-0.0605306	-0.0599983	-0.0599992	-0.0596211	-0.0597146	-0.0926308	-0.0946132	-0.0572758	-0.0569337
91	0.0182	-0.0605358	-0.0605334	-0.0599983	-0.0599992	-0.0596319	-0.059715	-0.09272	-0.0947112	-0.0572747	-0.0569347
92	0.0184	-0.0605399	-0.0605358	-0.0599983	-0.0599992	-0.0596422	-0.0597154	-0.092799	-0.094805	-0.0572729	-0.0569349
93	0.0186	-0.060544	-0.0605377	-0.0599983	-0.0599992	-0.0596522	-0.0597158	-0.0928681	-0.094895	-0.0572705	-0.0569344
94	0.0188	-0.0605478	-0.0605392	-0.0599983	-0.0599992	-0.0596617	-0.0597162	-0.0929275	-0.0949811	-0.0572675	-0.0569332
95	0.019	-0.0605516	-0.0605402	-0.0599983	-0.0599992	-0.0596682	-0.0597174	-0.0929775	-0.0950635	-0.0572639	-0.0569312
96	0.0192	-0.0605552	-0.0605408	-0.0599983	-0.0599992	-0.0596745	-0.0597187	-0.0930183	-0.0951426	-0.0572597	-0.0569284
97	0.0194	-0.0605587	-0.0605411	-0.0599983	-0.0599992	-0.0596805	-0.0597198	-0.0930502	-0.0952185	-0.0572549	-0.056925
98	0.0196	-0.0605621	-0.0605409	-0.0599983	-0.0599992	-0.0596863	-0.0597209	-0.0930734	-0.0952912	-0.0572497	-0.0569208
99	0.0198	-0.0605654	-0.0605405	-0.0599983	-0.0599992	-0.0596918	-0.059722	-0.0930884	-0.0953608	-0.0572439	-0.0569159
100	0.02	-0.0605686	-0.0605397	-0.0599983	-0.0599992	-0.059695	-0.0597239	-0.0930953	-0.0954276	-0.0572376	-0.0569103
101	0.0202	-0.0605717	-0.0605386	-0.0599983	-0.0599992	-0.0596981	-0.0597257	-0.0930944	-0.0954917	-0.0572309	-0.0569039
102	0.0204	-0.0605748	-0.0605373	-0.0599983	-0.0599992	-0.059701	-0.0597274	-0.0930859	-0.0955532	-0.0572237	-0.0568969
103	0.0206	-0.0605778	-0.0605356	-0.0599983	-0.0599992	-0.0597039	-0.0597291	-0.0930702	-0.0956122	-0.0572161	-0.0568891
104	0.0208	-0.0605808	-0.0605338	-0.0599983	-0.0599992	-0.0597066	-0.0597307	-0.0930474	-0.0956688	-0.057208	-0.0568807
105	0.021	-0.0605837	-0.0605317	-0.0599983	-0.0599992	-0.0597079	-0.0597329	-0.093018	-0.095723	-0.0571996	-0.0568715
106	0.0212	-0.0605865	-0.0605294	-0.0599983	-0.0599992	-0.0597092	-0.059735	-0.0929821	-0.0957751	-0.0571907	-0.0568617
107	0.0214	-0.0605893	-0.0605269	-0.0599983	-0.0599992	-0.0597105	-0.0597371	-0.09294	-0.0958252	-0.0571815	-0.0568512
108	0.0216	-0.0605921	-0.0605242	-0.0599983	-0.0599992	-0.0597117	-0.059739	-0.0928919	-0.0958732	-0.0571719	-0.0568401
109	0.0218	-0.0605949	-0.0605214	-0.0599983	-0.0599992	-0.0597128	-0.0597409	-0.0928382	-0.0959193	-0.057162	-0.0568283
110	0.022	-0.0605976	-0.0605184	-0.0599983	-0.0599992	-0.0597136	-0.0597432	-0.0927791	-0.0959634	-0.0571517	-0.0568159
111	0.0222	-0.0606003	-0.0605153	-0.0599983	-0.0599992	-0.0597143	-0.0597454	-0.0927147	-0.0960059	-0.0571412	-0.0568029
112	0.0224	-0.060603	-0.060512	-0.0599983	-0.0599992	-0.059715	-0.0597475	-0.0926455	-0.0960466	-0.0571303	-0.0567892
113	0.0226	-0.0606057	-0.0605087	-0.0599983	-0.0599992	-0.0597157	-0.0597496	-0.0925716	-0.0960857	-0.0571192	-0.056775
114	0.0228	-0.0606084	-0.0605052	-0.0599983	-0.0599992	-0.0597163	-0.0597515	-0.0924933	-0.0961232	-0.0571078	-0.0567601
115	0.023	-0.0606111	-0.0605017	-0.0599983	-0.0599992	-0.0597174	-0.0597537	-0.0924107	-0.0961591	-0.0570961	-0.0567447
116	0.0232	-0.0606137	-0.060498	-0.0599983	-0.0599992	-0.0597184	-0.0597558	-0.0923242	-0.0961936	-0.0570842	-0.0567287
117	0.0234	-0.0606164	-0.0604944	-0.0599983	-0.0599992	-0.0597194	-0.0597578	-0.092234	-0.0962266	-0.0570721	-0.0567121
118	0.0236	-0.060619	-0.0604906	-0.0599982	-0.0599992	-0.0597203	-0.0597597	-0.0921403	-0.0962583	-0.0570597	-0.056695
119	0.0238	-0.0606217	-0.0604868	-0.0599982	-0.0599992	-0.0597212	-0.0597616	-0.0920432	-0.0962887	-0.0570472	-0.0566773
120	0.024	-0.0606244	-0.060483	-0.0599982	-0.0599992	-0.059723	-0.0597635	-0.091943	-0.0963177	-0.0570344	-0.0566592
121	0.0242	-0.060627	-0.0604791	-0.0599982	-0.0599992	-0.0597248	-0.0597654	-0.09184	-0.0963455	-0.0570215	-0.0566405
122	0.0244	-0.0606297	-0.0604752	-0.0599982	-0.0599992	-0.0597265	-0.0597672	-0.0917342	-0.0963721	-0.0570083	-0.0566214
