TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
2045	0.409	-0.0599999	-0.0558656	-0.0615567	-0.0567687
2046	0.4092	-0.0599999	-0.0558698	-0.0615537	-0.0567734
2047	0.4094	-0.0599999	-0.055874	-0.0615507	-0.056778
2048	0.4096	-0.06	-0.0558783	-0.0615476	-0.0567827
2049	0.4098	-0.06	-0.0558825	-0.0615446	-0.0567873
2050	0.41	-0.06	-0.0558868	-0.0615415	-0.056792
2051	0.4102	-0.06	-0.0558911	-0.0615383	-0.0567966
2052	0.4104	-0.06	-0.0558954	-0.0615352	-0.0568013
2053	0.4106	-0.06	-0.0558998	-0.061532	-0.0568059
2054	0.4108	-0.06	-0.0559041	-0.0615288	-0.0568106
2055	0.411	-0.06	-0.0559085	-0.0615256	-0.0568152
2056	0.4112	-0.06	-0.0559128	-0.0615223	-0.0568198
2057	0.4114	-0.06	-0.0559172	-0.0615191	-0.0568245
2058	0.4116	-0.06	-0.0559216	-0.0615158	-0.0568291
2059	0.4118	-0.06	-0.055926	-0.0615125	-0.0568337
2060	0.412	-0.06	-0.0559305	-0.0615092	-0.0568383
2061	0.4122	-0.06	-0.0559349	-0.0615058	-0.056843
2062	0.4124	-0.06	-0.0559393	-0.0615025	-0.0568476
2063	0.4126	-0.06	-0.0559438	-0.0614991	-0.0568522
2064	0.4128	-0.06	-0.0559482	-0.0614957	-0.0568568
2065	0.413	-0.06	-0.0559527	-0.0614923	-0.0568614
2066	0.4132	-0.06	-0.0559572	-0.0614888	-0.0568659
2067	0.4134	-0.06	-0.0559617	-0.0614854	-0.0568705
2068	0.4136	-0.06	-0.0559662	-0.0614819	-0.0568751
2069	0.4138	-0.06	-0.0559707	-0.0614785	-0.0568796
2070	0.414	-0.06	-0.0559751	-0.061475	-0.0568842
2071	0.4142	-0.06	-0.0559796	-0.0614715	-0.0568887
2072	0.4144	-0.06	-0.0559842	-0.0614679	-0.0568933
2073	0.4146	-0.06	-0.0559887	-0.0614644	-0.0568978
2074	0.4148	-0.06	-0.0559932	-0.0614609	-0.0569023
2075	0.415	-0.06	-0.0559977	-0.0614573	-0.0569068
2076	0.4152	-0.06	-0.0560022	-0.0614537	-0.0569113
2077	0.4154	-0.06	-0.0560067	-0.0614501	-0.0569158
2078	0.4156	-0.06	-0.0560112	-0.0614466	-0.0569202
2079	0.4158	-0.06	-0.0560157	-0.0614429	-0.0569247
2080	0.416	-0.06	-0.0560203	-0.0614393	-0.0569291
2081	0.4162	-0.06	-0.0560248	-0.0614357	-0.0569336
2082	0.4164	-0.06	-0.0560293	-0.0614321	-0.056938
2083	0.4166	-0.06	-0.0560338	-0.0614284	-0.0569424
2084	0.4168	-0.06	-0.0560383	-0.0614248	-0.0569468
2085	0.417	-0.06	-0.0560428	-0.0614211	-0.0569512
2086	0.4172	-0.06	-0.0560473	-0.0614174	-0.0569556
2087	0.4174	-0.06	-0.0560518	-0.0614138	-0.0569599
2088	0.4176	-0.06	-0.0560563	-0.0614101	-0.0569643
2089	0.4178	-0.06	-0.0560608	-0.0614064	-0.0569686
2090	0.418	-0.06	-0.0560653	-0.0614027	-0.0569729
2091	0.4182	-0.06	-0.0560698	-0.061399	-0.0569772
2092	0.4184	-0.06	-0.0560743	-0.0613953	-0.0569815
2093	0.4186	-0.06	-0.0560788	-0.0613915	-0.0569858
2094	0.4188	-0.06	-0.0560833	-0.0613878	-0.05699
2095	0.419	-0.06	-0.0560877	-0.0613841	-0.0569943
2096	0.4192	-0.06	-0.0560922	-0.0613804	-0.0569985
2097	0.4194	-0.06	-0.0560966	-0.0613766	-0.0570027
2098	0.4196	-0.06	-0.0561011	-0.0613729	-0.0570069
2099	0.4198	-0.06	-0.0561055	-0.0613691	-0.0570111
2100	0.42	-0.06	-0.05611	-0.0613654	-0.0570153
2101	0.4202	-0.06	-0.0561144	-0.0613616	-0.0570194
2102	0.4204	-0.06	-0.0561188	-0.0613579	-0.0570236
2103	0.4206	-0.06	-0.0561232	-0.0613541	-0.0570277
2104	0.4208	-0.06	-0.0561276	-0.0613503	-0.0570318
2105	0.421	-0.06	-0.056132	-0.0613466	-0.0570359
2106	0.4212	-0.06	-0.0561364	-0.0613428	-0.05704
2107	0.4214	-0.06	-0.0561408	-0.061339	-0.057044
2108	0.4216	-0.06	-0.0561451	-0.0613353	-0.0570481
2109	0.4218	-0.06	-0.0561495	-0.0613315	-0.0570521
2110	0.422	-0.06	-0.0561538	-0.0613277	-0.0570561
2111	0.4222	-0.06	-0.0561582	-0.061324	-0.0570601
2112	0.4224	-0.06	-0.0561625	-0.0613202	-0.0570641
2113	0.4226	-0.06	-0.0561668	-0.0613164	-0.057068
2114	0.4228	-0.06	-0.0561711	-0.0613126	-0.057072
2115	0.423	-0.06	-0.0561754	-0.0613089	-0.0570759
2116	0.4232	-0.06	-0.0561797	-0.0613051	-0.0570798
2117	0.4234	-0.06	-0.0561839	-0.0613013	-0.0570837
2118	0.4236	-0.06	-0.0561882	-0.0612975	-0.0570876
2119	0.4238	-0.06	-0.0561924	-0.0612938	-0.0570914
2120	0.424	-0.06	-0.0561967	-0.06129	-0.0570953
2121	0.4242	-0.06	-0.0562009	-0.0612862	-0.0570991
2122	0.4244	-0.06	-0.0562051	-0.0612825	-0.0571029
2123	0.4246	-0.06	-0.0562093	-0.0612787	-0.0571067
2124	0.4248	-0.06	-0.0562135	-0.0612749	-0.0571105
2125	0.425	-0.06	-0.0562177	-0.0612712	-0.0571142
2126	0.4252	-0.06	-0.0562218	-0.0612674	-0.057118
2127	0.4254	-0.06	-0.056226	-0.0612637	-0.0571217
2128	0.4256	-0.06	-0.0562301	-0.0612599	-0.0571254
2129	0.4258	-0.06	-0.0562342	-0.0612562	-0.0571291
2130	0.426	-0.06	-0.0562383	-0.0612524	-0.0571328
2131	0.4262	-0.06	-0.0562424	-0.0612487	-0.0571364
2132	0.4264	-0.06	-0.0562465	-0.061245	-0.0571401
2133	0.4266	-0.06	-0.0562505	-0.0612412	-0.0571437
2134	0.4268	-0.06	-0.0562546	-0.0612375	-0.0571473
2135	0.427	-0.06	-0.0562586	-0.0612338	-0.0571509
2136	0.4272	-0.06	-0.0562626	-0.06123	-0.0571544
2137	0.4274	-0.06	-0.0562667	-0.0612263	-0.057158
2138	0.4276	-0.06	-0.0562707	-0.0612226	-0.0571615
2139	0.4278	-0.06	-0.0562746	-0.0612189	-0.057165
2140	0.428	-0.06	-0.0562786	-0.0612152	-0.0571686
2141	0.4282	-0.06	-0.0562825	-0.0612115	-0.057172
2142	0.4284	-0.06	-0.0562865	-0.0612078	-0.0571755
2143	0.4286	-0.06	-0.0562904	-0.0612041	-0.057179
2144	0.4288	-0.06	-0.0562943	-0.0612005	-0.0571824
