TimeSlice	Time	L Hip flx Ia	L Hip ext Ia	L Hip ext Ia IN	L Hip flx Ia IN	L Hip flx Ib	L Hip ext Ib	L Hip MN ext	L Hip MN flx	L Hip MN flx R	L Hip MN ext R
102	0.0204	-0.0580494	-0.0580424	-0.0576367	-0.0574332	-0.0575681	-0.059635	-0.0946244	-0.0892491	-0.0566988	-0.0572032
103	0.0206	-0.0580449	-0.0580354	-0.0576351	-0.0574289	-0.0575891	-0.0596434	-0.0945819	-0.0893125	-0.0566849	-0.0571955
104	0.0208	-0.0580405	-0.0580284	-0.0576336	-0.0574248	-0.0576093	-0.0596515	-0.0945345	-0.0893758	-0.0566709	-0.0571871
105	0.021	-0.0580364	-0.0580214	-0.0576321	-0.0574205	-0.0576332	-0.0596611	-0.0944823	-0.0894387	-0.0566567	-0.057178
106	0.0212	-0.0580325	-0.0580145	-0.0576307	-0.0574163	-0.0576562	-0.0596703	-0.0944258	-0.0895019	-0.0566424	-0.0571682
107	0.0214	-0.0580288	-0.0580077	-0.0576293	-0.0574123	-0.0576783	-0.0596791	-0.0943652	-0.0895653	-0.056628	-0.0571578
108	0.0216	-0.0580253	-0.0580009	-0.057628	-0.0574085	-0.0576995	-0.0596876	-0.0943006	-0.0896286	-0.0566134	-0.0571466
109	0.0218	-0.058022	-0.0579943	-0.0576268	-0.0574048	-0.0577199	-0.0596958	-0.0942322	-0.0896918	-0.0565988	-0.0571349
110	0.022	-0.0580189	-0.0579877	-0.0576256	-0.057401	-0.0577437	-0.0597053	-0.0941602	-0.0897546	-0.0565841	-0.0571225
111	0.0222	-0.058016	-0.0579812	-0.0576244	-0.0573973	-0.0577666	-0.0597144	-0.0940849	-0.0898177	-0.0565693	-0.0571094
112	0.0224	-0.0580133	-0.0579748	-0.0576233	-0.0573938	-0.0577886	-0.0597232	-0.0940066	-0.089881	-0.0565545	-0.0570958
113	0.0226	-0.0580107	-0.0579685	-0.0576223	-0.0573904	-0.0578097	-0.0597316	-0.0939253	-0.0899441	-0.0565397	-0.0570816
114	0.0228	-0.0580083	-0.0579624	-0.0576212	-0.0573871	-0.05783	-0.0597397	-0.0938411	-0.0900071	-0.0565248	-0.0570668
115	0.023	-0.0580061	-0.0579563	-0.0576202	-0.0573837	-0.0578534	-0.059749	-0.0937543	-0.0900697	-0.0565098	-0.0570514
116	0.0232	-0.0580041	-0.0579503	-0.0576193	-0.0573804	-0.057876	-0.0597579	-0.0936651	-0.0901325	-0.0564949	-0.0570355
117	0.0234	-0.0580022	-0.0579445	-0.0576184	-0.0573772	-0.0578976	-0.0597665	-0.0935737	-0.0901954	-0.05648	-0.0570191
118	0.0236	-0.0580005	-0.0579388	-0.0576175	-0.0573742	-0.0579184	-0.0597747	-0.0934801	-0.0902581	-0.0564651	-0.0570021
119	0.0238	-0.057999	-0.0579332	-0.0576167	-0.0573712	-0.0579384	-0.0597826	-0.0933845	-0.0903206	-0.0564501	-0.0569846
120	0.024	-0.0579976	-0.0579277	-0.0576159	-0.0573682	-0.0579613	-0.0597912	-0.093287	-0.0903827	-0.0564352	-0.0569667
121	0.0242	-0.0579963	-0.0579223	-0.0576151	-0.0573652	-0.0579833	-0.0597994	-0.0931878	-0.090445	-0.0564204	-0.0569482
122	0.0244	-0.0579951	-0.0579171	-0.0576144	-0.0573624	-0.0580045	-0.0598072	-0.093087	-0.0905072	-0.0564055	-0.0569293
123	0.0246	-0.0579941	-0.057912	-0.0576136	-0.0573596	-0.0580248	-0.0598148	-0.0929847	-0.0905692	-0.0563907	-0.05691
124	0.0248	-0.0579932	-0.057907	-0.057613	-0.057357	-0.0580443	-0.059822	-0.092881	-0.0906302	-0.0563759	-0.0568902
125	0.025	-0.0579921	-0.0579022	-0.0576123	-0.0573542	-0.0580666	-0.059829	-0.092776	-0.0906822	-0.0563612	-0.05687
126	0.0252	-0.0579907	-0.0578975	-0.0576117	-0.0573516	-0.058088	-0.0598357	-0.0926698	-0.0907265	-0.0563465	-0.0568493
127	0.0254	-0.057989	-0.0578929	-0.057611	-0.057349	-0.0581085	-0.0598422	-0.0925625	-0.0907635	-0.0563318	-0.0568283
128	0.0256	-0.0579873	-0.0578885	-0.0576105	-0.0573465	-0.0581283	-0.0598484	-0.0924542	-0.090794	-0.056317	-0.0568069
129	0.0258	-0.0579853	-0.0578842	-0.0576099	-0.0573442	-0.0581472	-0.0598543	-0.0923451	-0.0908184	-0.0563022	-0.0567851
130	0.026	-0.0579832	-0.0578801	-0.0576094	-0.0573416	-0.0581688	-0.05986	-0.0922352	-0.0908372	-0.0562874	-0.056763
131	0.0262	-0.057981	-0.0578762	-0.0576088	-0.0573392	-0.0581895	-0.0598655	-0.0921249	-0.0908516	-0.0562725	-0.0567405
132	0.0264	-0.0579787	-0.0578724	-0.0576083	-0.0573369	-0.0582094	-0.0598708	-0.0920141	-0.0908618	-0.0562575	-0.0567177
133	0.0266	-0.0579764	-0.0578688	-0.0576079	-0.0573347	-0.0582285	-0.0598758	-0.0919031	-0.0908683	-0.0562425	-0.0566946
134	0.0268	-0.057974	-0.0578654	-0.0576074	-0.0573325	-0.0582468	-0.0598807	-0.091792	-0.0908714	-0.0562274	-0.0566712
