TimeSlice	Time	R Ank ext Ia	R Ank flx Ia	R Ank ext Ia IN	R Ank flx Ia IN	R Ank ext Ib	R Ank flx Ib	R Ank MN flx	R Ank MN ext	R Ank MN flx RE	R Ank MN ext RE
13016	2.6032	-0.0586968	-0.0625233	-0.059999	-0.0599987	-0.0571443	-0.0595866	-0.0924354	-0.0473446	-0.0477243	-0.0437906
13017	2.6034	-0.0586988	-0.0625238	-0.059999	-0.0599987	-0.057148	-0.059587	-0.0924339	-0.0473618	-0.0477189	-0.0437962
13018	2.6036	-0.0587008	-0.0625243	-0.059999	-0.0599987	-0.0571515	-0.0595873	-0.0924323	-0.047379	-0.0477134	-0.0438018
13019	2.6038	-0.0587028	-0.0625248	-0.059999	-0.0599987	-0.0571549	-0.0595876	-0.0924307	-0.0473963	-0.047708	-0.0438074
13020	2.604	-0.0587048	-0.0625253	-0.059999	-0.0599987	-0.0571589	-0.059588	-0.0924291	-0.0474137	-0.0477026	-0.0438129
13021	2.6042	-0.0587068	-0.0625258	-0.059999	-0.0599987	-0.0571627	-0.0595884	-0.0924275	-0.0474312	-0.0476971	-0.0438185
13022	2.6044	-0.0587089	-0.0625263	-0.059999	-0.0599987	-0.0571663	-0.0595887	-0.0924258	-0.0474487	-0.0476917	-0.0438241
13023	2.6046	-0.0587109	-0.0625268	-0.059999	-0.0599987	-0.0571698	-0.059589	-0.0924241	-0.0474663	-0.0476863	-0.0438297
13024	2.6048	-0.058713	-0.0625273	-0.059999	-0.0599987	-0.0571731	-0.0595893	-0.0924224	-0.047484	-0.0476809	-0.0438352
13025	2.605	-0.0587151	-0.0625278	-0.059999	-0.0599987	-0.057177	-0.0595897	-0.0924207	-0.0475017	-0.0476754	-0.0438408
13026	2.6052	-0.0587172	-0.0625283	-0.059999	-0.0599987	-0.0571808	-0.05959	-0.0924189	-0.0475195	-0.04767	-0.0438464
13027	2.6054	-0.0587193	-0.0625288	-0.059999	-0.0599987	-0.0571844	-0.0595904	-0.0924171	-0.0475374	-0.0476646	-0.0438519
13028	2.6056	-0.0587214	-0.0625292	-0.059999	-0.0599987	-0.0571879	-0.0595907	-0.0924153	-0.0475553	-0.0476592	-0.0438575
13029	2.6058	-0.0587235	-0.0625297	-0.059999	-0.0599987	-0.0571912	-0.059591	-0.0924134	-0.0475732	-0.0476538	-0.043863
13030	2.606	-0.0587257	-0.0625302	-0.059999	-0.0599987	-0.0571951	-0.0595913	-0.0924115	-0.0475913	-0.0476484	-0.0438685
13031	2.6062	-0.0587278	-0.0625307	-0.059999	-0.0599987	-0.0571988	-0.0595917	-0.0924096	-0.0476093	-0.047643	-0.0438741
13032	2.6064	-0.05873	-0.0625312	-0.059999	-0.0599987	-0.0572024	-0.059592	-0.0924077	-0.0476275	-0.0476376	-0.0438796
