TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
14502	2.9004	-0.06	-0.0569249	-0.0604361	-0.0577083
14503	2.9006	-0.06	-0.0569261	-0.0604346	-0.0577092
14504	2.9008	-0.06	-0.0569272	-0.0604332	-0.0577102
14505	2.901	-0.06	-0.0569283	-0.0604318	-0.0577111
14506	2.9012	-0.06	-0.0569294	-0.0604304	-0.057712
14507	2.9014	-0.06	-0.0569305	-0.060429	-0.0577129
14508	2.9016	-0.06	-0.0569316	-0.0604276	-0.0577138
14509	2.9018	-0.06	-0.0569327	-0.0604262	-0.0577147
14510	2.902	-0.06	-0.0569338	-0.0604248	-0.0577156
14511	2.9022	-0.06	-0.0569349	-0.0604234	-0.0577165
14512	2.9024	-0.06	-0.056936	-0.060422	-0.0577174
14513	2.9026	-0.06	-0.0569371	-0.0604206	-0.0577183
14514	2.9028	-0.06	-0.0569381	-0.0604192	-0.0577192
14515	2.903	-0.06	-0.0569392	-0.0604178	-0.0577201
14516	2.9032	-0.06	-0.0569403	-0.0604164	-0.057721
14517	2.9034	-0.06	-0.0569414	-0.0604151	-0.0577219
14518	2.9036	-0.06	-0.0569424	-0.0604137	-0.0577227
14519	2.9038	-0.06	-0.0569435	-0.0604124	-0.0577236
14520	2.904	-0.06	-0.0569445	-0.060411	-0.0577245
14521	2.9042	-0.06	-0.0569456	-0.0604096	-0.0577254
14522	2.9044	-0.06	-0.0569467	-0.0604083	-0.0577262
14523	2.9046	-0.06	-0.0569477	-0.0604069	-0.0577271
14524	2.9048	-0.06	-0.0569488	-0.0604056	-0.057728
14525	2.905	-0.06	-0.0569498	-0.0604043	-0.0577288
14526	2.9052	-0.06	-0.0569508	-0.0604029	-0.0577297
14527	2.9054	-0.06	-0.0569519	-0.0604016	-0.0577305
14528	2.9056	-0.06	-0.0569529	-0.0604003	-0.0577314
14529	2.9058	-0.06	-0.0569539	-0.0603989	-0.0577322
14530	2.906	-0.06	-0.056955	-0.0603976	-0.0577331
14531	2.9062	-0.06	-0.056956	-0.0603963	-0.0577339
14532	2.9064	-0.06	-0.056957	-0.060395	-0.0577348
14533	2.9066	-0.06	-0.056958	-0.0603937	-0.0577356
14534	2.9068	-0.06	-0.056959	-0.0603924	-0.0577364
14535	2.907	-0.06	-0.0569601	-0.0603911	-0.0577373
14536	2.9072	-0.06	-0.0569611	-0.0603898	-0.0577381
14537	2.9074	-0.06	-0.0569621	-0.0603885	-0.0577389
14538	2.9076	-0.06	-0.0569631	-0.0603872	-0.0577397
