TimeSlice	Time	L Ank flx Ia	L Ank ext Ia	L Ank flx Ia IN	L Ank ext Ia IN	L Ank ext Ib	L Ank flx Ib	L Ank MN ext	L Ank MN flx	L Ank MN flx RE	L Ank MN ext RE
23136	4.6272	-0.0616708	-0.0605816	-0.0599983	-0.0599992	-0.0598192	-0.0596558	-0.0630651	-0.0781907	-0.0464047	-0.0449166
23137	4.6274	-0.0616902	-0.0605617	-0.0599983	-0.0599992	-0.0598176	-0.059658	-0.0628501	-0.0784805	-0.0464197	-0.0449029
23138	4.6276	-0.0617097	-0.0605417	-0.0599983	-0.0599992	-0.0598161	-0.05966	-0.0626347	-0.078774	-0.046435	-0.0448891
23139	4.6278	-0.0617293	-0.0605214	-0.0599983	-0.0599992	-0.0598146	-0.059662	-0.0624189	-0.0790712	-0.0464503	-0.0448752
23140	4.628	-0.061749	-0.060501	-0.0599983	-0.0599992	-0.0598127	-0.0596641	-0.0622026	-0.0793722	-0.0464659	-0.0448613
23141	4.6282	-0.0617689	-0.0604805	-0.0599983	-0.0599992	-0.0598108	-0.0596661	-0.0619859	-0.0796769	-0.0464816	-0.0448473
23142	4.6284	-0.0617889	-0.0604597	-0.0599983	-0.0599992	-0.0598091	-0.0596681	-0.0617688	-0.0799856	-0.0464975	-0.0448332
23143	4.6286	-0.0618091	-0.0604388	-0.0599983	-0.0599992	-0.0598074	-0.0596699	-0.0615512	-0.0802982	-0.0465135	-0.0448191
23144	4.6288	-0.0618293	-0.0604178	-0.0599983	-0.0599992	-0.0598057	-0.0596717	-0.0613333	-0.0806149	-0.0465297	-0.0448048
23145	4.629	-0.0618497	-0.0603965	-0.0599983	-0.0599992	-0.0598036	-0.0596735	-0.0611149	-0.0809356	-0.0465461	-0.0447905
23146	4.6292	-0.0618703	-0.0603751	-0.0599983	-0.0599992	-0.0598015	-0.0596753	-0.0608961	-0.0812605	-0.0465627	-0.0447762
23147	4.6294	-0.0618909	-0.0603535	-0.0599983	-0.0599992	-0.0597995	-0.0596769	-0.0606768	-0.0815896	-0.0465794	-0.0447617
23148	4.6296	-0.0619117	-0.0603317	-0.0599983	-0.0599992	-0.0597976	-0.0596785	-0.0604572	-0.081923	-0.0465964	-0.0447472
23149	4.6298	-0.0619327	-0.0603098	-0.0599983	-0.0599992	-0.0597957	-0.0596801	-0.0602371	-0.0822609	-0.0466135	-0.0447326
23150	4.63	-0.0619537	-0.0602876	-0.0599983	-0.0599992	-0.0597933	-0.0596816	-0.0600167	-0.0826031	-0.0466308	-0.0447179
23151	4.6302	-0.061975	-0.0602653	-0.0599983	-0.0599992	-0.059791	-0.059683	-0.0597958	-0.0829499	-0.0466483	-0.0447031
23152	4.6304	-0.0619963	-0.0602428	-0.0599983	-0.0599992	-0.0597888	-0.0596844	-0.0595745	-0.0833014	-0.046666	-0.0446883
23153	4.6306	-0.0620178	-0.0602201	-0.0599983	-0.0599992	-0.0597867	-0.0596857	-0.0593528	-0.0836575	-0.0466839	-0.0446733
23154	4.6308	-0.0620394	-0.0601972	-0.0599983	-0.0599992	-0.0597847	-0.0596869	-0.0591308	-0.0840184	-0.046702	-0.0446583
23155	4.631	-0.0620612	-0.0601741	-0.0599983	-0.0599992	-0.0597821	-0.059688	-0.0589083	-0.0843842	-0.0467203	-0.0446432
23156	4.6312	-0.0620831	-0.0601508	-0.0599983	-0.0599992	-0.0597796	-0.059689	-0.0586854	-0.0847549	-0.0467388	-0.044628
23157	4.6314	-0.0621041	-0.0601274	-0.0599983	-0.0599992	-0.0597772	-0.05969	-0.0584622	-0.0851128	-0.0467575	-0.0446128
23158	4.6316	-0.0621239	-0.0601037	-0.0599983	-0.0599992	-0.0597749	-0.059691	-0.0582385	-0.0854524	-0.0467764	-0.0445974
23159	4.6318	-0.0621424	-0.0600798	-0.0599983	-0.0599992	-0.0597727	-0.0596919	-0.0580145	-0.0857745	-0.0467955	-0.0445819
23160	4.632	-0.0621599	-0.0600558	-0.0599983	-0.0599992	-0.0597699	-0.0596925	-0.0577902	-0.0860803	-0.0468147	-0.0445664
23161	4.6322	-0.0621764	-0.0600315	-0.0599983	-0.0599992	-0.0597673	-0.0596931	-0.0575657	-0.0863704	-0.0468341	-0.0445508
23162	4.6324	-0.0621918	-0.0600071	-0.0599983	-0.0599992	-0.0597647	-0.0596936	-0.057341	-0.0866457	-0.0468535	-0.0445351
23163	4.6326	-0.0622063	-0.0599825	-0.0599983	-0.0599992	-0.0597623	-0.0596941	-0.0571164	-0.086907	-0.046873	-0.0445193
23164	4.6328	-0.06222	-0.0599577	-0.0599983	-0.0599992	-0.0597599	-0.0596947	-0.0568919	-0.0871559	-0.0468925	-0.0445034
23165	4.633	-0.0622331	-0.0599327	-0.0599983	-0.0599992	-0.0597569	-0.0596947	-0.0566677	-0.0873934	-0.0469121	-0.0444874
23166	4.6332	-0.0622455	-0.0599077	-0.0599983	-0.0599992	-0.059754	-0.0596947	-0.0564438	-0.0876199	-0.0469318	-0.0444714
23167	4.6334	-0.0622573	-0.0598825	-0.0599983	-0.0599992	-0.0597512	-0.0596948	-0.0562206	-0.0878362	-0.0469514	-0.0444553
23168	4.6336	-0.0622685	-0.0598572	-0.0599983	-0.0599992	-0.0597486	-0.0596948	-0.055998	-0.0880426	-0.046971	-0.0444391
23169	4.6338	-0.0622793	-0.0598317	-0.0599983	-0.0599992	-0.059746	-0.0596949	-0.0557763	-0.0882396	-0.0469906	-0.0444229
23170	4.634	-0.0622894	-0.0598063	-0.0599984	-0.0599992	-0.0597427	-0.0596943	-0.0555556	-0.0884277	-0.0470102	-0.0444066
23171	4.6342	-0.0622992	-0.0597807	-0.0599984	-0.0599992	-0.0597395	-0.0596938	-0.055336	-0.0886073	-0.0470298	-0.0443902
23172	4.6344	-0.0623084	-0.059755	-0.0599984	-0.0599992	-0.0597364	-0.0596932	-0.0551177	-0.0887789	-0.0470493	-0.0443738
23173	4.6346	-0.0623172	-0.0597294	-0.0599984	-0.0599992	-0.0597334	-0.0596927	-0.0549009	-0.0889427	-0.0470688	-0.0443574
23174	4.6348	-0.0623256	-0.0597037	-0.0599984	-0.0599992	-0.0597306	-0.0596923	-0.0546856	-0.0890991	-0.0470882	-0.0443409
23175	4.635	-0.0623337	-0.059678	-0.0599984	-0.0599992	-0.0597268	-0.059691	-0.054472	-0.0892487	-0.0471075	-0.0443243
23176	4.6352	-0.0623413	-0.0596523	-0.0599984	-0.0599992	-0.0597232	-0.0596898	-0.0542602	-0.0893915	-0.0471268	-0.0443078
