TimeSlice	Time	R Knee flx Ia	R Knee ext Ia	R Knee ext Ia IN	R Knee flx Ia IN	R Knee ext Ib	R Knee flx Ib	R Knee MN flx	R Knee MN ext	R Knee MN flx RE	L Knee MN ext RE
16124	3.2248	-0.0624785	-0.0598186	-0.0599986	-0.0599971	-0.058179	-0.06	-0.091317	-0.0563186	-0.0465113	-0.0450558
16125	3.225	-0.0624744	-0.0598217	-0.0599986	-0.0599971	-0.0581789	-0.06	-0.0912466	-0.0563457	-0.0465098	-0.0450565
16126	3.2252	-0.0624703	-0.059825	-0.0599986	-0.0599971	-0.0581789	-0.06	-0.0911748	-0.0563734	-0.0465081	-0.0450574
16127	3.2254	-0.0624661	-0.0598283	-0.0599986	-0.0599971	-0.0581788	-0.06	-0.0911015	-0.0564018	-0.0465065	-0.0450582
16128	3.2256	-0.0624618	-0.0598317	-0.0599986	-0.0599971	-0.0581788	-0.06	-0.0910267	-0.056431	-0.0465047	-0.0450591
16129	3.2258	-0.0624574	-0.0598352	-0.0599986	-0.0599971	-0.0581788	-0.06	-0.0909504	-0.0564609	-0.0465029	-0.04506
16130	3.226	-0.0624529	-0.0598387	-0.0599986	-0.0599971	-0.0581787	-0.06	-0.0908727	-0.0564915	-0.0465011	-0.045061
16131	3.2262	-0.0624484	-0.0598424	-0.0599986	-0.0599971	-0.0581787	-0.06	-0.0907935	-0.0565229	-0.0464991	-0.045062
16132	3.2264	-0.0624437	-0.0598461	-0.0599986	-0.0599971	-0.0581786	-0.06	-0.0907128	-0.0565551	-0.0464971	-0.0450631
16133	3.2266	-0.062439	-0.0598499	-0.0599986	-0.0599971	-0.0581786	-0.06	-0.0906306	-0.056588	-0.046495	-0.0450641
16134	3.2268	-0.0624342	-0.0598538	-0.0599986	-0.0599971	-0.0581785	-0.06	-0.090547	-0.0566217	-0.0464929	-0.0450653
16135	3.227	-0.0624293	-0.0598578	-0.0599986	-0.0599971	-0.0581785	-0.06	-0.0904618	-0.0566562	-0.0464907	-0.0450664
16136	3.2272	-0.0624243	-0.0598619	-0.0599986	-0.0599971	-0.0581784	-0.06	-0.0903751	-0.0566916	-0.0464884	-0.0450676
16137	3.2274	-0.0624192	-0.0598661	-0.0599986	-0.0599971	-0.0581784	-0.06	-0.090287	-0.0567277	-0.046486	-0.0450689
16138	3.2276	-0.062414	-0.0598703	-0.0599986	-0.0599971	-0.0581783	-0.06	-0.0901973	-0.0567646	-0.0464835	-0.0450702
16139	3.2278	-0.0624088	-0.0598747	-0.0599986	-0.0599971	-0.0581783	-0.06	-0.0901061	-0.0568024	-0.046481	-0.0450716
16140	3.228	-0.0624034	-0.0598791	-0.0599986	-0.0599971	-0.0581782	-0.06	-0.0900133	-0.056841	-0.0464784	-0.0450729
16141	3.2282	-0.062398	-0.0598837	-0.0599986	-0.0599971	-0.0581782	-0.06	-0.089919	-0.0568805	-0.0464757	-0.0450744
16142	3.2284	-0.0623924	-0.0598883	-0.0599986	-0.0599971	-0.0581781	-0.06	-0.0898231	-0.0569208	-0.046473	-0.0450759
16143	3.2286	-0.0623868	-0.059893	-0.0599986	-0.0599971	-0.0581781	-0.06	-0.0897257	-0.0569619	-0.0464702	-0.0450774
16144	3.2288	-0.0623811	-0.0598978	-0.0599986	-0.0599971	-0.058178	-0.06	-0.0896266	-0.057004	-0.0464673	-0.045079
16145	3.229	-0.0623752	-0.0599028	-0.0599986	-0.0599971	-0.058178	-0.06	-0.0895259	-0.0570469	-0.0464643	-0.0450807
16146	3.2292	-0.0623693	-0.0599078	-0.0599986	-0.0599971	-0.0581779	-0.06	-0.0894236	-0.0570908	-0.0464612	-0.0450824
16147	3.2294	-0.0623633	-0.0599129	-0.0599986	-0.0599971	-0.0581779	-0.06	-0.0893196	-0.0571355	-0.046458	-0.0450841
16148	3.2296	-0.0623571	-0.0599181	-0.0599986	-0.0599971	-0.0581778	-0.06	-0.089214	-0.0571812	-0.0464548	-0.0450859
16149	3.2298	-0.0623509	-0.0599235	-0.0599986	-0.0599971	-0.0581777	-0.06	-0.0891067	-0.0572277	-0.0464515	-0.0450878
16150	3.23	-0.0623445	-0.0599289	-0.0599986	-0.0599971	-0.0581777	-0.06	-0.0889977	-0.0572752	-0.0464481	-0.0450897
16151	3.2302	-0.0623381	-0.0599344	-0.0599986	-0.0599971	-0.0581776	-0.06	-0.088887	-0.0573237	-0.0464446	-0.0450917
16152	3.2304	-0.0623315	-0.05994	-0.0599986	-0.0599971	-0.0581775	-0.06	-0.0887745	-0.0573731	-0.0464411	-0.0450937
16153	3.2306	-0.0623249	-0.0599458	-0.0599986	-0.0599971	-0.0581775	-0.06	-0.0886603	-0.0574234	-0.0464374	-0.0450958
16154	3.2308	-0.0623181	-0.0599516	-0.0599986	-0.0599971	-0.0581774	-0.06	-0.0885443	-0.0574747	-0.0464337	-0.0450979
16155	3.231	-0.0623112	-0.0599575	-0.0599986	-0.0599971	-0.0581774	-0.06	-0.0884266	-0.057527	-0.0464298	-0.0451001
16156	3.2312	-0.0623042	-0.0599636	-0.0599986	-0.0599971	-0.0581773	-0.06	-0.088307	-0.0575803	-0.0464259	-0.0451024
16157	3.2314	-0.0622971	-0.0599697	-0.0599986	-0.0599971	-0.0581772	-0.06	-0.0881855	-0.0576346	-0.0464219	-0.0451048
16158	3.2316	-0.0622899	-0.059976	-0.0599986	-0.0599971	-0.0581771	-0.06	-0.0880623	-0.0576899	-0.0464178	-0.0451072
16159	3.2318	-0.0622825	-0.0599823	-0.0599986	-0.0599971	-0.0581771	-0.06	-0.0879371	-0.0577463	-0.0464136	-0.0451096
16160	3.232	-0.0622751	-0.0599888	-0.0599986	-0.0599971	-0.058177	-0.06	-0.0878101	-0.0578037	-0.0464093	-0.0451122
16161	3.2322	-0.0622675	-0.0599954	-0.0599986	-0.0599971	-0.0581769	-0.06	-0.0876811	-0.0578621	-0.046405	-0.0451147
16162	3.2324	-0.0622598	-0.0600021	-0.0599986	-0.0599971	-0.0581768	-0.06	-0.0875503	-0.0579216	-0.0464005	-0.0451174
16163	3.2326	-0.062252	-0.0600089	-0.0599986	-0.0599972	-0.0581768	-0.06	-0.0874176	-0.0579822	-0.046396	-0.0451201
16164	3.2328	-0.0622441	-0.0600158	-0.0599986	-0.0599972	-0.0581767	-0.06	-0.0872832	-0.0580438	-0.0463913	-0.0451229
16165	3.233	-0.0622361	-0.0600228	-0.0599986	-0.0599972	-0.0581766	-0.06	-0.0871472	-0.0581066	-0.0463865	-0.0451258
16166	3.2332	-0.062228	-0.06003	-0.0599986	-0.0599972	-0.0581765	-0.06	-0.0870095	-0.0581704	-0.0463817	-0.0451287
16167	3.2334	-0.0622199	-0.0600373	-0.0599986	-0.0599972	-0.0581764	-0.06	-0.08687	-0.0582355	-0.0463767	-0.0451318
16168	3.2336	-0.0622117	-0.0600446	-0.0599986	-0.0599972	-0.0581763	-0.06	-0.0867289	-0.0583016	-0.0463717	-0.0451348
16169	3.2338	-0.0622033	-0.0600521	-0.0599986	-0.0599972	-0.0581763	-0.06	-0.086586	-0.0583689	-0.0463666	-0.045138
16170	3.234	-0.0621949	-0.0600597	-0.0599986	-0.0599972	-0.0581762	-0.06	-0.0864413	-0.0584374	-0.0463613	-0.0451412
16171	3.2342	-0.0621864	-0.0600675	-0.0599986	-0.0599972	-0.0581761	-0.06	-0.0862948	-0.0585071	-0.046356	-0.0451445
16172	3.2344	-0.0621778	-0.0600753	-0.0599986	-0.0599972	-0.058176	-0.06	-0.0861465	-0.058578	-0.0463505	-0.0451479
16173	3.2346	-0.062169	-0.0600833	-0.0599986	-0.0599972	-0.0581759	-0.06	-0.0859963	-0.0586501	-0.046345	-0.0451514
16174	3.2348	-0.0621602	-0.0600914	-0.0599986	-0.0599972	-0.0581758	-0.06	-0.0858443	-0.0587234	-0.0463393	-0.0451549
16175	3.235	-0.0621513	-0.0600996	-0.0599986	-0.0599972	-0.0581757	-0.06	-0.0856904	-0.058798	-0.0463336	-0.0451585
16176	3.2352	-0.0621422	-0.0601079	-0.0599986	-0.0599972	-0.0581755	-0.06	-0.0855346	-0.0588739	-0.0463277	-0.0451622
16177	3.2354	-0.062133	-0.0601164	-0.0599986	-0.0599972	-0.0581754	-0.06	-0.0853769	-0.058951	-0.0463218	-0.045166
16178	3.2356	-0.0621237	-0.060125	-0.0599986	-0.0599972	-0.0581753	-0.06	-0.0852172	-0.0590295	-0.0463157	-0.0451699
16179	3.2358	-0.0621143	-0.0601337	-0.0599986	-0.0599972	-0.0581752	-0.06	-0.0850556	-0.0591093	-0.0463096	-0.0451738
16180	3.236	-0.0621048	-0.0601426	-0.0599986	-0.0599972	-0.0581751	-0.06	-0.084892	-0.0591904	-0.0463033	-0.0451778
16181	3.2362	-0.0620951	-0.0601515	-0.0599986	-0.0599972	-0.058175	-0.06	-0.0847265	-0.0592728	-0.0462969	-0.0451819
16182	3.2364	-0.0620853	-0.0601606	-0.0599986	-0.0599972	-0.0581749	-0.06	-0.084559	-0.0593565	-0.0462904	-0.0451861
16183	3.2366	-0.0620754	-0.0601698	-0.0599986	-0.0599972	-0.0581747	-0.06	-0.0843894	-0.0594414	-0.0462838	-0.0451904
