TimeSlice	Time	L Knee ext Ia	L Knee flx Ia	L Knee ext Ia IN	L Knee flx Ia IN	L Knee flx Ib	L Knee ext Ib	L Knee MN ext	L Knee MN flx	L Knee MN ext RE	L Knee MN flx RE
81	0.0162	-0.060186	-0.0604968	-0.0599988	-0.059998	-0.0598369	-0.0584859	-0.0850319	-0.0934006	-0.0566365	-0.0572634
82	0.0164	-0.0601908	-0.0605027	-0.0599988	-0.059998	-0.0598433	-0.0584732	-0.0850457	-0.0935697	-0.0566317	-0.0572714
83	0.0166	-0.0601951	-0.0605083	-0.0599988	-0.059998	-0.0598494	-0.058461	-0.0850509	-0.0937328	-0.0566259	-0.0572787
84	0.0168	-0.0601989	-0.0605135	-0.0599988	-0.059998	-0.0598553	-0.0584493	-0.0850479	-0.0938903	-0.0566193	-0.0572854
85	0.017	-0.0602023	-0.0605185	-0.0599988	-0.059998	-0.059861	-0.0584373	-0.085037	-0.0940423	-0.0566117	-0.0572914
86	0.0172	-0.0602052	-0.0605232	-0.0599988	-0.059998	-0.0598664	-0.0584257	-0.0850186	-0.0941889	-0.0566033	-0.0572967
87	0.0174	-0.0602076	-0.0605277	-0.0599988	-0.059998	-0.0598717	-0.0584146	-0.0849931	-0.0943304	-0.056594	-0.0573015
88	0.0176	-0.0602097	-0.0605319	-0.0599988	-0.059998	-0.0598767	-0.058404	-0.0849608	-0.0944669	-0.0565839	-0.0573056
89	0.0178	-0.0602114	-0.060536	-0.0599988	-0.059998	-0.0598815	-0.0583937	-0.084922	-0.0945987	-0.0565729	-0.0573092
90	0.018	-0.0602128	-0.0605398	-0.0599988	-0.059998	-0.0598862	-0.0583833	-0.0848772	-0.0947257	-0.0565612	-0.0573122
91	0.0182	-0.0602138	-0.0605434	-0.0599988	-0.059998	-0.0598906	-0.0583734	-0.0848266	-0.0948483	-0.0565487	-0.0573146
92	0.0184	-0.0602145	-0.0605469	-0.0599988	-0.059998	-0.0598949	-0.0583638	-0.0847704	-0.0949665	-0.0565354	-0.0573166
93	0.0186	-0.060215	-0.0605502	-0.0599988	-0.059998	-0.0598991	-0.0583545	-0.0847091	-0.0950806	-0.0565214	-0.057318
94	0.0188	-0.0602151	-0.0605533	-0.0599988	-0.059998	-0.059903	-0.0583457	-0.084643	-0.0951905	-0.0565067	-0.0573189
95	0.019	-0.0602151	-0.0605564	-0.0599988	-0.059998	-0.0599068	-0.0583368	-0.0845722	-0.0952966	-0.0564913	-0.0573193
96	0.0192	-0.0602148	-0.0605592	-0.0599988	-0.059998	-0.0599105	-0.0583283	-0.0844971	-0.0953988	-0.0564751	-0.0573192
97	0.0194	-0.0602143	-0.060562	-0.0599988	-0.059998	-0.059914	-0.05832	-0.0844179	-0.0954973	-0.0564584	-0.0573187
98	0.0196	-0.0602136	-0.0605646	-0.0599988	-0.059998	-0.0599173	-0.0583122	-0.0843348	-0.0955923	-0.0564409	-0.0573178
99	0.0198	-0.0602127	-0.0605672	-0.0599988	-0.059998	-0.0599206	-0.0583046	-0.0842482	-0.0956838	-0.0564229	-0.0573164
100	0.02	-0.0602116	-0.0605696	-0.0599988	-0.059998	-0.0599237	-0.0582971	-0.0841583	-0.0957721	-0.0564043	-0.0573146
101	0.0202	-0.0602104	-0.060572	-0.0599988	-0.059998	-0.0599267	-0.0582899	-0.0840652	-0.095857	-0.056385	-0.0573124
102	0.0204	-0.0602091	-0.0605743	-0.0599988	-0.059998	-0.0599296	-0.0582829	-0.0839692	-0.0959389	-0.0563653	-0.0573098
103	0.0206	-0.0602076	-0.0605765	-0.0599988	-0.059998	-0.0599323	-0.0582763	-0.0838704	-0.0960178	-0.0563449	-0.0573068
104	0.0208	-0.060206	-0.0605787	-0.0599988	-0.059998	-0.059935	-0.0582699	-0.0837692	-0.0960937	-0.0563241	-0.0573035
105	0.021	-0.0602043	-0.0605807	-0.0599988	-0.059998	-0.0599375	-0.0582636	-0.0836657	-0.0961668	-0.0563027	-0.0572998
106	0.0212	-0.0602026	-0.0605828	-0.0599988	-0.0599979	-0.05994	-0.0582576	-0.08356	-0.0962372	-0.0562809	-0.0572957
107	0.0214	-0.0602007	-0.0605848	-0.0599988	-0.0599979	-0.0599423	-0.0582519	-0.0834523	-0.096305	-0.0562585	-0.0572913
108	0.0216	-0.0601988	-0.0605867	-0.0599988	-0.0599979	-0.0599446	-0.0582463	-0.0833429	-0.0963701	-0.0562358	-0.0572866
109	0.0218	-0.0601968	-0.0605886	-0.0599988	-0.0599979	-0.0599468	-0.058241	-0.0832318	-0.0964329	-0.0562126	-0.0572816
110	0.022	-0.0601948	-0.0605905	-0.0599988	-0.0599979	-0.0599489	-0.0582359	-0.0831192	-0.0964932	-0.056189	-0.0572763
111	0.0222	-0.0601927	-0.0605924	-0.0599988	-0.0599979	-0.0599509	-0.058231	-0.0830053	-0.0965512	-0.0561649	-0.0572706
112	0.0224	-0.0601905	-0.0605942	-0.0599988	-0.0599979	-0.0599528	-0.0582263	-0.0828902	-0.096607	-0.0561405	-0.0572647
113	0.0226	-0.0601884	-0.060596	-0.0599988	-0.0599979	-0.0599546	-0.0582217	-0.0827741	-0.0966606	-0.0561158	-0.0572586
114	0.0228	-0.0601862	-0.0605978	-0.0599988	-0.0599979	-0.0599564	-0.0582174	-0.082657	-0.0967121	-0.0560907	-0.0572521
115	0.023	-0.060184	-0.0605995	-0.0599988	-0.0599979	-0.0599581	-0.0582133	-0.0825391	-0.0967616	-0.0560653	-0.0572454
116	0.0232	-0.0601818	-0.0606013	-0.0599988	-0.0599979	-0.0599598	-0.0582094	-0.0824205	-0.0968091	-0.0560395	-0.0572384
117	0.0234	-0.0601796	-0.060603	-0.0599988	-0.0599979	-0.0599613	-0.0582056	-0.0823013	-0.0968548	-0.0560135	-0.0572312
118	0.0236	-0.0601774	-0.0606048	-0.0599987	-0.0599979	-0.0599629	-0.058202	-0.0821816	-0.0968985	-0.0559871	-0.0572238
119	0.0238	-0.0601752	-0.0606065	-0.0599987	-0.0599979	-0.0599643	-0.0581985	-0.0820615	-0.0969406	-0.0559605	-0.0572161
120	0.024	-0.060173	-0.0606082	-0.0599987	-0.0599979	-0.0599657	-0.0581953	-0.0819411	-0.0969809	-0.0559337	-0.0572082
121	0.0242	-0.0601708	-0.06061	-0.0599987	-0.0599979	-0.0599671	-0.0581923	-0.0818205	-0.0970195	-0.0559066	-0.0572001
122	0.0244	-0.0601686	-0.0606117	-0.0599987	-0.0599979	-0.0599684	-0.0581894	-0.0816999	-0.0970565	-0.0558793	-0.0571917
123	0.0246	-0.0601665	-0.0606134	-0.0599987	-0.0599979	-0.0599696	-0.0581865	-0.0815791	-0.097092	-0.0558517	-0.0571832
124	0.0248	-0.0601643	-0.0606152	-0.0599987	-0.0599979	-0.0599708	-0.0581838	-0.0814584	-0.097126	-0.055824	-0.0571745
125	0.025	-0.0601622	-0.0606169	-0.0599987	-0.0599979	-0.0599719	-0.0581814	-0.0813378	-0.0971585	-0.0557961	-0.0571656
