TimeSlice	Time	L Hip flx Ia	L Hip ext Ia	L Hip ext Ia IN	L Hip flx Ia IN	L Hip flx Ib	L Hip ext Ib	L Hip MN ext	L Hip MN flx	L Hip MN flx R	L Hip MN ext R
97	0.0194	-0.0582519	-0.0578237	-0.0576458	-0.0576189	-0.0574096	-0.0596201	-0.0883501	-0.088934	-0.0568353	-0.0568211
98	0.0196	-0.0582491	-0.0578156	-0.0576438	-0.0576156	-0.0574327	-0.0596285	-0.0882935	-0.0890022	-0.0568249	-0.0568091
99	0.0198	-0.0582464	-0.0578077	-0.0576419	-0.0576125	-0.0574549	-0.0596366	-0.0882335	-0.0890702	-0.0568143	-0.0567966
100	0.02	-0.0582439	-0.0577999	-0.0576401	-0.0576093	-0.057482	-0.0596462	-0.0881701	-0.0891381	-0.0568035	-0.0567834
101	0.0202	-0.0582416	-0.0577923	-0.0576384	-0.0576062	-0.0575081	-0.0596554	-0.0881038	-0.0892065	-0.0567925	-0.0567696
102	0.0204	-0.0582394	-0.0577847	-0.0576368	-0.0576032	-0.0575332	-0.0596643	-0.0880346	-0.0892752	-0.0567814	-0.0567553
103	0.0206	-0.0582373	-0.0577773	-0.0576352	-0.0576003	-0.0575573	-0.0596728	-0.0879628	-0.0893441	-0.05677	-0.0567403
104	0.0208	-0.0582354	-0.0577701	-0.0576336	-0.0575975	-0.0575804	-0.059681	-0.0878884	-0.089413	-0.0567586	-0.0567248
105	0.021	-0.0582337	-0.057763	-0.0576322	-0.0575946	-0.057608	-0.0596906	-0.0878116	-0.0894817	-0.056747	-0.0567088
106	0.0212	-0.058232	-0.057756	-0.0576308	-0.0575919	-0.0576346	-0.0596997	-0.0877327	-0.0895509	-0.0567353	-0.0566923
107	0.0214	-0.0582306	-0.0577492	-0.0576294	-0.0575892	-0.0576602	-0.0597086	-0.0876519	-0.0896205	-0.0567235	-0.0566753
108	0.0216	-0.0582292	-0.0577426	-0.0576281	-0.0575867	-0.0576847	-0.059717	-0.0875691	-0.0896903	-0.0567115	-0.0566578
109	0.0218	-0.058228	-0.0577361	-0.0576268	-0.0575842	-0.0577083	-0.0597252	-0.0874847	-0.08976	-0.0566996	-0.0566398
110	0.022	-0.058227	-0.0577297	-0.0576256	-0.0575816	-0.0577359	-0.0597345	-0.0873985	-0.0898295	-0.0566875	-0.0566213
111	0.0222	-0.058226	-0.0577235	-0.0576245	-0.0575791	-0.0577625	-0.0597435	-0.0873109	-0.0898995	-0.0566754	-0.0566025
112	0.0224	-0.0582252	-0.0577175	-0.0576234	-0.0575768	-0.057788	-0.0597522	-0.087222	-0.0899698	-0.0566632	-0.0565832
113	0.0226	-0.0582244	-0.0577116	-0.0576223	-0.0575745	-0.0578125	-0.0597605	-0.0871319	-0.0900401	-0.056651	-0.0565635
114	0.0228	-0.0582238	-0.0577059	-0.0576213	-0.0575723	-0.057836	-0.0597684	-0.0870406	-0.0901104	-0.0566388	-0.0565434
115	0.023	-0.0582234	-0.0577003	-0.0576203	-0.05757	-0.0578632	-0.0597775	-0.0869482	-0.0901804	-0.0566265	-0.0565229
116	0.0232	-0.058223	-0.0576949	-0.0576193	-0.0575678	-0.0578893	-0.0597862	-0.086855	-0.0902507	-0.0566143	-0.056502
117	0.0234	-0.0582227	-0.0576897	-0.0576184	-0.0575656	-0.0579144	-0.0597946	-0.0867609	-0.0903212	-0.056602	-0.0564808
118	0.0236	-0.0582225	-0.0576846	-0.0576175	-0.0575636	-0.0579385	-0.0598027	-0.0866661	-0.0903917	-0.0565897	-0.0564593
119	0.0238	-0.0582224	-0.0576796	-0.0576167	-0.0575616	-0.0579616	-0.0598104	-0.0865706	-0.090462	-0.0565774	-0.0564374
120	0.024	-0.0582224	-0.0576749	-0.0576159	-0.0575596	-0.057988	-0.0598179	-0.0864745	-0.090532	-0.0565651	-0.0564152
121	0.0242	-0.0582224	-0.0576703	-0.0576151	-0.0575576	-0.0580133	-0.059825	-0.0863778	-0.0906022	-0.0565529	-0.0563928
122	0.0244	-0.0582226	-0.0576658	-0.0576144	-0.0575557	-0.0580376	-0.0598319	-0.0862806	-0.0906716	-0.0565406	-0.05637
123	0.0246	-0.0582225	-0.0576615	-0.0576137	-0.0575539	-0.058061	-0.0598385	-0.0861829	-0.0907344	-0.0565284	-0.0563469
124	0.0248	-0.0582222	-0.0576573	-0.057613	-0.0575521	-0.0580835	-0.0598448	-0.0860849	-0.0907909	-0.0565162	-0.0563236
125	0.025	-0.0582217	-0.0576533	-0.0576123	-0.0575503	-0.0581088	-0.0598509	-0.0859865	-0.0908417	-0.0565039	-0.0563
126	0.0252	-0.0582211	-0.0576495	-0.0576117	-0.0575485	-0.0581331	-0.0598567	-0.0858879	-0.0908878	-0.0564916	-0.0562762
127	0.0254	-0.0582204	-0.0576458	-0.0576111	-0.0575468	-0.0581564	-0.0598623	-0.0857891	-0.0909295	-0.0564793	-0.0562522
128	0.0256	-0.0582195	-0.0576423	-0.0576105	-0.0575452	-0.0581789	-0.0598677	-0.0856903	-0.0909673	-0.0564669	-0.0562279
129	0.0258	-0.0582186	-0.057639	-0.0576099	-0.0575436	-0.0582004	-0.0598729	-0.0855916	-0.0910013	-0.0564545	-0.0562034
130	0.026	-0.0582175	-0.0576358	-0.0576094	-0.057542	-0.0582245	-0.0598779	-0.085493	-0.0910321	-0.056442	-0.0561787
131	0.0262	-0.0582164	-0.0576328	-0.0576089	-0.0575404	-0.0582476	-0.0598827	-0.0853945	-0.0910602	-0.0564294	-0.0561538
132	0.0264	-0.0582153	-0.05763	-0.0576084	-0.0575389	-0.0582699	-0.0598873	-0.0852965	-0.0910861	-0.0564168	-0.0561288
133	0.0266	-0.0582141	-0.0576273	-0.0576079	-0.0575374	-0.0582912	-0.0598917	-0.0851988	-0.0911098	-0.056404	-0.0561036
134	0.0268	-0.058213	-0.0576248	-0.0576074	-0.057536	-0.0583118	-0.059896	-0.0851015	-0.0911316	-0.0563912	-0.0560782
135	0.027	-0.0582118	-0.0576225	-0.057607	-0.0575345	-0.0583345	-0.0599	-0.0850049	-0.0911518	-0.0563784	-0.0560527
136	0.0272	-0.0582106	-0.0576203	-0.0576066	-0.0575331	-0.0583563	-0.059904	-0.0849089	-0.0911708	-0.0563654	-0.0560271
137	0.0274	-0.0582094	-0.0576183	-0.0576061	-0.0575318	-0.0583772	-0.0599077	-0.0848136	-0.0911889	-0.0563524	-0.0560013
138	0.0276	-0.0582082	-0.0576165	-0.0576057	-0.0575305	-0.0583973	-0.0599113	-0.084719	-0.0912062	-0.0563393	-0.0559754
139	0.0278	-0.0582071	-0.0576148	-0.0576054	-0.0575292	-0.0584167	-0.0599148	-0.0846253	-0.0912228	-0.0563261	-0.0559495
140	0.028	-0.058206	-0.0576134	-0.057605	-0.0575279	-0.0584378	-0.0599182	-0.0845325	-0.0912387	-0.0563129	-0.0559234
141	0.0282	-0.058205	-0.057612	-0.0576047	-0.0575267	-0.0584582	-0.0599214	-0.0844406	-0.0912545	-0.0562996	-0.0558973
142	0.0284	-0.058204	-0.0576109	-0.0576043	-0.0575255	-0.0584777	-0.0599244	-0.0843497	-0.0912702	-0.0562863	-0.0558711
143	0.0286	-0.0582031	-0.0576099	-0.057604	-0.0575243	-0.0584965	-0.0599274	-0.0842598	-0.0912859	-0.0562729	-0.0558448
144	0.0288	-0.0582022	-0.057609	-0.0576037	-0.0575232	-0.0585145	-0.0599303	-0.084171	-0.0913016	-0.0562594	-0.0558184
145	0.029	-0.0582014	-0.0576083	-0.0576034	-0.0575221	-0.058534	-0.059933	-0.0840832	-0.0913174	-0.0562459	-0.0557921
146	0.0292	-0.0582007	-0.0576078	-0.0576031	-0.057521	-0.0585528	-0.0599356	-0.0839965	-0.0913335	-0.0562324	-0.0557657
147	0.0294	-0.0582	-0.0576074	-0.0576028	-0.0575199	-0.0585708	-0.0599381	-0.083911	-0.0913501	-0.0562188	-0.0557392
148	0.0296	-0.0581994	-0.0576071	-0.0576026	-0.0575189	-0.0585881	-0.0599406	-0.0838266	-0.0913671	-0.0562052	-0.0557128
149	0.0298	-0.0581989	-0.057607	-0.0576023	-0.0575179	-0.0586047	-0.0599429	-0.0837434	-0.0913845	-0.0561916	-0.0556863
150	0.03	-0.0581985	-0.057607	-0.0576021	-0.0575169	-0.0586226	-0.0599451	-0.0836612	-0.0914024	-0.056178	-0.0556598
151	0.0302	-0.0581982	-0.0576072	-0.0576018	-0.057516	-0.0586397	-0.0599473	-0.0835803	-0.0914209	-0.0561643	-0.0556333
152	0.0304	-0.0581979	-0.0576075	-0.0576016	-0.0575151	-0.0586562	-0.0599494	-0.0835005	-0.09144	-0.0561507	-0.0556068
153	0.0306	-0.0581978	-0.0576079	-0.0576014	-0.0575142	-0.058672	-0.0599513	-0.0834218	-0.0914598	-0.056137	-0.0555804
154	0.0308	-0.0581977	-0.0576084	-0.0576012	-0.0575133	-0.0586872	-0.0599532	-0.0833443	-0.0914802	-0.0561233	-0.0555539
155	0.031	-0.0581977	-0.0576091	-0.057601	-0.0575125	-0.0587034	-0.0599551	-0.0832678	-0.0915011	-0.0561096	-0.0555275
156	0.0312	-0.0581978	-0.0576098	-0.0576008	-0.0575116	-0.0587189	-0.0599568	-0.0831925	-0.0915228	-0.056096	-0.0555011
157	0.0314	-0.058198	-0.0576107	-0.0576006	-0.0575108	-0.0587339	-0.0599585	-0.0831183	-0.0915452	-0.0560823	-0.0554747
158	0.0316	-0.0581983	-0.0576117	-0.0576004	-0.0575101	-0.0587482	-0.0599602	-0.0830451	-0.0915682	-0.0560686	-0.0554484
159	0.0318	-0.0581987	-0.0576127	-0.0576003	-0.0575093	-0.058762	-0.0599617	-0.0829729	-0.0915919	-0.056055	-0.0554221
160	0.032	-0.0581991	-0.0576139	-0.0576001	-0.0575086	-0.0587765	-0.0599632	-0.0829018	-0.0916161	-0.0560413	-0.0553958
161	0.0322	-0.0581997	-0.0576152	-0.0576	-0.0575079	-0.0587905	-0.0599647	-0.0828316	-0.091641	-0.0560277	-0.0553696
162	0.0324	-0.0582003	-0.0576165	-0.0575998	-0.0575072	-0.0588039	-0.0599661	-0.0827624	-0.0916666	-0.0560141	-0.0553435
163	0.0326	-0.058201	-0.0576179	-0.0575997	-0.0575065	-0.0588168	-0.0599674	-0.0826941	-0.0916928	-0.0560006	-0.0553174
164	0.0328	-0.0582018	-0.0576195	-0.0575995	-0.0575059	-0.0588292	-0.0599687	-0.0826267	-0.0917195	-0.055987	-0.0552913
165	0.033	-0.0582027	-0.057621	-0.0575994	-0.0575053	-0.0588421	-0.0599699	-0.0825602	-0.0917467	-0.0559735	-0.0552653
166	0.0332	-0.0582036	-0.0576227	-0.0575993	-0.0575047	-0.0588546	-0.0599711	-0.0824945	-0.0917745	-0.05596	-0.0552394
167	0.0334	-0.0582046	-0.0576244	-0.0575991	-0.0575041	-0.0588665	-0.0599722	-0.0824296	-0.0918028	-0.0559466	-0.0552135
168	0.0336	-0.0582057	-0.0576262	-0.057599	-0.0575035	-0.058878	-0.0599733	-0.0823654	-0.0918316	-0.0559331	-0.0551877
169	0.0338	-0.0582069	-0.057628	-0.0575989	-0.057503	-0.058889	-0.0599743	-0.082302	-0.0918608	-0.0559197	-0.055162
170	0.034	-0.0582081	-0.0576299	-0.0575988	-0.0575025	-0.0589005	-0.0599753	-0.0822392	-0.0918903	-0.0559064	-0.0551363
171	0.0342	-0.0582094	-0.0576319	-0.0575987	-0.057502	-0.0589115	-0.0599763	-0.0821772	-0.0919203	-0.055893	-0.0551107
172	0.0344	-0.0582108	-0.0576339	-0.0575986	-0.0575015	-0.058922	-0.0599772	-0.0821157	-0.0919507	-0.0558797	-0.0550852
173	0.0346	-0.0582123	-0.0576359	-0.0575985	-0.0575011	-0.0589322	-0.0599781	-0.0820548	-0.0919814	-0.0558665	-0.0550597
174	0.0348	-0.0582138	-0.0576379	-0.0575984	-0.0575006	-0.058942	-0.059979	-0.0819945	-0.0920123	-0.0558532	-0.0550343
175	0.035	-0.0582153	-0.0576401	-0.0575983	-0.0575002	-0.058952	-0.0599798	-0.0819347	-0.0920435	-0.05584	-0.055009
176	0.0352	-0.058217	-0.0576422	-0.0575982	-0.0574998	-0.0589616	-0.0599806	-0.0818753	-0.0920749	-0.0558269	-0.0549837
177	0.0354	-0.0582187	-0.0576444	-0.0575981	-0.0574995	-0.0589709	-0.0599814	-0.0818164	-0.0921065	-0.0558138	-0.0549585
178	0.0356	-0.0582204	-0.0576465	-0.0575981	-0.0574991	-0.0589798	-0.0599821	-0.081758	-0.0921383	-0.0558007	-0.0549334
