TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2618	0.5236	-0.0478777	-0.0945077	-0.061232	-0.0569393	-0.0577791	-0.0628862
2619	0.5238	-0.0479014	-0.0945064	-0.0612282	-0.0569437	-0.0577793	-0.0628833
2620	0.524	-0.0479251	-0.0945051	-0.0612243	-0.0569481	-0.0577795	-0.0628804
2621	0.5242	-0.0479487	-0.0945037	-0.0612205	-0.0569525	-0.0577797	-0.0628775
2622	0.5244	-0.0479722	-0.0945022	-0.0612166	-0.0569569	-0.0577799	-0.0628746
2623	0.5246	-0.0479957	-0.0945007	-0.0612128	-0.0569613	-0.0577801	-0.0628717
2624	0.5248	-0.0480191	-0.0944992	-0.0612089	-0.0569656	-0.0577804	-0.0628688
2625	0.525	-0.0480425	-0.0944975	-0.0612051	-0.05697	-0.0577806	-0.062866
2626	0.5252	-0.0480658	-0.0944959	-0.0612012	-0.0569743	-0.0577808	-0.0628632
2627	0.5254	-0.048089	-0.0944942	-0.0611974	-0.0569786	-0.057781	-0.0628603
2628	0.5256	-0.0481122	-0.0944924	-0.0611935	-0.0569829	-0.0577812	-0.0628575
2629	0.5258	-0.0481353	-0.0944906	-0.0611896	-0.0569872	-0.0577815	-0.0628548
2630	0.526	-0.0481584	-0.0944887	-0.0611858	-0.0569914	-0.0577817	-0.062852
2631	0.5262	-0.0481813	-0.0944868	-0.0611819	-0.0569956	-0.0577819	-0.0628493
2632	0.5264	-0.0482043	-0.0944849	-0.061178	-0.0569999	-0.0577821	-0.0628465
2633	0.5266	-0.0482271	-0.0944829	-0.0611742	-0.0570041	-0.0577824	-0.0628438
2634	0.5268	-0.0482499	-0.0944808	-0.0611703	-0.0570083	-0.0577826	-0.0628411
2635	0.527	-0.0482726	-0.0944788	-0.0611664	-0.0570124	-0.0577828	-0.0628384
2636	0.5272	-0.0482952	-0.0944762	-0.0611626	-0.0570166	-0.0577831	-0.0628357
2637	0.5274	-0.0483177	-0.0944732	-0.0611587	-0.0570207	-0.0577833	-0.0628331
2638	0.5276	-0.0483402	-0.0944698	-0.0611548	-0.0570248	-0.0577835	-0.0628304
2639	0.5278	-0.0483626	-0.094466	-0.061151	-0.0570289	-0.0577838	-0.0628278
2640	0.528	-0.0483849	-0.0944619	-0.0611471	-0.057033	-0.057784	-0.0628252
2641	0.5282	-0.0484071	-0.0944571	-0.0611432	-0.057037	-0.0577843	-0.0628226
2642	0.5284	-0.0484292	-0.0944518	-0.0611394	-0.0570411	-0.0577845	-0.06282
2643	0.5286	-0.0484512	-0.094446	-0.0611355	-0.0570451	-0.0577848	-0.0628175
2644	0.5288	-0.0484732	-0.0944396	-0.0611316	-0.0570491	-0.057785	-0.0628149
2645	0.529	-0.048495	-0.0944329	-0.0611278	-0.0570531	-0.0577853	-0.0628124
2646	0.5292	-0.0485168	-0.0944256	-0.0611239	-0.0570571	-0.0577855	-0.0628098
2647	0.5294	-0.0485384	-0.0944178	-0.0611201	-0.057061	-0.0577858	-0.0628073
2648	0.5296	-0.04856	-0.0944095	-0.0611162	-0.057065	-0.057786	-0.0628048
2649	0.5298	-0.0485814	-0.0944008	-0.0611124	-0.0570689	-0.0577863	-0.0628024
2650	0.53	-0.0486028	-0.0943917	-0.0611086	-0.0570728	-0.0577866	-0.0627999
2651	0.5302	-0.048624	-0.0943821	-0.0611047	-0.0570766	-0.0577868	-0.0627974
2652	0.5304	-0.0486452	-0.0943721	-0.0611009	-0.0570805	-0.0577871	-0.062795
2653	0.5306	-0.0486662	-0.0943617	-0.0610971	-0.0570844	-0.0577873	-0.0627926
2654	0.5308	-0.0486872	-0.094351	-0.0610932	-0.0570882	-0.0577876	-0.0627902
2655	0.531	-0.048708	-0.09434	-0.0610894	-0.057092	-0.0577879	-0.0627878
2656	0.5312	-0.0487288	-0.0943286	-0.0610856	-0.0570958	-0.0577881	-0.0627854
2657	0.5314	-0.0487494	-0.0943168	-0.0610818	-0.0570995	-0.0577884	-0.062783
2658	0.5316	-0.04877	-0.0943047	-0.061078	-0.0571033	-0.0577887	-0.0627806
2659	0.5318	-0.0487905	-0.0942924	-0.0610742	-0.057107	-0.0577889	-0.0627783
2660	0.532	-0.0488114	-0.0942798	-0.0610704	-0.0571108	-0.0577892	-0.062776
2661	0.5322	-0.0488327	-0.0942668	-0.0610666	-0.0571145	-0.0577895	-0.0627736
2662	0.5324	-0.0488543	-0.0942535	-0.0610628	-0.0571181	-0.0577898	-0.0627713
2663	0.5326	-0.0488761	-0.0942398	-0.061059	-0.0571218	-0.05779	-0.062769
2664	0.5328	-0.048898	-0.094226	-0.0610552	-0.0571254	-0.0577903	-0.0627667
2665	0.533	-0.0489202	-0.0942119	-0.0610515	-0.0571291	-0.0577906	-0.0627645
2666	0.5332	-0.0489425	-0.0941974	-0.0610477	-0.0571327	-0.0577909	-0.0627622
2667	0.5334	-0.048965	-0.0941825	-0.0610439	-0.0571363	-0.0577912	-0.0627599
2668	0.5336	-0.0489875	-0.0941673	-0.0610402	-0.0571398	-0.0577914	-0.0627577
2669	0.5338	-0.0490101	-0.0941519	-0.0610364	-0.0571434	-0.0577917	-0.0627555
2670	0.534	-0.0490328	-0.0941363	-0.0610327	-0.0571469	-0.057792	-0.0627533
2671	0.5342	-0.0490555	-0.0941201	-0.0610289	-0.0571505	-0.0577923	-0.0627511
2672	0.5344	-0.0490782	-0.0941036	-0.0610252	-0.057154	-0.0577926	-0.0627489
2673	0.5346	-0.049101	-0.0940868	-0.0610215	-0.0571575	-0.0577928	-0.0627467
2674	0.5348	-0.0491237	-0.0940697	-0.0610177	-0.0571609	-0.0577931	-0.0627445
2675	0.535	-0.0491465	-0.0940524	-0.061014	-0.0571644	-0.0577934	-0.0627424
2676	0.5352	-0.0491692	-0.0940345	-0.0610103	-0.0571678	-0.0577937	-0.0627402
2677	0.5354	-0.049192	-0.0940163	-0.0610066	-0.0571712	-0.057794	-0.0627381
2678	0.5356	-0.0492147	-0.0939977	-0.0610029	-0.0571746	-0.0577943	-0.0627359
2679	0.5358	-0.0492373	-0.0939789	-0.0609992	-0.057178	-0.0577946	-0.0627338
2680	0.536	-0.04926	-0.0939599	-0.0609955	-0.0571814	-0.0577949	-0.0627317
2681	0.5362	-0.0492825	-0.0939404	-0.0609919	-0.0571847	-0.0577952	-0.0627296
2682	0.5364	-0.0493051	-0.0939205	-0.0609882	-0.0571881	-0.0577955	-0.0627276
2683	0.5366	-0.0493276	-0.0939002	-0.0609845	-0.0571914	-0.0577958	-0.0627255
2684	0.5368	-0.04935	-0.0938798	-0.0609809	-0.0571947	-0.0577961	-0.0627234
2685	0.537	-0.0493724	-0.0938591	-0.0609772	-0.057198	-0.0577964	-0.0627214
2686	0.5372	-0.0493947	-0.093838	-0.0609736	-0.0572012	-0.0577966	-0.0627194
2687	0.5374	-0.0494169	-0.0938165	-0.06097	-0.0572045	-0.0577969	-0.0627173
2688	0.5376	-0.0494391	-0.0937948	-0.0609663	-0.0572077	-0.0577972	-0.0627153
2689	0.5378	-0.0494612	-0.0937728	-0.0609627	-0.0572109	-0.0577975	-0.0627133
2690	0.538	-0.0494833	-0.0937507	-0.0609591	-0.0572141	-0.0577978	-0.0627113
2691	0.5382	-0.0495052	-0.0937282	-0.0609555	-0.0572173	-0.0577982	-0.0627093
2692	0.5384	-0.0495271	-0.0937053	-0.0609519	-0.0572205	-0.0577985	-0.0627074
2693	0.5386	-0.049549	-0.0936822	-0.0609483	-0.0572236	-0.0577988	-0.0627054
2694	0.5388	-0.0495707	-0.0936589	-0.0609448	-0.0572268	-0.0577991	-0.0627035
2695	0.539	-0.0495924	-0.0936356	-0.0609412	-0.0572299	-0.0577994	-0.0627015
2696	0.5392	-0.049614	-0.0936118	-0.0609377	-0.057233	-0.0577997	-0.0626996
2697	0.5394	-0.0496355	-0.0935878	-0.0609341	-0.0572361	-0.0578	-0.0626977
2698	0.5396	-0.049657	-0.0935635	-0.0609306	-0.0572391	-0.0578003	-0.0626958
2699	0.5398	-0.0496783	-0.0935391	-0.060927	-0.0572422	-0.0578006	-0.0626939
2700	0.54	-0.0496996	-0.0935147	-0.0609235	-0.0572452	-0.0578009	-0.062692
2701	0.5402	-0.0497208	-0.0934899	-0.06092	-0.0572482	-0.0578012	-0.0626901
2702	0.5404	-0.049742	-0.0934649	-0.0609165	-0.0572513	-0.0578015	-0.0626882
2703	0.5406	-0.049763	-0.0934397	-0.060913	-0.0572542	-0.0578018	-0.0626864
2704	0.5408	-0.049784	-0.0934144	-0.0609095	-0.0572572	-0.0578022	-0.0626845
2705	0.541	-0.0498049	-0.093389	-0.060906	-0.0572602	-0.0578025	-0.0626827
2706	0.5412	-0.0498257	-0.0933633	-0.0609026	-0.0572631	-0.0578028	-0.0626809
2707	0.5414	-0.0498465	-0.0933374	-0.0608991	-0.0572661	-0.0578031	-0.0626791
2708	0.5416	-0.0498672	-0.0933114	-0.0608957	-0.057269	-0.0578034	-0.0626772
2709	0.5418	-0.0498877	-0.0932852	-0.0608922	-0.0572719	-0.0578037	-0.0626754
2710	0.542	-0.0499082	-0.0932591	-0.0608888	-0.0572748	-0.057804	-0.0626737
2711	0.5422	-0.0499287	-0.0932327	-0.0608854	-0.0572776	-0.0578043	-0.0626719
2712	0.5424	-0.049949	-0.093206	-0.060882	-0.0572805	-0.0578047	-0.0626701
2713	0.5426	-0.0499693	-0.0931792	-0.0608786	-0.0572833	-0.057805	-0.0626683
2714	0.5428	-0.0499895	-0.0931523	-0.0608752	-0.0572862	-0.0578053	-0.0626666
2715	0.543	-0.0500096	-0.0931255	-0.0608718	-0.057289	-0.0578056	-0.0626648
2716	0.5432	-0.0500296	-0.0930983	-0.0608684	-0.0572918	-0.0578059	-0.0626631
2717	0.5434	-0.0500496	-0.0930709	-0.0608651	-0.0572946	-0.0578063	-0.0626614
2718	0.5436	-0.0500695	-0.0930435	-0.0608617	-0.0572973	-0.0578066	-0.0626597
2719	0.5438	-0.0500893	-0.0930159	-0.0608584	-0.0573001	-0.0578069	-0.062658
2720	0.544	-0.050109	-0.0929884	-0.060855	-0.0573028	-0.0578072	-0.0626563
2721	0.5442	-0.0501286	-0.0929607	-0.0608517	-0.0573056	-0.0578075	-0.0626546
2722	0.5444	-0.0501482	-0.0929327	-0.0608484	-0.0573083	-0.0578079	-0.0626529
2723	0.5446	-0.0501677	-0.0929046	-0.0608451	-0.057311	-0.0578082	-0.0626512
2724	0.5448	-0.0501871	-0.0928765	-0.0608418	-0.0573137	-0.0578085	-0.0626495
2725	0.545	-0.0502065	-0.0928484	-0.0608385	-0.0573163	-0.0578088	-0.0626479
2726	0.5452	-0.0502257	-0.0928201	-0.0608352	-0.057319	-0.0578092	-0.0626462
2727	0.5454	-0.0502449	-0.0927915	-0.060832	-0.0573216	-0.0578095	-0.0626446
2728	0.5456	-0.050264	-0.0927629	-0.0608287	-0.0573243	-0.0578098	-0.062643
2729	0.5458	-0.0502831	-0.0927343	-0.0608255	-0.0573269	-0.0578101	-0.0626413
2730	0.546	-0.050302	-0.0927057	-0.0608222	-0.0573295	-0.0578104	-0.0626397
2731	0.5462	-0.0503209	-0.0926769	-0.060819	-0.0573321	-0.0578108	-0.0626381
2732	0.5464	-0.0503397	-0.0926479	-0.0608158	-0.0573347	-0.0578111	-0.0626365
2733	0.5466	-0.0503585	-0.0926188	-0.0608126	-0.0573372	-0.0578114	-0.0626349
2734	0.5468	-0.0503772	-0.0925897	-0.0608094	-0.0573398	-0.0578118	-0.0626333
2735	0.547	-0.0503957	-0.0925607	-0.0608062	-0.0573423	-0.0578121	-0.0626318
2736	0.5472	-0.0504143	-0.0925314	-0.060803	-0.0573448	-0.0578124	-0.0626302
2737	0.5474	-0.0504327	-0.092502	-0.0607998	-0.0573473	-0.0578127	-0.0626286
2738	0.5476	-0.0504511	-0.0924726	-0.0607967	-0.0573499	-0.0578131	-0.0626271
2739	0.5478	-0.0504694	-0.0924431	-0.0607935	-0.0573523	-0.0578134	-0.0626255
2740	0.548	-0.0504876	-0.0924138	-0.0607904	-0.0573548	-0.0578137	-0.062624
2741	0.5482	-0.0505058	-0.0923842	-0.0607873	-0.0573573	-0.057814	-0.0626224
2742	0.5484	-0.0505239	-0.0923544	-0.0607841	-0.0573597	-0.0578144	-0.0626209
2743	0.5486	-0.0505419	-0.0923246	-0.060781	-0.0573622	-0.0578147	-0.0626194
2744	0.5488	-0.0505598	-0.0922949	-0.0607779	-0.0573646	-0.057815	-0.0626179
2745	0.549	-0.0505777	-0.0922652	-0.0607748	-0.057367	-0.0578154	-0.0626164
2746	0.5492	-0.0505955	-0.0922354	-0.0607718	-0.0573694	-0.0578157	-0.0626149
2747	0.5494	-0.0506133	-0.0922054	-0.0607687	-0.0573718	-0.057816	-0.0626134
2748	0.5496	-0.0506309	-0.0921753	-0.0607656	-0.0573742	-0.0578163	-0.0626119
2749	0.5498	-0.0506485	-0.0921453	-0.0607626	-0.0573766	-0.0578167	-0.0626104
2750	0.55	-0.0506661	-0.0921155	-0.0607595	-0.0573789	-0.057817	-0.062609
2751	0.5502	-0.0506835	-0.0920854	-0.0607565	-0.0573812	-0.0578173	-0.0626075
2752	0.5504	-0.0507009	-0.0920552	-0.0607535	-0.0573836	-0.0578177	-0.062606
2753	0.5506	-0.0507183	-0.0920249	-0.0607505	-0.0573859	-0.057818	-0.0626046
2754	0.5508	-0.0507355	-0.0919948	-0.0607475	-0.0573882	-0.0578183	-0.0626031
2755	0.551	-0.0507527	-0.0919647	-0.0607445	-0.0573905	-0.0578187	-0.0626017
2756	0.5512	-0.0507698	-0.0919345	-0.0607415	-0.0573928	-0.057819	-0.0626003
2757	0.5514	-0.0507869	-0.0919041	-0.0607385	-0.0573951	-0.0578193	-0.0625989
2758	0.5516	-0.0508039	-0.0918737	-0.0607356	-0.0573973	-0.0578196	-0.0625974
2759	0.5518	-0.0508208	-0.0918434	-0.0607326	-0.0573996	-0.05782	-0.062596
2760	0.552	-0.0508377	-0.0918133	-0.0607297	-0.0574018	-0.0578203	-0.0625946
2761	0.5522	-0.0508545	-0.0917829	-0.0607268	-0.0574041	-0.0578206	-0.0625932
2762	0.5524	-0.0508712	-0.0917524	-0.0607238	-0.0574063	-0.057821	-0.0625918
2763	0.5526	-0.0508879	-0.0917219	-0.0607209	-0.0574085	-0.0578213	-0.0625904
