TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
79	0.0158	-0.058174	-0.058253	-0.057617	-0.057617	-0.0539397	-0.0588456	-0.0803393	-0.09326	-0.0573292	-0.0564209
80	0.016	-0.058164	-0.0582488	-0.0576104	-0.0576104	-0.0539639	-0.0588627	-0.0803411	-0.0933977	-0.0573388	-0.0564096
81	0.0162	-0.0581541	-0.0582442	-0.057604	-0.057604	-0.0539871	-0.058879	-0.0803376	-0.0935304	-0.0573476	-0.0563976
82	0.0164	-0.0581443	-0.0582392	-0.0575979	-0.0575979	-0.0540095	-0.0588947	-0.0803289	-0.0936584	-0.0573556	-0.0563849
83	0.0166	-0.0581345	-0.0582339	-0.057592	-0.057592	-0.0540309	-0.0589098	-0.0803151	-0.0937819	-0.0573629	-0.0563715
84	0.0168	-0.0581248	-0.0582283	-0.0575863	-0.0575863	-0.0540515	-0.0589243	-0.0802962	-0.093901	-0.0573694	-0.0563575
85	0.017	-0.0581153	-0.0582224	-0.0575805	-0.0575805	-0.0540841	-0.0589442	-0.0802722	-0.0940159	-0.0573753	-0.0563428
86	0.0172	-0.0581058	-0.0582162	-0.0575749	-0.0575749	-0.0541155	-0.0589633	-0.0802451	-0.0941272	-0.0573804	-0.0563275
87	0.0174	-0.0580965	-0.0582098	-0.0575695	-0.0575695	-0.0541456	-0.0589817	-0.0802147	-0.0942352	-0.0573849	-0.0563116
88	0.0176	-0.0580874	-0.0582031	-0.0575643	-0.0575643	-0.0541745	-0.0589993	-0.0801809	-0.0943397	-0.0573888	-0.0562952
89	0.0178	-0.0580784	-0.0581963	-0.0575593	-0.0575593	-0.0542023	-0.0590163	-0.0801438	-0.0944411	-0.0573921	-0.0562782
90	0.018	-0.0580696	-0.0581893	-0.0575542	-0.0575542	-0.0542407	-0.0590382	-0.0801033	-0.0945393	-0.0573948	-0.0562606
91	0.0182	-0.058061	-0.0581821	-0.0575492	-0.0575492	-0.0542777	-0.0590593	-0.080061	-0.0946349	-0.0573969	-0.0562426
92	0.0184	-0.0580525	-0.0581748	-0.0575444	-0.0575444	-0.0543131	-0.0590796	-0.0800168	-0.0947281	-0.0573984	-0.056224
93	0.0186	-0.0580443	-0.0581673	-0.0575399	-0.0575399	-0.0543472	-0.059099	-0.0799704	-0.0948187	-0.0573995	-0.0562051
94	0.0188	-0.0580362	-0.0581597	-0.0575355	-0.0575355	-0.0543799	-0.0591177	-0.079922	-0.094907	-0.0574	-0.0561856
95	0.019	-0.0580284	-0.058152	-0.0575309	-0.0575309	-0.0544219	-0.0591411	-0.0798713	-0.0949928	-0.0574	-0.0561658
96	0.0192	-0.0580208	-0.0581443	-0.0575265	-0.0575265	-0.0544622	-0.0591635	-0.0798197	-0.0950769	-0.0573996	-0.0561455
97	0.0194	-0.0580133	-0.0581364	-0.0575222	-0.0575222	-0.054501	-0.059185	-0.079767	-0.095159	-0.0573986	-0.0561248
98	0.0196	-0.0580061	-0.0581285	-0.0575181	-0.0575181	-0.0545382	-0.0592057	-0.0797132	-0.0952393	-0.0573973	-0.0561038
99	0.0198	-0.0579991	-0.0581205	-0.0575142	-0.0575142	-0.054574	-0.0592255	-0.079658	-0.0953178	-0.0573955	-0.0560824
100	0.02	-0.0579923	-0.0581125	-0.0575101	-0.0575101	-0.0546177	-0.0592497	-0.0796013	-0.0953944	-0.0573933	-0.0560607
101	0.0202	-0.0579857	-0.0581044	-0.0575061	-0.0575061	-0.0546597	-0.0592729	-0.0795443	-0.0954697	-0.0573908	-0.0560387
102	0.0204	-0.0579794	-0.0580963	-0.0575023	-0.0575023	-0.0547001	-0.0592952	-0.0794868	-0.0955435	-0.0573878	-0.0560164
103	0.0206	-0.0579732	-0.0580882	-0.0574987	-0.0574987	-0.0547389	-0.0593166	-0.0794287	-0.095616	-0.0573845	-0.0559938
104	0.0208	-0.0579673	-0.0580801	-0.0574952	-0.0574952	-0.0547762	-0.0593372	-0.0793697	-0.095687	-0.0573808	-0.0559709
