source	target	weight
W3126384063	W2334963168	1
W3126384063	W2489957719	1
W3126384063	W2604301674	1
W3126384063	W2616362470	1
W3126384063	W2789908914	1
W3126384063	W2896597736	1
W3126384063	W2903465385	1
W104753013	W1941953147	1
W104753013	W1975840128	1
W104753013	W1977331952	1
W104753013	W1987395380	1
W104753013	W1994097308	1
W104753013	W2017648441	1
W104753013	W2037050168	1
W104753013	W2042314925	1
W104753013	W2064257383	1
W104753013	W2086645385	1
W104753013	W2093435740	1
W104753013	W2097511884	1
W104753013	W2113386433	1
W104753013	W2127110152	1
W104753013	W2140497618	1
W104753013	W2142548630	1
W104753013	W2165007430	1
W4386406991	W2072168817	1
W4386406991	W2159779776	1
W4386406991	W2950247581	1
W2417473322	W170956600	1
W2417473322	W1532921825	1
W2417473322	W1974859321	1
W2417473322	W2018959254	1
W2417473322	W2020910495	1
W2417473322	W2064257383	1
W2417473322	W2076879580	1
W2417473322	W2091280544	1
W2417473322	W2110252881	1
W2417473322	W2127735752	1
W2417473322	W2133970449	1
W2417473322	W2143314240	1
W2417473322	W2149784701	1
W2417473322	W2200746124	1
W2417473322	W4245017765	1
W1967425026	W2412861923	1
W2412861923	W1985940938	1
W2412861923	W1994097308	1
W2412861923	W2014729386	1
W2412861923	W2016910258	1
W2412861923	W2025947382	1
W2412861923	W2045391660	1
W2412861923	W2064257383	1
W2412861923	W2093435740	1
W2412861923	W2109398572	1
W2412861923	W2110252881	1
W2412861923	W2113386433	1
W2412861923	W2122107405	1
W2412861923	W2123745704	1
W2412861923	W2133970449	1
W2412861923	W2141974690	1
W2412861923	W2143314240	1
W2412861923	W2155180319	1
W2412861923	W2155213171	1
W2412861923	W2159240874	1
W2412861923	W2334963168	1
W2412861923	W2466671176	1
W2954545295	W1475996878	1
W2954545295	W1549313501	1
W2954545295	W2093435740	1
W2954545295	W2428009260	1
W81724775	W365407947	1
W81724775	W1512811199	1
W81724775	W1637203540	1
W1724705168	W81724775	1
W1735741754	W81724775	1
W81724775	W1799753769	1
W81724775	W1872061170	1
W81724775	W1971990035	1
W81724775	W1982508615	1
W81724775	W1996789949	1
W81724775	W2000013699	1
W81724775	W2001556607	1
W81724775	W2004675537	1
W81724775	W2006008614	1
W81724775	W2017275297	1
W81724775	W2020910495	1
W81724775	W2026055416	1
W81724775	W2072985771	1
W81724775	W2082605003	1
W81724775	W2086155025	1
W81724775	W2086265687	1
W81724775	W2092114155	1
W81724775	W2101864862	1
W81724775	W2120261865	1
W81724775	W2127735752	1
W81724775	W2128945098	1
W81724775	W2137825350	1
W81724775	W2154184845	1
W81724775	W2155180319	1
W81724775	W2157108014	1
W81724775	W2162304282	1
W81724775	W2168071184	1
W81724775	W2171759509	1
W81724775	W2196314719	1
W81724775	W2200746124	1
W81724775	W2267725143	1
W81724775	W2399420755	1
W81724775	W2416698490	1
W81724775	W2428009260	1
