doi,oa_id,cited_by_count,n_refs,n_in_corpus_refs
10.1152/jn.00891.2006,https://openalex.org/W1972010139,37,69,20
10.1523/jneurosci.22-18-08259.2002,https://openalex.org/W2144390109,36,43,5
10.2174/1381612822666161214144655,https://openalex.org/W2582900285,36,171,39
10.1523/jneurosci.0816-20.2020,https://openalex.org/W3108707268,36,89,26
10.1016/j.asd.2015.07.001,https://openalex.org/W846657406,35,71,11
10.1038/s41467-023-36587-w,https://openalex.org/W4321107168,35,109,31
10.1016/b978-0-444-53825-3.00015-2,https://openalex.org/W111640478,35,110,24
10.1113/jp274518,https://openalex.org/W2721445618,35,56,22
10.1523/jneurosci.1082-18.2018,https://openalex.org/W2896597736,34,82,28
10.1523/jneurosci.5486-10.2011,https://openalex.org/W2060549368,34,65,13
10.1523/jneurosci.19-24-10966.1999,https://openalex.org/W1754927033,34,42,17
10.1152/jn.01028.2009,https://openalex.org/W2048690171,34,48,31
10.1152/jn.00160.2014,https://openalex.org/W2016014744,33,44,11
10.1113/jphysiol.2013.261115,https://openalex.org/W2153649474,33,71,31
10.1152/jn.00347.2019,https://openalex.org/W2989071828,33,199,24
10.1113/jphysiol.2008.158105,https://openalex.org/W2165499537,33,72,3
10.1152/jn.01177.2006,https://openalex.org/W2037014012,33,59,27
10.1523/jneurosci.3042-16.2017,https://openalex.org/W2604301674,31,70,26
10.1038/s41598-018-35714-8,https://openalex.org/W2901138442,31,69,25
10.1007/s00422-020-00851-9,https://openalex.org/W3048436979,31,155,18
10.1113/jphysiol.2005.091744,https://openalex.org/W1568832828,30,38,5
10.1152/jn.00310.2020,https://openalex.org/W3174821923,30,138,54
10.1016/j.cophys.2019.01.005,https://openalex.org/W2913234110,29,75,30
10.1098/rstb.2009.0322,https://openalex.org/W2060909070,28,127,32
10.1177/0278364905055381,https://openalex.org/W2083860240,27,47,9
10.3389/fnins.2020.598888,https://openalex.org/W3093331001,26,68,36
10.1093/icb/icm065,https://openalex.org/W2098906827,26,107,26
10.1002/9781118873397.ch12,https://openalex.org/W2654090317,26,282,15
10.1152/jn.00888.2005,https://openalex.org/W2002272148,26,24,19
10.1152/jn.00204.2023,https://openalex.org/W4384663368,26,257,60
10.1088/1748-3190/10/5/055004,https://openalex.org/W1428038289,25,36,22
10.1523/jneurosci.1737-09.2009,https://openalex.org/W1968389619,25,42,20
10.3389/fnins.2021.720542,https://openalex.org/W3184072428,25,174,41
