id	label	doi	year	first_author	weight	x	y	cluster	source
W1994382228	Aging causes a reorganization of cortical and spinal control of posture	10.3389/fnagi.2014.00028	2014	Papegaaij	209	0.507077	0.514026	5	task5import
W1994930156	The control of lateral stability during rapid stepping reactions evoked by antero-posterior perturbation: does anticipat	10.1016/s0966-6362(99)00013-2	1999	McIlroy	182	0.505219	0.537784	5	task5import
W2157108014	Proprioception from a spinocerebellar perspective.	10.1152/physrev.2001.81.2.539	2001	Bosco	322	0.502923	0.505355	3	rest383
W2068467384	Activation of groups of excitatory neurons in the mammalian spinal cord or hindbrain evokes locomotion	10.1038/nn.2482	2010	Hägglund	257	0.497942	0.499841	2	rest383
W2047303975	Functional subpopulations of V3 interneurons in the mature mouse spinal cord.	10.1523/jneurosci.2005-13.2013	2013	Borowska	117	0.497651	0.500020	2	rest383
W2000296306	The pyloric central pattern generator in Crustacea: a set of conditional neuronal oscillators	10.1007/bf00604049	1988	Bal	127	0.512556	0.482495	6	task5import
W4414823943	A spinal circuit for skilled locomotion	10.1016/j.cub.2025.09.030	2025	Toscano	1	0.498469	0.498132	2	digest20
W4410099301	Effects of spinal transection and locomotor speed on muscle synergies of the cat hindlimb	10.1113/jp288089	2025	Klishko	8	0.501070	0.502983	4	task5import
W2043362413	Gating and reversal of reflexes in ankle muscles during human walking	10.1007/bf00231254	1990	Duysens	312	0.501442	0.506741	3	rest383
nodoi:recRtx7hS4xPDLv4P	Bipedal Robots: A Systematic Review of Dynamical Models, Balance Control Strategies, and Locomotion Methods		2025	Al-Tameemi	0	0.175856	0.880834		task5import
W2136120438	Inter-leg coordination in the control of walking speed in Drosophila	10.1242/jeb.078139	2013	Wosnitza	180	0.510206	0.503841	1	task5import
W1998584917	Initiation of locomotion in mammals.	10.1111/j.1749-6632.1998.tb09040.x	1998	Jordan	291	0.501909	0.500930	6	rest383
W2161691215	Distribution of networks generating and coordinating locomotor activity in the neonatal rat spinal cord in vitro: a lesi	10.1523/jneurosci.16-18-05777.1996	1996	Kjærulff	516	0.499287	0.500995	2	rest383
W2766255495	Six-legged walking in insects: how CPGs, peripheral feedback, and descending signals generate coordinated and adaptive m	10.1152/jn.00658.2017	2018	Bidaye	175	0.507481	0.503076	1	rest383
W1754927033	Proprioceptive Control of Extensor Activity during Fictive Scratching and Weight Support Compared to Fictive Locomotion	10.1523/jneurosci.19-24-10966.1999	1999	Perreault	34	0.500590	0.504265	3	rest383
W2095276281	Depression of group Ia monosynaptic EPSPs in cat hindlimb motoneurones during fictive locomotion.	10.1111/j.1469-7793.2000.00639.x	2000	Gosgnach	83	0.499827	0.505565	3	rest383
