"key","type","title","DOI","date","pub"
"JRUQD9NA","journalArticle","Phase-dependent transmission in the excitatory propriospinal reflex pathway from forelimb afferents to lumbar motoneurones during fictive locomotion","10.1016/0304-3940(77)90187-2","1977-04-01","Neuroscience Letters"
"6W3YV7QZ","journalArticle","Differential origin of reticulospinal drive to motoneurons innervating trunk and hindlimb muscles in the mouse revealed by optical recording","10.1113/jphysiol.2008.158105","2008-11-01","The Journal of Physiology"
"UVDSAI8N","journalArticle","Gating and reversal of reflexes in ankle muscles during human walking","10.1007/bf00231254","1990-01-01","Experimental Brain Research"
"XTNLKQQ2","journalArticle","Organization of pontine reticulospinal inputs to motoneurons controlling axial and limb muscles in the neonatal mouse.","10.1152/jn.00820.2013","2014-10-01","Journal of Neurophysiology"
"22NYU47D","journalArticle","Control of locomotor cycle durations.","10.1152/jn.00991.2004","2005-03-30","Journal of Neurophysiology"
"ZNH4Y6RK","journalArticle","State- and Condition-Dependent Modulation of the Hindlimb Locomotor Pattern in Intact and Spinal Cats Across Speeds","10.3389/fnsys.2022.814028","2022-02-09","Frontiers in Systems Neuroscience"
"SRJBTWKG","journalArticle","Genetic Ablation of V2a Ipsilateral Interneurons Disrupts Left-Right Locomotor Coordination in Mammalian Spinal Cord","10.1016/j.neuron.2008.08.009","2008-10-09","Neuron"
"2NHK8MS4","journalArticle","The stride cycle of the cat: the modelling of locomotion by computerized analysis of automatic recordings.","","1983-06-30","Acta Physiologica Scandinavica"
"QM4E3SLW","journalArticle","Segmental organization of vestibulospinal inputs to spinal interneurons mediating crossed activation of thoracolumbar motoneurons in the neonatal mouse.","10.1523/jneurosci.5188-14.2015","2015-05-27","The Journal of Neuroscience"
"4YSY755G","journalArticle","The dominant role of the hip in multijoint reflex responses in human spinal cord injury","","2011-01-01",
"4RQDJHCA","journalArticle","The significance of dynamical architecture for adaptive responses to mechanical loads during rhythmic behavior","10.1007/s10827-014-0519-3","2015-02-01","Journal of Computational Neuroscience"
"ZMLZC8RV","journalArticle","Flexion-reflex of the limb, crossed extension-reflex, and reflex stepping and standing.","10.1113/jphysiol.1910.sp001362","1910-04-26","The Journal of Physiology"
"RQHYHAKQ","journalArticle","HALF-CENTRES REVISITED","10.1016/b978-0-08-026814-9.50025-9","1981-01-01",
"57KB6B8F","journalArticle","Phasic gain control of the transmission in cutaneous reflex pathways to motoneurones during 'fictive' locomotion.","10.1016/0006-8993(78)90493-6","1978-06-30","Brain Research"
"XY9LLPB9","journalArticle","Posture control of a cockroach-like robot","10.1109/robot.1998.676348","1998-05-16",
"CF4NKJHF","journalArticle","Golgi tendon organs in mammalian skeletal muscle: functional properties and central actions","10.1152/physrev.1992.72.3.623","1992-07-01","Physiological Reviews"
"NUQ2JRWH","journalArticle","Central pattern generators and the control of rhythmic movements","10.1016/s0960-9822(01)00581-4","2001-11-27","Current Biology"
"XJLADIKX","journalArticle","V1 spinal neurons regulate the speed of vertebrate locomotor outputs.","10.1038/nature04545","2006-03-09","Nature"
"HBSYUSNN","journalArticle","Biologically based distributed control and local reflexes improve rough terrain locomotion in a hexapod robot","10.1016/0921-8890(96)00003-6","1996-07-01","Robotics and Autonomous Systems"
"8UAJ3AXT","journalArticle","Central pattern generators in the brainstem and spinal cord: an overview of basic principles, similarities and differences.","10.1515/revneuro-2017-0102","2019-01-28","Reviews in The Neurosciences"
"XVTZ5QE2","journalArticle","the Spontaneously Locomoting Premammillary Cat Heterogenic Feedback Between Hindlimb Extensors in","","2013-01-01",
"H3PJ25FK","journalArticle","Hip proprioceptors preferentially modulate reflexes of the leg in human spinal cord injury","10.1152/jn.00261.2012","2013-07-15","Journal of Neurophysiology"
"NQQQYYMR","journalArticle","Neurobiological Bases of Rhythmic Motor Acts in Vertebrates","10.1126/science.3975635","1985-04-12","Science"
"MN7M6KV5","journalArticle","Low-threshold, short-latency cutaneous reflexes during fictive locomotion in the ""semi-chronic"" spinal cat.","10.1007/bf00231657","1992-01-01","Experimental Brain Research"
"TYYHQBKQ","journalArticle","Modulation of stretch reflexes during locomotion in the mesencephalic cat","10.1113/jphysiol.1982.sp014319","1982-08-01","The Journal of Physiology"
"TD542N39","journalArticle","Rare phenomena of central rhythm and pattern generation in a case of complete spinal cord injury","10.1038/s41467-023-39034-y","2023-06-06",
"KHTZJETR","journalArticle","Evolution and analysis of model CPGs for walking: II. General principles and individual variability.","10.1023/a:1008920021246","1999-09-01","Journal of Computational Neuroscience"
"24S6U4Q3","journalArticle","The Circuitry of the Human Spinal Cord: Spinal and Corticospinal Mechanisms of Movement","","2012-04-01",
"ZM98CX8T","journalArticle","Vertebrate Pattern Generation: Overview","10.1007/978-1-0716-1006-0_758","2022-01-01",
"7V5HW296","journalArticle","Electrophysiological Characterization of V2a Interneurons and Their Locomotor-Related Activity in the Neonatal Mouse Spinal Cord","10.1523/jneurosci.4849-09.2010","2010-01-06","The Journal of Neuroscience"
"7RMZ97PW","journalArticle","Human Lumbosacral Spinal Cord Interprets Loading During Stepping","10.1152/jn.1997.77.2.797","1997-02-01","Journal of Neurophysiology"
"7GW5D9U9","journalArticle","The distal hindlimb musculature of the cat. Cutaneous reflexes during locomotion.","10.1007/bf00235875","1985-01-01","Experimental Brain Research"
"4QYFLQ33","journalArticle","Confluence of Active and Passive Control Mechanisms Enabling Autonomy and Terrain Adaptability for Robots in Variable Environments","10.1109/wcecs.2008.25","2008-10-22",
"4SBPPWE8","journalArticle","Measured motion: searching for simplicity in spinal locomotor networks.","10.1016/j.conb.2009.10.011","2009-12-01","Current Opinion in Neurobiology"
"H48QS67V","journalArticle","The functional diversity of spinal interneurons and locomotor control","10.1016/j.cophys.2019.01.005","2019-04-01","Current Opinion in Physiology"
