"id","title","match","zotero_key","DOI","flag"
"rech5DPeIL8qPxKbO","A Simple Experimentally Based Model Using Proprioceptive Regulation of Motor Primitives Captures Adjusted Trajectory Formation in Spinal Frogs","strict","DF9YS6WD","10.1152/jn.01054.2007",""
"rechUE1t6xgIgzBSA","Human spinal locomotor control is based on flexibly organized burst generators","strict","54IGXNA5","10.1093/brain/awu372",""
"reciO5icPjQnMFNqb","Development and functional organization of spinal locomotor circuits","strict","7ID949EQ","10.1016/j.conb.2010.09.004",""
"reciegFAzFZ7ogh1m","Strategies for delineating spinal locomotor rhythm-generating networks and the possible role of Hb9 interneurones in rhythmogenesis","strict","FW2V5EY2","10.1016/j.brainresrev.2007.06.025",""
"recinBYMhS5NwkOvx","Positive Force Feedback Control of Muscles","strict","HQZX9CP7","10.1152/jn.1997.77.6.3226",""
"recjEWZKD03OC2BYS","Modeling the Organization of Spinal Cord Neural Circuits Controlling Two-Joint Muscles","strict","DW9PZKVQ","10.1007/978-1-4939-3267-2_5",""
"recjGEKoVDZG9Kgya","On the nature of the fundamental activity of the nervous centres; together with an analysis of the conditioning of rhythmic activity in progression, and a theory of the evolution of function in the nervous system","strict","PTX7TDWE","",""
"reck6j3QVhgQs7e0Y","Organizing network action for locomotion: Insights from studying insect walking.","loose","PPELXJSW","10.1016/j.brainresrev.2007.06.028",""
"reckLrNcdlGJMJMah","Behaviour-based modelling of hexapod locomotion: linking biology and technical application","strict","SDYPF2ZR","10.1016/j.asd.2004.05.004",""
"recl89IqMlxodlhXN","Decoding the organization of spinal circuits that control locomotion","strict","76XDTN7S","10.1038/nrn.2016.9",""
"recllI1WnoBxxvkJM","Vestibulospinal, reticulospinal and descending propriospinal nerve fibres in man","strict","S3SVWANY","10.1093/brain/119.6.1809",""
"reclwbsReGhWM71WF","Bio-inspired controller achieving forward speed modulation with a 3D bipedal walkde","adjudicated","BGU8UZJE","10.1177/0278364917743320",""
"recnpdF09e2pD0tFz","Neuronal activity in the isolated mouse spinal cord during spontaneous deletions in fictive locomotion: insights into locomotor central pattern generator organization","strict","KU9CUS6K","10.1113/jphysiol.2012.240895",""
"recoT9VR7NIatzV00","Left–right coordination from simple to extreme conditions during split-belt locomotion in the chronic spinal adult cat","loose","P4F5XGN5","10.1113/JP272740",""
"recpFKCRcK44Hbkyg","Modulation of phase durations, phase variations, and temporal coordination of the four limbs during quadrupedal split-belt locomotion in intact adult cats","strict","L58D9JJS","10.1152/jn.00160.2014",""
"recpozMUyMMicDWNu","Contribution of Sensory Feedback to the Generation of Extensor Activity During Walking in the Decerebrate Cat","strict","IQJ3CPKF","10.1152/jn.1999.81.2.758",""
"recpyybF425zhdpCj","The special nature of human walking and its neural control","strict","YCPEHH97","10.1016/S0166-2236(02)02173-2",""
"recrOx4g9ML2vRiDP","Proprioceptive input resets central locomotor rhythm in the spinal cat.","strict","3ZWHC2N7","10.1007/bf00249807",""
"recsh566GLiIFvkYW","Kinesthetic Senses","strict","244HN35M","10.1002/cphy.c170036",""
"rectZLWJhnmJpn1le","Spinal Cord Pattern Generator for Locomotion","none","","",""
"recuEbIzcBfrBmkmf","Spinal circuitry of sensorimotor control of locomotion","strict","EZEA4VMY","10.1111/j.1469-7793.2001.0041b.x",""
"recvgd8hFtfCEnVBO","The comparative investigation of the stick insect and cockroach models in the study of insect locomotion","strict","J7VNHZDM","10.1016/j.cois.2015.07.004",""
"recw2TJ1IDuY3yEVz","Modular organization of motor behavior in the frog's spinal cord","strict","RYKRVXEQ","10.1016/0166-2236(95)94494-p",""
