"zotero_key","title","author","year","DOI"
"QAV6825C","Short latency, non-reciprocal group I inhibition is reduced during the stance phase of walking in humans.","Stephens and Yang","1996","10.1016/s0006-8993(96)00977-8"
"RWAYBADP","Prosthetic, orthotic or exoskeleton device","Herr et al.","2013",""
"HDJEFTXZ","Taking the next step: cortical contributions to the control of locomotion","Drew and Marigold","2015","10.1016/j.conb.2015.01.011"
"53AKZJU8","Neural control of locomotion: sensory control of the central pattern generator and its relation to treadmill training","Crommert et al.","1998","10.1016/s0966-6362(98)00010-1"
"XE7WCYJK","Evidence for a Spinal Central Pattern Generator in Humansa","Dimitrijevi─ç et al.","1998","10.1111/j.1749-6632.1998.tb09062.x"
"A3PE6K2C","Distinguishing subtypes of spinal locomotor neurons to inform circuit function and dysfunction","Dougherty","2023","10.1016/j.conb.2023.102763"
"9MRTHK72","Kinematic and Kinetic Analysis of a Biomechanical Model of Rat Hind Limb with Biarticular Muscles","Deng et al.","2020","10.1007/978-3-030-64313-3_7"
"Z3CWS2MG","Control of a hexapod robot using a biologically inspired neural network","Quinn and Espenschied","1993",""
"Y5PNF265","Mechanics of slope walking in the cat: quantification of muscle load, length change, and ankle extensor EMG patterns.","Gregor et al.","2006","10.1152/jn.01300.2004"
"RZG2ZGFH","Circuits for Grasping: Spinal dI3 Interneurons Mediate Cutaneous Control of Motor Behavior","Bui et al.","2013","10.1016/j.neuron.2013.02.007"
"TILK8WZU","Biorobotic approaches to the study of motor systems","Beer et al.","1998","10.1016/s0959-4388(98)80121-9"
"7DBHF2G7","Motor antagonism exposed by spatial segregation and timing of neurogenesis","Tripodi et al.","2011","10.1038/nature10538"
"98M34WNW","Group I disynaptic excitation of cat hindlimb flexor and bifunctional motoneurones during fictive locomotion.","Quevedo et al.","2000","10.1111/j.1469-7793.2000.t01-1-00549.x"
"QRBL6JBJ","From neuron to behavior: dynamic equation-based prediction of biological processes in motor control","Daun-Gruhn and B├╝schges","2011","10.1007/s00422-011-0446-6"
"JEIQTLZJ","Functional identification of interneurons responsible for left-right coordination of hindlimbs in mammals.","Butt and Kiehn","2003","10.1016/s0896-6273(03)00353-2"
"VLN2GC77","Functionally complex muscles of the cat hindlimb. I. Patterns of activation across sartorius.","Pratt et al.","1991","10.1007/bf00229406"
"G4EK7TTD","Functional subpopulations of V3 interneurons in the mature mouse spinal cord.","Borowska et al.","2013","10.1523/jneurosci.2005-13.2013"
"WT5T8CJT","Learning to expect the unexpected: rapid updating in primate cerebellum during voluntary self-motion","Brooks et al.","2015","10.1038/nn.4077"
"9REJ2LJP","Neural control of locomotion and training-induced plasticity after spinal and cerebral lesions.","Knikou","2010","10.1016/j.clinph.2010.01.039"
"ZUPHNMP7","Plasticity of connections underlying locomotor recovery after central and/or peripheral lesions in the adult mammals","Rossignol","2006","10.1098/rstb.2006.1889"
"GKNZANUN","An electromyographic analysis of muscular activity in the hindlimb of the cat during unrestrained locomotion.","Engberg and Lundberg","1969","10.1111/j.1748-1716.1969.tb04415.x"
"3BWPHTY9","A Neuromechanical Rat Model with a Complete Set of Hind Limb Muscles","Young et al.","2018","10.1007/978-3-319-95972-6_57"
"WPX6WYWS","Role of Proprioceptive Signals From an Insect Femur-Tibia Joint in Patterning Motoneuronal Activity of an Adjacent Leg Joint","Hess and B├╝schges","1999","10.1152/jn.1999.81.4.1856"
"FZZ5QS3A","How deletions in a model could help explain deletions in the laboratory.","Duysens","2006","10.1152/jn.00888.2005"
"6TZ6T98B","Control for multifunctionality: bioinspired control based on feeding in Aplysia californica","WebsterΓÇÉWood et al.","2020","10.1007/s00422-020-00851-9"
"BKJBDFLY","Actions from group II muscle afferents during fictive locomotion are not mediated through the short latency flexion reflex pathways","Perreault et al.","1995",""
"QD6Q6WVB","Flexor and Extensor Ankle Afferents Broadly Innervate Locomotor Spinal Shox2 Neurons and Induce Similar Effects in Neonatal Mice.","Li et al.","2019","10.3389/fncel.2019.00452"
"H45PDZF9","Physiologically based controller for generating overground locomotion using functional electrical stimulation.","Guevremont et al.","2007","10.1152/jn.01177.2006"
"7GL2LCK7","Loading the Limb During Rhythmic Leg Movements Lengthens the Duration of Both Flexion and Extension in Human Infants","Musselman and Yang","2007","10.1152/jn.00891.2006"
"N5GQTCCR","Contribution of load and length related manipulations to muscle responses during force perturbations","Klarner","2010","10.14288/1.0071394"
"LQKXSJII","Computing Motion Dependent Afferent Activity During Cat Locomotion Using a Forward Dynamics Musculoskeletal Model","Prilutsky et al.","2016","10.1007/978-1-4939-3267-2_10"
"X43JRQMC","Load Detectors and Their Reflexes During Gait in Cat and Man","Duysens","2000","10.1007/978-94-010-0870-9_20"
"23ZX8RAS","Reflex control of locomotion as revealed by stimulation of cutaneous afferents in spontaneously walking premammillary cats.","Duysens","1977","10.1152/jn.1977.40.4.737"
"2EKAS7TD","Mechanical entrainment of fictive locomotion in the decerebrate cat.","Kriellaars et al.","1994","10.1152/jn.1994.71.6.2074"
"5GD7MT35","Powered artificial knee with agonist-antagonist actuation","Herr et al.","2010",""
"DJVVU4XM","Multisensory control of spinal reflex pathways.","Lundberg","1979","10.1016/s0079-6123(08)60803-1"
"J7R2GK58","Functional role of muscle reflexes for force generation in the decerebrate walking cat","Stein et al.","2000",""
"IVCJI25F","A Dynamic Neural Network Designed Using Analytical Methods Produces Dynamic Control Properties Similar to an Analogous Classical Controller","Hilts et al.","2019","10.1109/lcsys.2018.2871126"
"9JWDS7G7","Intracellular analysis of reflex pathways underlying the stumbling corrective reaction during fictive locomotion in the cat.","Quevedo et al.","2005","10.1152/jn.00176.2005"
"9PTWZHBS","Peripheral and Central Control of Flexor Digitorum Longus and Flexor Hallucis Longus Motoneurons: The Synaptic Basis of Functional Diversity","Fleshman et al.","1984","10.1007/bf00235825"
"FI8C5SEW","A neuromechanical model exploring the role of the common inhibitor motor neuron in insect locomotion.","Naris et al.","2020","10.1007/s00422-019-00811-y"
"2DI74HUG","Locomotor Rhythm Generation Linked to the Output of Spinal Shox2 Excitatory Interneurons","Dougherty et al.","2013","10.1016/j.neuron.2013.08.015"
"MH6JNHFW","Contribution of stretch reflexes to locomotor control: a modeling study","Yakovenko et al.","2004","10.1007/s00422-003-0449-z"
"IYTYN9G5","Postnatal Phenotype and Localization of Spinal Cord V1 Derived Interneurons","├ülvarez et al.","2005","10.1002/cne.20711"
"CIHYZYIG","Initiation of locomotion in mammals.","Jordan","1998","10.1111/j.1749-6632.1998.tb09040.x"
"GWGG4UUT","What Can Bidirectional Walking Tell Us about Central Pattern Generators?","Veshchitskii et al.","2022","10.1007/s11055-023-01357-0"
"5QDJCXTI","A physical model of sensorimotor interactions during locomotion.","Klein and Lewis","2012","10.1088/1741-2560/9/4/046011"
"EFAKJFLV","Hybrid terrain-adaptive lower-extremity systems","Herr et al.","2009",""
"YZUN3BA9","Sensorimotor Integration in the Spinal Cord, from Behaviors to Circuits: New Tools to Close the Loop?","Wyart and Knafo","2015","10.1007/978-3-319-12913-6_8"
"XTDMFMYD","Dynamic Sensorimotor Interactions in Locomotion","Rossignol et al.","2006","10.1152/physrev.00028.2005"
"8KR32L5I","Spinal interneuronal networks in the cat: elementary components.","Jankowska","2008","10.1016/j.brainresrev.2007.06.022"
"QNP2X8MJ","The Spinal Control of Backward Locomotion.","Harnie et al.","2020","10.1523/jneurosci.0816-20.2020"
"CCS6UZ3Z","Adaptive control for backward quadrupedal walking. II. Hindlimb muscle synergies","Buford and Smith","1990","10.1152/jn.1990.64.3.756"
"8LZQC7G4","A Synthetic Nervous System Model of the Insect Optomotor Response","Sedlackova et al.","2020","10.1007/978-3-030-64313-3_30"
"UF8ZT5WB","Circuits controlling vertebrate locomotion: moving in a new direction","Goulding","2009","10.1038/nrn2608"
"Z2BAY9UX","Reversal of the influence of group Ib afferents from plantaris on activity in medial gastrocnemius muscle during locomotor activity","Pearson and Collins","1993","10.1152/jn.1993.70.3.1009"
"AA6RXC5Z","Main characteristics of the hindlimb locomotor cycle in the decorticate cat with special reference to bifunctional muscles.","Perret and Cabelguen","1980","10.1016/0006-8993(80)90207-3"
"KM9WZR6N","Ankle Extensor EMG Patterns Quantification of Muscle Load, Length Change, and Mechanics of Slope Walking in the Cat:","Smith et al.","2015",""
"XZ9929ML","Six-legged walking in insects: how CPGs, peripheral feedback, and descending signals generate coordinated and adaptive motor rhythms","Bidaye et al.","2018","10.1152/jn.00658.2017"
"QWPITULI","Reflexes induced by nerve stimulation in walking cats with implanted cuff electrodes.","Duysens and Stein","1978","10.1007/bf00239728"
"YAKJ5KY6","Forms of forward quadrupedal locomotion. II. A comparison of posture, hindlimb kinematics, and motor patterns for upslope and level walking.","CarlsonΓÇÉKuhta et al.","1998","10.1152/jn.1998.79.4.1687"
"C4TQ558Z","An interneuronal relay for group I and II muscle afferents in the midlumbar segments of the cat spinal cord.","Edgley and Jankowska","1987","10.1113/jphysiol.1987.sp016676"
"D3TVUUJP","Ia inhibitory interneurons and Renshaw cells as contributors to the spinal mechanisms of fictive locomotion.","Pratt and Jordan","1987","10.1152/jn.1987.57.1.56"
"MG6VKYNG","Sensory Feedback Control of Locomotor Pattern Generation in Cats and Mice.","Akay","2020","10.1016/j.neuroscience.2020.05.008"
