TimeSlice	Time	L RG ext IN	L RG flx IN	L RG ext	L RG flx	R RG ext IN	R RG flx IN	R RG ext	R RG flx	L c1	R c1	L V3	R V3
67	0.0134	-0.0534116	-0.0596521	-0.0560569	-0.0647774	-0.0588458	-0.0556691	-0.0618554	-0.0583448	-0.0596521	-0.0556691	-0.053464	-0.0594088
68	0.0136	-0.0535049	-0.0596657	-0.0562125	-0.0647656	-0.0588669	-0.0557588	-0.0618608	-0.0584499	-0.0596657	-0.0557588	-0.0535562	-0.059432
69	0.0138	-0.0536	-0.0596788	-0.0563613	-0.0647514	-0.0588874	-0.0558496	-0.0618639	-0.0585487	-0.0596788	-0.0558496	-0.0536502	-0.0594543
70	0.014	-0.0536965	-0.0596914	-0.0565036	-0.0647346	-0.0589075	-0.0559413	-0.0618649	-0.0586416	-0.0596914	-0.0559413	-0.0537457	-0.0594757
71	0.0142	-0.0537943	-0.0597035	-0.0566396	-0.0647156	-0.0589272	-0.0560336	-0.0618637	-0.0587289	-0.0597035	-0.0560336	-0.0538424	-0.0594962
72	0.0144	-0.053893	-0.0597152	-0.0567697	-0.0646942	-0.0589464	-0.0561262	-0.0618604	-0.0588108	-0.0597152	-0.0561262	-0.0539401	-0.059516
73	0.0146	-0.0539924	-0.0597263	-0.0568941	-0.0646708	-0.0589652	-0.0562188	-0.0618552	-0.0588878	-0.0597263	-0.0562188	-0.0540385	-0.059535
74	0.0148	-0.0540923	-0.0597371	-0.057013	-0.0646452	-0.0589836	-0.0563114	-0.061848	-0.0589599	-0.0597371	-0.0563114	-0.0541375	-0.0595532
75	0.015	-0.0541926	-0.0597474	-0.0571267	-0.0646177	-0.0590016	-0.0564036	-0.0618391	-0.0590276	-0.0597474	-0.0564036	-0.0542368	-0.0595707
76	0.0152	-0.0542931	-0.0597573	-0.0572354	-0.0645883	-0.0590193	-0.0564954	-0.0618284	-0.059091	-0.0597573	-0.0564954	-0.0543364	-0.0595876
77	0.0154	-0.0543936	-0.0597668	-0.0573392	-0.0645571	-0.0590366	-0.0565865	-0.061816	-0.0591504	-0.0597668	-0.0565865	-0.054436	-0.0596037
78	0.0156	-0.0544939	-0.0597759	-0.0574384	-0.0645242	-0.0590536	-0.0566768	-0.061802	-0.0592059	-0.0597759	-0.0566768	-0.0545354	-0.0596193
79	0.0158	-0.054594	-0.0597847	-0.0575333	-0.0644896	-0.0590703	-0.0567662	-0.0617865	-0.0592579	-0.0597847	-0.0567662	-0.0546346	-0.0596342
80	0.016	-0.0546937	-0.0597932	-0.0576238	-0.0644535	-0.0590867	-0.0568546	-0.0617696	-0.0593064	-0.0597932	-0.0568546	-0.0547335	-0.0596485
81	0.0162	-0.0547928	-0.0598013	-0.0577104	-0.0644159	-0.0591028	-0.0569418	-0.0617514	-0.0593517	-0.0598013	-0.0569418	-0.0548318	-0.0596623
82	0.0164	-0.0548914	-0.0598091	-0.057793	-0.0643769	-0.0591186	-0.0570278	-0.0617318	-0.0593939	-0.0598091	-0.0570278	-0.0549295	-0.0596756
83	0.0166	-0.0549892	-0.0598166	-0.057872	-0.0643365	-0.0591341	-0.0571125	-0.061711	-0.0594332	-0.0598166	-0.0571125	-0.0550265	-0.0596883
84	0.0168	-0.0550862	-0.0598237	-0.0579474	-0.0642949	-0.0591494	-0.0571958	-0.0616891	-0.0594697	-0.0598237	-0.0571958	-0.0551227	-0.0597005
85	0.017	-0.0551823	-0.0598307	-0.0580193	-0.0642521	-0.0591645	-0.0572776	-0.0616661	-0.0595037	-0.0598307	-0.0572776	-0.0552181	-0.0597122
86	0.0172	-0.0552774	-0.0598373	-0.058088	-0.0642081	-0.0591792	-0.0573579	-0.0616421	-0.0595351	-0.0598373	-0.0573579	-0.0553124	-0.0597235
87	0.0174	-0.0553715	-0.0598437	-0.0581536	-0.0641631	-0.0591938	-0.0574365	-0.0616172	-0.0595643	-0.0598437	-0.0574365	-0.0554058	-0.0597344
88	0.0176	-0.0554645	-0.0598498	-0.0582161	-0.0641171	-0.0592081	-0.0575136	-0.0615913	-0.0595911	-0.0598498	-0.0575136	-0.0554981	-0.0597448
89	0.0178	-0.0555564	-0.0598557	-0.0582758	-0.0640701	-0.0592222	-0.057589	-0.0615647	-0.0596159	-0.0598557	-0.057589	-0.0555892	-0.0597548
90	0.018	-0.055647	-0.0598614	-0.0583327	-0.0640222	-0.0592361	-0.0576627	-0.0615373	-0.0596387	-0.0598614	-0.0576627	-0.0556791	-0.0597644
91	0.0182	-0.0557364	-0.0598668	-0.0583869	-0.0639735	-0.0592497	-0.0577346	-0.0615092	-0.0596596	-0.0598668	-0.0577346	-0.0557678	-0.0597737
92	0.0184	-0.0558245	-0.059872	-0.0584386	-0.063924	-0.0592632	-0.0578048	-0.0614804	-0.0596787	-0.059872	-0.0578048	-0.0558552	-0.0597825
93	0.0186	-0.0559112	-0.059877	-0.0584879	-0.0638737	-0.0592764	-0.0578733	-0.0614511	-0.0596962	-0.059877	-0.0578733	-0.0559413	-0.0597911
94	0.0188	-0.0559966	-0.0598819	-0.0585349	-0.0638228	-0.0592894	-0.0579399	-0.0614213	-0.059712	-0.0598819	-0.0579399	-0.056026	-0.0597992
95	0.019	-0.0560806	-0.0598865	-0.0585796	-0.0637713	-0.0593023	-0.0580047	-0.061391	-0.0597262	-0.0598865	-0.0580047	-0.0561093	-0.0598071
96	0.0192	-0.0561631	-0.0598909	-0.0586222	-0.0637191	-0.0593149	-0.0580678	-0.0613602	-0.0597391	-0.0598909	-0.0580678	-0.0561912	-0.0598147
97	0.0194	-0.0562442	-0.0598952	-0.0586627	-0.0636665	-0.0593273	-0.058129	-0.0613291	-0.0597506	-0.0598952	-0.058129	-0.0562717	-0.0598219
98	0.0196	-0.0563238	-0.0598993	-0.0587012	-0.0636134	-0.0593396	-0.0581884	-0.0612976	-0.0597607	-0.0598993	-0.0581884	-0.0563507	-0.0598289
99	0.0198	-0.056402	-0.0599033	-0.0587379	-0.0635599	-0.0593516	-0.058246	-0.0612659	-0.0597697	-0.0599033	-0.058246	-0.0564282	-0.0598356
100	0.02	-0.0564786	-0.0599071	-0.0587728	-0.063506	-0.0593635	-0.0583018	-0.0612339	-0.0597775	-0.0599071	-0.0583018	-0.0565043	-0.0598421
101	0.0202	-0.0565538	-0.0599107	-0.0588059	-0.0634517	-0.0593752	-0.0583558	-0.0612017	-0.0597842	-0.0599107	-0.0583558	-0.0565788	-0.0598483
102	0.0204	-0.0566274	-0.0599142	-0.0588374	-0.0633972	-0.0593867	-0.0584081	-0.0611694	-0.0597898	-0.0599142	-0.0584081	-0.0566519	-0.0598542
103	0.0206	-0.0566995	-0.0599176	-0.0588673	-0.0633424	-0.059398	-0.0584586	-0.0611369	-0.0597945	-0.0599176	-0.0584586	-0.0567234	-0.0598599
104	0.0208	-0.0567701	-0.0599208	-0.0588956	-0.0632874	-0.0594091	-0.0585073	-0.0611044	-0.0597983	-0.0599208	-0.0585073	-0.0567934	-0.0598654
105	0.021	-0.0568391	-0.0599239	-0.0589225	-0.0632323	-0.0594201	-0.0585543	-0.0610719	-0.0598012	-0.0599239	-0.0585543	-0.0568619	-0.0598707
106	0.0212	-0.0569066	-0.0599269	-0.058948	-0.0631771	-0.0594309	-0.0585997	-0.0610393	-0.0598032	-0.0599269	-0.0585997	-0.0569289	-0.0598758
107	0.0214	-0.0569726	-0.0599298	-0.0589722	-0.0631218	-0.0594415	-0.0586433	-0.0610068	-0.0598045	-0.0599298	-0.0586433	-0.0569943	-0.0598806
108	0.0216	-0.0570371	-0.0599325	-0.0589951	-0.0630665	-0.0594519	-0.0586852	-0.0609743	-0.059805	-0.0599325	-0.0586852	-0.0570583	-0.0598853
109	0.0218	-0.0571001	-0.0599352	-0.0590167	-0.0630111	-0.0594622	-0.0587256	-0.060942	-0.0598049	-0.0599352	-0.0587256	-0.0571208	-0.0598898
110	0.022	-0.0571615	-0.0599377	-0.0590372	-0.0629559	-0.0594723	-0.0587643	-0.0609098	-0.059804	-0.0599377	-0.0587643	-0.0571817	-0.0598941
111	0.0222	-0.0572215	-0.0599401	-0.0590565	-0.0629007	-0.0594822	-0.0588014	-0.0608777	-0.0598026	-0.0599401	-0.0588014	-0.0572412	-0.0598983
112	0.0224	-0.05728	-0.0599425	-0.0590747	-0.0628457	-0.059492	-0.0588369	-0.0608458	-0.0598006	-0.0599425	-0.0588369	-0.0572992	-0.0599023
113	0.0226	-0.057337	-0.0599447	-0.0590919	-0.0627908	-0.0595016	-0.058871	-0.0608141	-0.059798	-0.0599447	-0.058871	-0.0573557	-0.0599061
114	0.0228	-0.0573925	-0.0599469	-0.0591082	-0.0627361	-0.059511	-0.0589035	-0.0607827	-0.059795	-0.0599469	-0.0589035	-0.0574108	-0.0599098
115	0.023	-0.0574466	-0.059949	-0.0591234	-0.0626817	-0.0595203	-0.0589345	-0.0607515	-0.0597914	-0.059949	-0.0589345	-0.0574644	-0.0599133
