TimeSlice	Time	L Hip flx Ia	L Hip ext Ia	L Hip ext Ia IN	L Hip flx Ia IN	L Hip flx Ib	L Hip ext Ib	L Hip MN ext	L Hip MN flx	L Hip MN flx R	L Hip MN ext R
123	0.0246	-0.0580617	-0.0576917	-0.0576137	-0.0573979	-0.0593296	-0.0597231	-0.086107	-0.093756	-0.0567079	-0.0563085
124	0.0248	-0.058058	-0.0576884	-0.057613	-0.057394	-0.0593559	-0.0597293	-0.0860101	-0.0938547	-0.0566999	-0.0562841
125	0.025	-0.058054	-0.0576853	-0.0576123	-0.0573897	-0.0593812	-0.0597364	-0.085913	-0.0939461	-0.0566919	-0.0562594
126	0.0252	-0.0580499	-0.0576823	-0.0576117	-0.0573856	-0.0594054	-0.0597431	-0.0858159	-0.0940307	-0.0566838	-0.0562344
127	0.0254	-0.0580456	-0.0576795	-0.0576111	-0.0573816	-0.0594287	-0.0597496	-0.085719	-0.0941089	-0.0566757	-0.0562093
128	0.0256	-0.0580413	-0.0576769	-0.0576105	-0.0573778	-0.0594511	-0.0597559	-0.0856222	-0.0941812	-0.0566675	-0.0561839
129	0.0258	-0.0580368	-0.0576745	-0.0576099	-0.0573742	-0.0594727	-0.0597619	-0.0855257	-0.094248	-0.0566592	-0.0561582
130	0.026	-0.0580322	-0.0576722	-0.0576094	-0.0573702	-0.0594933	-0.0597686	-0.0854295	-0.0943097	-0.0566508	-0.0561324
131	0.0262	-0.0580276	-0.0576702	-0.0576089	-0.0573663	-0.0595132	-0.059775	-0.0853338	-0.0943667	-0.0566423	-0.0561064
132	0.0264	-0.0580228	-0.0576683	-0.0576084	-0.0573626	-0.0595323	-0.0597812	-0.0852387	-0.0944194	-0.0566337	-0.0560802
133	0.0266	-0.0580181	-0.0576666	-0.0576079	-0.057359	-0.0595506	-0.0597871	-0.0851443	-0.094468	-0.0566249	-0.0560538
134	0.0268	-0.0580133	-0.057665	-0.0576074	-0.0573556	-0.0595682	-0.0597928	-0.0850505	-0.0945129	-0.0566161	-0.0560273
135	0.027	-0.0580086	-0.0576637	-0.057607	-0.0573518	-0.0595852	-0.0597992	-0.0849575	-0.0945545	-0.056607	-0.0560006
136	0.0272	-0.0580038	-0.0576625	-0.0576066	-0.0573482	-0.0596014	-0.0598053	-0.0848654	-0.0945929	-0.0565979	-0.0559738
137	0.0274	-0.057999	-0.0576615	-0.0576061	-0.0573447	-0.0596171	-0.0598112	-0.0847743	-0.0946285	-0.0565886	-0.0559469
138	0.0276	-0.0579943	-0.0576607	-0.0576057	-0.0573413	-0.0596321	-0.0598168	-0.0846842	-0.0946614	-0.0565791	-0.0559199
139	0.0278	-0.0579896	-0.05766	-0.0576054	-0.0573381	-0.0596465	-0.0598222	-0.0845951	-0.094692	-0.0565695	-0.0558928
140	0.028	-0.057985	-0.0576595	-0.057605	-0.0573345	-0.0596604	-0.0598282	-0.0845071	-0.0947205	-0.0565598	-0.0558656
141	0.0282	-0.0579803	-0.0576592	-0.0576047	-0.0573311	-0.0596737	-0.0598339	-0.0844203	-0.094747	-0.0565499	-0.0558383
142	0.0284	-0.0579758	-0.0576591	-0.0576043	-0.0573279	-0.0596865	-0.0598395	-0.0843347	-0.0947718	-0.0565398	-0.055811
143	0.0286	-0.0579713	-0.0576591	-0.057604	-0.0573247	-0.0596988	-0.0598448	-0.0842503	-0.094795	-0.0565296	-0.0557836
144	0.0288	-0.0579669	-0.0576592	-0.0576037	-0.0573217	-0.0597106	-0.0598499	-0.0841671	-0.0948168	-0.0565193	-0.0557562
145	0.029	-0.0579626	-0.0576596	-0.0576034	-0.0573184	-0.0597219	-0.0598555	-0.0840852	-0.0948374	-0.0565089	-0.0557287
146	0.0292	-0.0579583	-0.0576601	-0.0576031	-0.0573152	-0.0597328	-0.0598609	-0.0840046	-0.0948568	-0.0564983	-0.0557012
147	0.0294	-0.0579542	-0.0576607	-0.0576028	-0.0573121	-0.0597433	-0.0598661	-0.0839254	-0.0948753	-0.0564875	-0.0556738
148	0.0296	-0.0579501	-0.0576615	-0.0576026	-0.0573092	-0.0597534	-0.059871	-0.0838474	-0.0948929	-0.0564767	-0.0556463
149	0.0298	-0.0579461	-0.0576624	-0.0576023	-0.0573064	-0.059763	-0.0598758	-0.0837707	-0.0949097	-0.0564657	-0.0556188
150	0.03	-0.0579423	-0.0576635	-0.0576021	-0.0573032	-0.0597723	-0.0598807	-0.0836953	-0.094926	-0.0564546	-0.0555913
151	0.0302	-0.0579385	-0.0576647	-0.0576018	-0.0573003	-0.0597813	-0.0598854	-0.0836212	-0.0949417	-0.0564434	-0.0555638
152	0.0304	-0.0579349	-0.057666	-0.0576016	-0.0572974	-0.0597898	-0.0598899	-0.0835483	-0.0949569	-0.056432	-0.0555364
153	0.0306	-0.0579313	-0.0576675	-0.0576014	-0.0572946	-0.0597981	-0.0598942	-0.0834767	-0.0949717	-0.0564206	-0.055509
154	0.0308	-0.0579278	-0.0576691	-0.0576012	-0.057292	-0.059806	-0.0598983	-0.0834064	-0.0949862	-0.056409	-0.0554817
