TimeSlice	Time	L Ank flx Ia	L Ank ext Ia	L Ank flx Ia IN	L Ank ext Ia IN	L Ank ext Ib	L Ank flx Ib	L Ank MN ext	L Ank MN flx	L Ank MN flx RE	L Ank MN ext RE
146	0.0292	-0.0606658	-0.0600997	-0.0599982	-0.0599992	-0.0598526	-0.0597702	-0.0816248	-0.0967547	-0.0568511	-0.0553865
147	0.0294	-0.0606684	-0.0600979	-0.0599982	-0.0599992	-0.0598583	-0.0597702	-0.0815214	-0.0967603	-0.0568371	-0.0553593
148	0.0296	-0.060671	-0.0600961	-0.0599982	-0.0599992	-0.0598639	-0.0597702	-0.0814187	-0.0967652	-0.056823	-0.0553321
149	0.0298	-0.0606736	-0.0600944	-0.0599982	-0.0599992	-0.0598692	-0.0597702	-0.0813166	-0.0967696	-0.0568089	-0.0553049
150	0.03	-0.0606763	-0.0600927	-0.0599982	-0.0599992	-0.0598744	-0.05977	-0.0812151	-0.0967735	-0.0567947	-0.0552776
151	0.0302	-0.0606789	-0.0600911	-0.0599982	-0.0599992	-0.0598793	-0.0597698	-0.0811142	-0.0967767	-0.0567804	-0.0552503
152	0.0304	-0.0606816	-0.0600896	-0.0599982	-0.0599992	-0.059884	-0.0597696	-0.081014	-0.0967794	-0.0567661	-0.055223
153	0.0306	-0.0606843	-0.0600881	-0.0599982	-0.0599992	-0.0598886	-0.0597694	-0.0809144	-0.0967816	-0.0567517	-0.0551957
154	0.0308	-0.0606871	-0.0600866	-0.0599982	-0.0599992	-0.0598929	-0.0597692	-0.0808154	-0.0967833	-0.0567373	-0.0551684
155	0.031	-0.0606898	-0.0600853	-0.0599982	-0.0599992	-0.0598971	-0.0597688	-0.080717	-0.0967845	-0.0567229	-0.0551411
156	0.0312	-0.0606925	-0.0600839	-0.0599982	-0.0599992	-0.0599012	-0.0597684	-0.0806193	-0.0967852	-0.0567084	-0.0551138
