TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
101	0.0202	-0.0578277	-0.0579369	-0.0572501	-0.0572501	-0.0549533	-0.0583911	-0.0800589	-0.094397	-0.0573342	-0.0560679
102	0.0204	-0.0578172	-0.0579242	-0.0572407	-0.0572407	-0.0550021	-0.0583957	-0.0800194	-0.094441	-0.0573292	-0.0560469
103	0.0206	-0.0578069	-0.0579115	-0.0572316	-0.0572316	-0.0550489	-0.0584001	-0.0799794	-0.0944832	-0.0573237	-0.0560257
104	0.0208	-0.0577968	-0.0578988	-0.0572228	-0.0572228	-0.0550939	-0.0584044	-0.0799387	-0.0945239	-0.0573178	-0.0560042
105	0.021	-0.0577869	-0.057886	-0.0572129	-0.0572129	-0.0551471	-0.0584101	-0.0798972	-0.094563	-0.0573115	-0.0559825
106	0.0212	-0.0577772	-0.0578732	-0.0572033	-0.0572033	-0.0551982	-0.0584157	-0.0798559	-0.0946008	-0.0573049	-0.0559606
107	0.0214	-0.0577676	-0.0578604	-0.0571941	-0.0571941	-0.0552474	-0.058421	-0.0798148	-0.0946372	-0.0572979	-0.0559385
108	0.0216	-0.0577582	-0.0578475	-0.0571853	-0.0571853	-0.0552946	-0.0584261	-0.0797735	-0.0946724	-0.0572906	-0.0559163
109	0.0218	-0.057749	-0.0578346	-0.0571769	-0.0571769	-0.0553399	-0.058431	-0.0797317	-0.0947064	-0.057283	-0.0558939
110	0.022	-0.05774	-0.0578218	-0.0571672	-0.0571672	-0.0553923	-0.0584375	-0.0796894	-0.0947391	-0.057275	-0.0558713
111	0.0222	-0.0577311	-0.057809	-0.057158	-0.057158	-0.0554426	-0.0584438	-0.0796475	-0.0947709	-0.0572668	-0.0558486
112	0.0224	-0.0577224	-0.0577961	-0.0571491	-0.0571491	-0.055491	-0.0584498	-0.0796058	-0.0948017	-0.0572582	-0.0558257
113	0.0226	-0.0577139	-0.0577833	-0.0571406	-0.0571406	-0.0555374	-0.0584556	-0.0795641	-0.0948315	-0.0572494	-0.0558028
114	0.0228	-0.0577056	-0.0577705	-0.0571324	-0.0571324	-0.0555821	-0.0584611	-0.0795221	-0.0948604	-0.0572403	-0.0557797
115	0.023	-0.0576975	-0.0577577	-0.0571232	-0.0571232	-0.0556326	-0.0584684	-0.0794797	-0.0948884	-0.0572309	-0.0557565
116	0.0232	-0.0576895	-0.057745	-0.0571143	-0.0571143	-0.0556811	-0.0584754	-0.0794377	-0.0949156	-0.0572213	-0.0557333
117	0.0234	-0.0576817	-0.0577323	-0.0571057	-0.0571057	-0.0557278	-0.0584822	-0.0793959	-0.0949421	-0.0572114	-0.0557099
118	0.0236	-0.0576741	-0.0577197	-0.0570975	-0.0570975	-0.0557726	-0.0584886	-0.0793541	-0.0949679	-0.0572013	-0.0556865
119	0.0238	-0.0576666	-0.0577071	-0.0570896	-0.0570896	-0.0558156	-0.0584949	-0.0793121	-0.094993	-0.057191	-0.0556631
120	0.024	-0.0576594	-0.0576946	-0.0570808	-0.0570808	-0.0558635	-0.0585031	-0.0792697	-0.0950174	-0.0571804	-0.0556395
121	0.0242	-0.0576522	-0.0576822	-0.0570722	-0.0570722	-0.0559095	-0.0585109	-0.0792277	-0.0950413	-0.0571697	-0.0556159
122	0.0244	-0.0576453	-0.0576698	-0.0570641	-0.0570641	-0.0559537	-0.0585185	-0.0791859	-0.0950647	-0.0571587	-0.0555923
123	0.0246	-0.0576384	-0.0576574	-0.0570562	-0.0570562	-0.0559962	-0.0585257	-0.079144	-0.0950876	-0.0571476	-0.0555686
124	0.0248	-0.0576318	-0.0576452	-0.0570486	-0.0570486	-0.056037	-0.0585327	-0.0791019	-0.0951099	-0.0571363	-0.0555449
125	0.025	-0.0576253	-0.0576331	-0.0570402	-0.0570402	-0.0560818	-0.0585418	-0.0790595	-0.0951317	-0.0571248	-0.0555212
126	0.0252	-0.057619	-0.057621	-0.0570321	-0.0570321	-0.0561247	-0.0585506	-0.0790173	-0.0951532	-0.0571131	-0.0554975
127	0.0254	-0.0576128	-0.057609	-0.0570243	-0.0570243	-0.056166	-0.058559	-0.0789753	-0.0951744	-0.0571013	-0.0554737
128	0.0256	-0.0576068	-0.0575971	-0.0570168	-0.0570168	-0.0562057	-0.0585671	-0.0789331	-0.0951952	-0.0570893	-0.0554499
129	0.0258	-0.057601	-0.0575853	-0.0570096	-0.0570096	-0.0562438	-0.0585749	-0.0788907	-0.0952156	-0.0570772	-0.0554261
130	0.026	-0.0575953	-0.0575737	-0.0570016	-0.0570016	-0.056285	-0.058585	-0.078848	-0.0952356	-0.0570649	-0.0554023
131	0.0262	-0.0575897	-0.0575621	-0.0569939	-0.0569939	-0.0563246	-0.0585947	-0.0788054	-0.0952555	-0.0570525	-0.0553785
132	0.0264	-0.0575843	-0.0575506	-0.0569865	-0.0569865	-0.0563626	-0.0586041	-0.0787627	-0.0952752	-0.0570399	-0.0553547
