TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2706	0.5412	-0.0519046	-0.0938047	-0.060387	-0.0575661	-0.0577098	-0.0624698
2707	0.5414	-0.0519138	-0.0938035	-0.0603856	-0.057567	-0.0577099	-0.0624669
2708	0.5416	-0.0519229	-0.0938024	-0.0603843	-0.0575679	-0.0577101	-0.0624639
2709	0.5418	-0.051932	-0.0938012	-0.0603829	-0.0575687	-0.0577102	-0.0624609
2710	0.542	-0.0519411	-0.0938001	-0.0603815	-0.0575696	-0.0577104	-0.0624578
2711	0.5422	-0.0519501	-0.093799	-0.0603802	-0.0575704	-0.0577105	-0.0624548
2712	0.5424	-0.0519592	-0.0937978	-0.0603788	-0.0575713	-0.0577107	-0.0624517
2713	0.5426	-0.0519683	-0.0937967	-0.0603774	-0.0575722	-0.0577108	-0.0624486
2714	0.5428	-0.0519773	-0.0937956	-0.0603761	-0.057573	-0.057711	-0.0624455
2715	0.543	-0.0519864	-0.0937945	-0.0603747	-0.0575739	-0.0577111	-0.0624423
2716	0.5432	-0.0519954	-0.0937933	-0.0603734	-0.0575747	-0.0577113	-0.0624391
2717	0.5434	-0.0520043	-0.0937922	-0.0603721	-0.0575755	-0.0577114	-0.0624359
2718	0.5436	-0.0520133	-0.0937911	-0.0603707	-0.0575764	-0.0577115	-0.0624327
2719	0.5438	-0.0520222	-0.09379	-0.0603694	-0.0575772	-0.0577117	-0.0624294
2720	0.544	-0.052031	-0.0937889	-0.0603681	-0.057578	-0.0577118	-0.0624262
2721	0.5442	-0.0520399	-0.0937878	-0.0603667	-0.0575789	-0.0577119	-0.0624229
2722	0.5444	-0.0520487	-0.0937868	-0.0603654	-0.0575797	-0.057712	-0.0624196
2723	0.5446	-0.0520575	-0.0937857	-0.0603641	-0.0575805	-0.0577121	-0.0624162
2724	0.5448	-0.0520664	-0.0937846	-0.0603628	-0.0575813	-0.0577122	-0.0624128
2725	0.545	-0.0520752	-0.0937835	-0.0603615	-0.0575822	-0.0577124	-0.0624095
2726	0.5452	-0.052084	-0.0937825	-0.0603602	-0.057583	-0.0577125	-0.062406
