TimeSlice	Time	R Ank ext Ia	R Ank flx Ia	R Ank ext Ia IN	R Ank flx Ia IN	R Ank ext Ib	R Ank flx Ib	R Ank MN flx	R Ank MN ext	R Ank MN flx RE	R Ank MN ext RE
112	0.0224	-0.060637	-0.0605991	-0.0599992	-0.0599983	-0.0597937	-0.0597112	-0.0954041	-0.0959957	-0.0570287	-0.0569939
113	0.0226	-0.0606396	-0.0605979	-0.0599992	-0.0599983	-0.0597924	-0.0597131	-0.0953585	-0.0960555	-0.0570167	-0.056985
114	0.0228	-0.0606421	-0.0605963	-0.0599992	-0.0599983	-0.0597911	-0.0597149	-0.0953035	-0.0961124	-0.0570041	-0.0569758
115	0.023	-0.0606443	-0.0605943	-0.0599992	-0.0599983	-0.0597886	-0.0597172	-0.0952395	-0.0961592	-0.0569909	-0.0569663
116	0.0232	-0.0606457	-0.060592	-0.0599992	-0.0599983	-0.0597861	-0.0597194	-0.0951672	-0.096188	-0.0569771	-0.0569565
117	0.0234	-0.0606464	-0.0605894	-0.0599992	-0.0599983	-0.0597838	-0.0597216	-0.0950868	-0.0962001	-0.0569626	-0.0569463
118	0.0236	-0.0606465	-0.0605865	-0.0599992	-0.0599983	-0.0597815	-0.0597236	-0.0949989	-0.0961966	-0.0569475	-0.0569357
119	0.0238	-0.060646	-0.0605833	-0.0599992	-0.0599983	-0.0597793	-0.0597256	-0.094904	-0.0961787	-0.0569318	-0.0569247
120	0.024	-0.060645	-0.0605799	-0.0599992	-0.0599982	-0.0597771	-0.0597278	-0.0948024	-0.0961472	-0.0569155	-0.0569132
121	0.0242	-0.0606435	-0.0605762	-0.0599992	-0.0599982	-0.0597749	-0.0597299	-0.0946948	-0.0961033	-0.0568985	-0.0569013
122	0.0244	-0.0606415	-0.0605724	-0.0599992	-0.0599982	-0.0597728	-0.0597319	-0.0945815	-0.096048	-0.056881	-0.0568888
123	0.0246	-0.0606391	-0.0605684	-0.0599992	-0.0599982	-0.0597708	-0.0597339	-0.0944631	-0.0959821	-0.0568629	-0.0568758
124	0.0248	-0.0606364	-0.0605642	-0.0599992	-0.0599982	-0.0597689	-0.0597358	-0.0943399	-0.0959066	-0.0568442	-0.0568624
125	0.025	-0.0606334	-0.06056	-0.0599992	-0.0599982	-0.0597677	-0.0597377	-0.0942125	-0.0958224	-0.0568249	-0.0568484
126	0.0252	-0.0606301	-0.0605556	-0.0599992	-0.0599982	-0.0597666	-0.0597396	-0.0940814	-0.0957304	-0.0568051	-0.0568338
127	0.0254	-0.0606265	-0.0605511	-0.0599992	-0.0599982	-0.0597655	-0.0597414	-0.0939469	-0.0956314	-0.0567847	-0.0568187
128	0.0256	-0.0606228	-0.0605466	-0.0599992	-0.0599982	-0.0597645	-0.0597431	-0.0938095	-0.0955261	-0.0567639	-0.0568031
129	0.0258	-0.0606189	-0.060542	-0.0599992	-0.0599982	-0.0597635	-0.0597447	-0.0936695	-0.0954152	-0.0567425	-0.056787
130	0.026	-0.0606148	-0.0605375	-0.0599992	-0.0599982	-0.0597639	-0.0597463	-0.0935274	-0.0952994	-0.0567207	-0.0567704
131	0.0262	-0.0606107	-0.0605329	-0.0599992	-0.0599982	-0.0597642	-0.0597478	-0.0933836	-0.0951795	-0.0566983	-0.0567533
132	0.0264	-0.0606064	-0.0605284	-0.0599992	-0.0599982	-0.0597644	-0.0597492	-0.0932384	-0.0950561	-0.0566756	-0.0567357
133	0.0266	-0.0606021	-0.0605238	-0.0599992	-0.0599982	-0.0597647	-0.0597506	-0.0930921	-0.0949298	-0.0566524	-0.0567176
134	0.0268	-0.0605978	-0.0605194	-0.0599992	-0.0599982	-0.059765	-0.0597519	-0.0929452	-0.094801	-0.0566289	-0.056699
135	0.027	-0.0605935	-0.060515	-0.0599992	-0.0599982	-0.0597667	-0.0597531	-0.0927978	-0.0946703	-0.0566049	-0.05668
136	0.0272	-0.0605892	-0.0605107	-0.0599992	-0.0599982	-0.0597683	-0.0597542	-0.0926502	-0.0945383	-0.0565807	-0.0566606
137	0.0274	-0.060585	-0.0605065	-0.0599992	-0.0599982	-0.0597699	-0.0597553	-0.0925029	-0.0944054	-0.056556	-0.0566408
138	0.0276	-0.0605808	-0.0605024	-0.0599992	-0.0599982	-0.0597714	-0.0597563	-0.0923559	-0.094272	-0.0565311	-0.0566205
139	0.0278	-0.0605767	-0.0604984	-0.0599992	-0.0599982	-0.0597728	-0.0597573	-0.0922096	-0.0941385	-0.0565059	-0.0566
140	0.028	-0.0605727	-0.0604945	-0.0599992	-0.0599982	-0.0597756	-0.0597581	-0.0920641	-0.0940052	-0.0564804	-0.056579
141	0.0282	-0.0605688	-0.0604908	-0.0599992	-0.0599982	-0.0597784	-0.0597589	-0.0919197	-0.0938726	-0.0564546	-0.0565578
142	0.0284	-0.060565	-0.0604872	-0.0599992	-0.0599982	-0.059781	-0.0597596	-0.0917765	-0.0937409	-0.0564286	-0.0565362
143	0.0286	-0.0605614	-0.0604838	-0.0599992	-0.0599982	-0.0597835	-0.0597603	-0.0916348	-0.0936104	-0.0564025	-0.0565143
144	0.0288	-0.0605579	-0.0604805	-0.0599992	-0.0599982	-0.0597859	-0.059761	-0.0914946	-0.0934814	-0.0563761	-0.0564922
145	0.029	-0.0605545	-0.0604774	-0.0599992	-0.0599982	-0.0597893	-0.0597616	-0.0913562	-0.0933539	-0.0563495	-0.0564698
146	0.0292	-0.0605514	-0.0604744	-0.0599992	-0.0599982	-0.0597926	-0.0597621	-0.0912195	-0.0932284	-0.0563229	-0.0564472
147	0.0294	-0.0605484	-0.0604716	-0.0599992	-0.0599982	-0.0597958	-0.0597626	-0.0910848	-0.093105	-0.056296	-0.0564244
148	0.0296	-0.0605455	-0.060469	-0.0599992	-0.0599982	-0.0597989	-0.0597631	-0.0909522	-0.0929838	-0.0562691	-0.0564014
149	0.0298	-0.0605429	-0.0604666	-0.0599992	-0.0599982	-0.0598018	-0.0597635	-0.0908216	-0.0928649	-0.0562421	-0.0563783
150	0.03	-0.0605404	-0.0604643	-0.0599992	-0.0599982	-0.0598054	-0.0597639	-0.0906933	-0.0927482	-0.0562149	-0.056355
151	0.0302	-0.0605381	-0.0604623	-0.0599992	-0.0599982	-0.0598088	-0.0597643	-0.0905672	-0.0926338	-0.0561878	-0.0563315
152	0.0304	-0.060536	-0.0604604	-0.0599992	-0.0599982	-0.0598121	-0.0597646	-0.0904435	-0.0925218	-0.0561605	-0.056308
153	0.0306	-0.0605341	-0.0604587	-0.0599992	-0.0599982	-0.0598153	-0.0597649	-0.090322	-0.0924121	-0.0561333	-0.0562843
154	0.0308	-0.0605323	-0.0604571	-0.0599992	-0.0599982	-0.0598183	-0.0597652	-0.090203	-0.0923048	-0.056106	-0.0562606
155	0.031	-0.0605308	-0.0604558	-0.0599992	-0.0599982	-0.0598215	-0.0597655	-0.0900863	-0.0921999	-0.0560787	-0.0562368
156	0.0312	-0.0605293	-0.0604546	-0.0599992	-0.0599982	-0.0598246	-0.0597658	-0.0899721	-0.0920972	-0.0560514	-0.0562129
157	0.0314	-0.0605281	-0.0604536	-0.0599992	-0.0599982	-0.0598276	-0.0597661	-0.0898602	-0.091997	-0.0560241	-0.056189
158	0.0316	-0.060527	-0.0604527	-0.0599992	-0.0599982	-0.0598305	-0.0597664	-0.0897508	-0.0918991	-0.0559968	-0.0561651
159	0.0318	-0.0605261	-0.0604521	-0.0599992	-0.0599982	-0.0598332	-0.0597667	-0.0896439	-0.0918034	-0.0559696	-0.0561411
160	0.032	-0.0605254	-0.0604516	-0.0599992	-0.0599982	-0.0598359	-0.0597669	-0.0895393	-0.0917101	-0.0559424	-0.0561172
161	0.0322	-0.0605248	-0.0604512	-0.0599992	-0.0599982	-0.0598384	-0.0597672	-0.0894372	-0.091619	-0.0559153	-0.0560932
162	0.0324	-0.0605244	-0.060451	-0.0599992	-0.0599982	-0.0598408	-0.0597675	-0.0893374	-0.0915301	-0.0558883	-0.0560693
163	0.0326	-0.0605241	-0.060451	-0.0599992	-0.0599982	-0.0598431	-0.0597678	-0.08924	-0.0914435	-0.0558613	-0.0560454
164	0.0328	-0.060524	-0.0604511	-0.0599992	-0.0599982	-0.0598454	-0.059768	-0.0891449	-0.091359	-0.0558344	-0.0560215
165	0.033	-0.060524	-0.0604514	-0.0599992	-0.0599981	-0.0598473	-0.0597684	-0.0890521	-0.0912766	-0.0558076	-0.0559977
166	0.0332	-0.0605242	-0.0604519	-0.0599992	-0.0599981	-0.0598491	-0.0597687	-0.0889616	-0.0911963	-0.0557809	-0.0559739
167	0.0334	-0.0605245	-0.0604524	-0.0599992	-0.0599981	-0.0598509	-0.059769	-0.0888734	-0.0911181	-0.0557543	-0.0559501
168	0.0336	-0.060525	-0.0604531	-0.0599992	-0.0599981	-0.0598526	-0.0597693	-0.0887873	-0.0910418	-0.0557278	-0.0559264
169	0.0338	-0.0605256	-0.060454	-0.0599992	-0.0599981	-0.0598542	-0.0597696	-0.0887034	-0.0909675	-0.0557014	-0.0559028
170	0.034	-0.0605263	-0.0604549	-0.0599992	-0.0599981	-0.0598554	-0.05977	-0.0886217	-0.0908951	-0.0556751	-0.0558793
171	0.0342	-0.0605271	-0.060456	-0.0599992	-0.0599981	-0.0598566	-0.0597704	-0.088542	-0.0908246	-0.055649	-0.0558558
