TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
12526	2.5052	-0.0551802	-0.0599999	-0.0561565	-0.0619508
12527	2.5054	-0.0551895	-0.0599999	-0.0561673	-0.0619457
12528	2.5056	-0.0551987	-0.0599999	-0.0561781	-0.0619406
12529	2.5058	-0.0552081	-0.0599999	-0.056189	-0.0619354
12530	2.506	-0.0552174	-0.0599999	-0.0561998	-0.0619302
12531	2.5062	-0.0552268	-0.0599999	-0.0562105	-0.0619249
12532	2.5064	-0.0552362	-0.0599999	-0.0562213	-0.0619196
12533	2.5066	-0.0552456	-0.0599999	-0.056232	-0.0619143
12534	2.5068	-0.0552551	-0.0599999	-0.0562427	-0.0619089
12535	2.507	-0.0552645	-0.0599999	-0.0562534	-0.0619035
12536	2.5072	-0.055274	-0.0599999	-0.056264	-0.061898
12537	2.5074	-0.0552835	-0.0599999	-0.0562746	-0.0618925
12538	2.5076	-0.0552931	-0.0599999	-0.0562852	-0.0618869
12539	2.5078	-0.0553026	-0.0599999	-0.0562957	-0.0618814
12540	2.508	-0.0553122	-0.0599999	-0.0563063	-0.0618757
12541	2.5082	-0.0553217	-0.0599999	-0.0563167	-0.0618701
12542	2.5084	-0.0553313	-0.0599999	-0.0563272	-0.0618644
12543	2.5086	-0.0553409	-0.0599999	-0.0563376	-0.0618587
12544	2.5088	-0.0553505	-0.0599999	-0.0563479	-0.0618529
12545	2.509	-0.0553601	-0.06	-0.0563582	-0.0618472
12546	2.5092	-0.0553697	-0.06	-0.0563685	-0.0618413
12547	2.5094	-0.0553793	-0.06	-0.0563787	-0.0618355
12548	2.5096	-0.0553889	-0.06	-0.0563889	-0.0618296
12549	2.5098	-0.0553985	-0.06	-0.0563991	-0.0618237
12550	2.51	-0.0554081	-0.06	-0.0564092	-0.0618178
12551	2.5102	-0.0554177	-0.06	-0.0564192	-0.0618119
12552	2.5104	-0.0554273	-0.06	-0.0564292	-0.0618059
12553	2.5106	-0.0554369	-0.06	-0.0564392	-0.0617999
12554	2.5108	-0.0554465	-0.06	-0.0564491	-0.0617939
12555	2.511	-0.0554561	-0.06	-0.0564589	-0.0617878
12556	2.5112	-0.0554656	-0.06	-0.0564687	-0.0617818
12557	2.5114	-0.0554752	-0.06	-0.0564785	-0.0617757
12558	2.5116	-0.0554847	-0.06	-0.0564882	-0.0617696
12559	2.5118	-0.0554942	-0.06	-0.0564978	-0.0617635
12560	2.512	-0.0555037	-0.06	-0.0565074	-0.0617573
12561	2.5122	-0.0555132	-0.06	-0.056517	-0.0617512
12562	2.5124	-0.0555227	-0.06	-0.0565264	-0.061745
12563	2.5126	-0.0555322	-0.06	-0.0565359	-0.0617388
12564	2.5128	-0.0555416	-0.06	-0.0565453	-0.0617326
12565	2.513	-0.055551	-0.06	-0.0565546	-0.0617264
12566	2.5132	-0.0555604	-0.06	-0.0565638	-0.0617202
12567	2.5134	-0.0555697	-0.06	-0.0565731	-0.0617139
12568	2.5136	-0.0555791	-0.06	-0.0565822	-0.0617077
12569	2.5138	-0.0555884	-0.06	-0.0565913	-0.0617014
12570	2.514	-0.0555977	-0.06	-0.0566004	-0.0616952
12571	2.5142	-0.055607	-0.06	-0.0566093	-0.0616889
12572	2.5144	-0.0556162	-0.06	-0.0566183	-0.0616826
12573	2.5146	-0.0556254	-0.06	-0.0566271	-0.0616763
12574	2.5148	-0.0556346	-0.06	-0.0566359	-0.06167
12575	2.515	-0.0556437	-0.06	-0.0566447	-0.0616637
12576	2.5152	-0.0556528	-0.06	-0.0566534	-0.0616574
12577	2.5154	-0.0556619	-0.06	-0.056662	-0.0616511
12578	2.5156	-0.0556709	-0.06	-0.0566706	-0.0616447
12579	2.5158	-0.05568	-0.06	-0.0566791	-0.0616384
12580	2.516	-0.0556889	-0.06	-0.0566876	-0.0616321
12581	2.5162	-0.0556979	-0.06	-0.056696	-0.0616258
12582	2.5164	-0.0557068	-0.06	-0.0567043	-0.0616194
12583	2.5166	-0.0557157	-0.06	-0.0567126	-0.0616131
12584	2.5168	-0.0557245	-0.06	-0.0567208	-0.0616068
12585	2.517	-0.0557333	-0.06	-0.056729	-0.0616005
12586	2.5172	-0.0557421	-0.06	-0.0567371	-0.0615941
12587	2.5174	-0.0557508	-0.06	-0.0567451	-0.0615878
12588	2.5176	-0.0557595	-0.06	-0.0567531	-0.0615815
12589	2.5178	-0.0557681	-0.06	-0.056761	-0.0615752
12590	2.518	-0.0557767	-0.06	-0.0567689	-0.0615688
12591	2.5182	-0.0557853	-0.06	-0.0567767	-0.0615625
12592	2.5184	-0.0557938	-0.06	-0.0567844	-0.0615562
12593	2.5186	-0.0558023	-0.06	-0.0567921	-0.0615499
12594	2.5188	-0.0558107	-0.06	-0.0567997	-0.0615436
12595	2.519	-0.0558191	-0.06	-0.0568073	-0.0615373
12596	2.5192	-0.0558275	-0.06	-0.0568148	-0.061531
12597	2.5194	-0.0558358	-0.06	-0.0568223	-0.0615248
12598	2.5196	-0.055844	-0.06	-0.0568297	-0.0615185
12599	2.5198	-0.0558522	-0.06	-0.056837	-0.0615122
12600	2.52	-0.0558604	-0.06	-0.0568443	-0.061506
12601	2.5202	-0.0558686	-0.06	-0.0568515	-0.0614997
12602	2.5204	-0.0558766	-0.06	-0.0568587	-0.0614935
12603	2.5206	-0.0558847	-0.06	-0.0568658	-0.0614873
12604	2.5208	-0.0558927	-0.06	-0.0568729	-0.0614811
