TimeSlice	Time	L Hip PF ext IN	L Hip PF flx IN	L Hip PF ext	L Hip PF flx
230	0.046	-0.0593446	-0.0598991	-0.0595167	-0.0599409
231	0.0462	-0.0593415	-0.0598994	-0.0595144	-0.0599413
232	0.0464	-0.0593384	-0.0598998	-0.0595121	-0.0599418
233	0.0466	-0.0593353	-0.0599001	-0.0595098	-0.0599422
234	0.0468	-0.0593322	-0.0599005	-0.0595075	-0.0599426
235	0.047	-0.0593291	-0.0599009	-0.0595052	-0.059943
236	0.0472	-0.0593259	-0.0599013	-0.0595028	-0.0599435
237	0.0474	-0.0593228	-0.0599017	-0.0595005	-0.0599439
238	0.0476	-0.0593196	-0.0599021	-0.0594981	-0.0599444
239	0.0478	-0.0593164	-0.0599025	-0.0594957	-0.0599448
240	0.048	-0.0593132	-0.059903	-0.0594934	-0.0599453
241	0.0482	-0.05931	-0.0599034	-0.059491	-0.0599457
242	0.0484	-0.0593068	-0.0599039	-0.0594886	-0.0599462
243	0.0486	-0.0593036	-0.0599043	-0.0594861	-0.0599467
244	0.0488	-0.0593003	-0.0599048	-0.0594837	-0.0599471
245	0.049	-0.0592971	-0.0599053	-0.0594813	-0.0599476
246	0.0492	-0.0592938	-0.0599058	-0.0594788	-0.0599481
247	0.0494	-0.0592905	-0.0599063	-0.0594764	-0.0599485
248	0.0496	-0.0592873	-0.0599068	-0.0594739	-0.059949
249	0.0498	-0.059284	-0.0599074	-0.0594715	-0.0599494
250	0.05	-0.0592806	-0.0599079	-0.059469	-0.0599499
251	0.0502	-0.0592773	-0.0599084	-0.0594665	-0.0599503
252	0.0504	-0.059274	-0.059909	-0.059464	-0.0599508
253	0.0506	-0.0592706	-0.0599095	-0.0594615	-0.0599513
254	0.0508	-0.0592673	-0.0599101	-0.059459	-0.0599517
255	0.051	-0.0592639	-0.0599107	-0.0594565	-0.0599522
256	0.0512	-0.0592605	-0.0599112	-0.059454	-0.0599526
257	0.0514	-0.0592571	-0.0599118	-0.0594514	-0.0599531
258	0.0516	-0.0592537	-0.0599124	-0.0594489	-0.0599536
259	0.0518	-0.0592503	-0.059913	-0.0594464	-0.059954
260	0.052	-0.0592469	-0.0599136	-0.0594438	-0.0599545
261	0.0522	-0.0592435	-0.0599142	-0.0594413	-0.059955
262	0.0524	-0.05924	-0.0599148	-0.0594387	-0.0599555
263	0.0526	-0.0592366	-0.0599154	-0.0594362	-0.0599559
264	0.0528	-0.0592331	-0.059916	-0.0594336	-0.0599564
265	0.053	-0.0592296	-0.0599166	-0.059431	-0.0599569
266	0.0532	-0.0592261	-0.0599172	-0.0594285	-0.0599574
267	0.0534	-0.0592226	-0.0599179	-0.0594259	-0.0599579
268	0.0536	-0.0592191	-0.0599185	-0.0594233	-0.0599584
269	0.0538	-0.0592156	-0.0599192	-0.0594207	-0.0599589
270	0.054	-0.0592121	-0.0599198	-0.0594182	-0.0599594
271	0.0542	-0.0592086	-0.0599205	-0.0594156	-0.0599599
272	0.0544	-0.059205	-0.0599211	-0.059413	-0.0599605
273	0.0546	-0.0592015	-0.0599218	-0.0594104	-0.059961
274	0.0548	-0.059198	-0.0599225	-0.0594078	-0.0599615
275	0.055	-0.0591944	-0.0599231	-0.0594052	-0.0599621
276	0.0552	-0.0591908	-0.0599238	-0.0594027	-0.0599626
277	0.0554	-0.0591873	-0.0599245	-0.0594001	-0.0599631
278	0.0556	-0.0591837	-0.0599252	-0.0593975	-0.0599637
279	0.0558	-0.0591801	-0.0599259	-0.0593949	-0.0599642
280	0.056	-0.0591765	-0.0599266	-0.0593923	-0.0599648
281	0.0562	-0.0591729	-0.0599273	-0.0593897	-0.0599653
282	0.0564	-0.0591693	-0.0599281	-0.0593871	-0.0599659
283	0.0566	-0.0591657	-0.0599288	-0.0593845	-0.0599664
284	0.0568	-0.0591621	-0.0599295	-0.0593819	-0.059967
285	0.057	-0.0591585	-0.0599303	-0.0593793	-0.0599676
286	0.0572	-0.0591548	-0.059931	-0.0593767	-0.0599681
287	0.0574	-0.0591512	-0.0599318	-0.0593741	-0.0599687
288	0.0576	-0.0591476	-0.0599325	-0.0593716	-0.0599693
289	0.0578	-0.059144	-0.0599333	-0.059369	-0.0599698
290	0.058	-0.0591403	-0.059934	-0.0593664	-0.0599704
291	0.0582	-0.0591367	-0.0599348	-0.0593638	-0.059971
292	0.0584	-0.059133	-0.0599356	-0.0593612	-0.0599715
293	0.0586	-0.0591294	-0.0599364	-0.0593586	-0.0599721
294	0.0588	-0.0591258	-0.0599371	-0.059356	-0.0599727
295	0.059	-0.0591221	-0.0599379	-0.0593534	-0.0599732
296	0.0592	-0.0591185	-0.0599387	-0.0593509	-0.0599738
297	0.0594	-0.0591148	-0.0599395	-0.0593483	-0.0599744
298	0.0596	-0.0591112	-0.0599403	-0.0593457	-0.0599749
299	0.0598	-0.0591075	-0.0599411	-0.0593431	-0.0599755
300	0.06	-0.0591038	-0.0599419	-0.0593406	-0.059976
301	0.0602	-0.0591002	-0.0599427	-0.059338	-0.0599765
302	0.0604	-0.0590965	-0.0599435	-0.0593354	-0.0599771
303	0.0606	-0.0590929	-0.0599443	-0.0593329	-0.0599776
304	0.0608	-0.0590892	-0.0599451	-0.0593303	-0.0599782
305	0.061	-0.0590856	-0.0599459	-0.0593278	-0.0599787
306	0.0612	-0.0590819	-0.0599468	-0.0593252	-0.0599792
307	0.0614	-0.0590783	-0.0599476	-0.0593227	-0.0599797
308	0.0616	-0.0590746	-0.0599484	-0.0593201	-0.0599803
309	0.0618	-0.059071	-0.0599492	-0.0593176	-0.0599808
310	0.062	-0.0590673	-0.05995	-0.0593151	-0.0599813
311	0.0622	-0.0590637	-0.0599508	-0.0593125	-0.0599818
312	0.0624	-0.05906	-0.0599516	-0.05931	-0.0599823
313	0.0626	-0.0590564	-0.0599524	-0.0593075	-0.0599828
314	0.0628	-0.0590527	-0.0599532	-0.059305	-0.0599833
